"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.121,0.111,0.131,0.067,0.1,0.155,0.207,0.124,0.11,0.135,0.039,0.232,0.115,0.122,0.111,0.098,0.129,6
"Buena",0.157,0.15,0.164,0.108,0.132,0.198,0.236,0.125,0.163,0.187,0.079,0.271,0.162,0.172,0.154,0.129,0.15,6
"Ni buena ni mala",0.239,0.243,0.235,0.266,0.236,0.228,0.22,0.247,0.245,0.22,0.192,0.267,0.248,0.237,0.342,0.208,0.198,6
"Mala",0.201,0.194,0.207,0.201,0.226,0.192,0.153,0.22,0.194,0.187,0.271,0.106,0.245,0.174,0.182,0.253,0.224,6
"Muy mala",0.24,0.271,0.211,0.277,0.27,0.209,0.155,0.22,0.247,0.253,0.382,0.097,0.164,0.227,0.17,0.253,0.281,6
"No sabe",0.042,0.031,0.052,0.081,0.036,0.018,0.029,0.064,0.041,0.018,0.037,0.027,0.066,0.068,0.041,0.059,0.018,6
"Positiva",0.278,0.261,0.295,0.175,0.232,0.353,0.443,0.249,0.273,0.322,0.118,0.503,0.277,0.294,0.265,0.227,0.279,4
"Neutra",0.239,0.243,0.235,0.266,0.236,0.228,0.22,0.247,0.245,0.22,0.192,0.267,0.248,0.237,0.342,0.208,0.198,4
"Negativa",0.441,0.465,0.418,0.478,0.496,0.401,0.308,0.44,0.441,0.44,0.653,0.203,0.409,0.401,0.352,0.506,0.505,4
"No sabe",0.042,0.031,0.052,0.081,0.036,0.018,0.029,0.064,0.041,0.018,0.037,0.027,0.066,0.068,0.041,0.059,0.018,4
"Positiva",0.394,0.387,0.401,0.281,0.331,0.488,0.588,0.362,0.38,0.452,0.169,0.683,0.408,0.397,0.422,0.284,0.394,2
"Negativa",0.564,0.582,0.547,0.638,0.633,0.494,0.383,0.574,0.579,0.53,0.794,0.29,0.526,0.535,0.537,0.657,0.588,2
"No sabe",0.042,0.031,0.052,0.081,0.036,0.018,0.029,0.064,0.041,0.018,0.037,0.027,0.066,0.068,0.041,0.059,0.018,2
