"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P08","Inflación",0.365,0.366,0.27,0.335,0.334,0.282,0.32
"P08","Desempleo",0.07,0.077,0.092,0.064,0.081,0.096,0
"P08","Corrupción",0.307,0.265,0.345,0.3,0.27,0.274,0.349
"P08","Inseguridad",0.085,0.148,0.12,0.089,0.064,0.125,0.06
"P08","Precio del dólar",0.035,0.021,0.044,0.042,0.051,0.03,0
"P08","Pobreza",0.067,0.061,0.065,0.077,0.059,0.101,0.034
"P08","Narcotráfico",0.013,0.015,0.015,0.009,0.026,0.018,0.02
"P08","Tarifas",0.003,0.007,0,0.004,0.011,0.016,0
"P08","Otro",0.039,0.032,0.047,0.067,0.078,0.043,0.078
"P08","No sabe",0.016,0.008,0.002,0.013,0.026,0.015,0.139
"P12","Sin deuda",0.348,0.307,0.265,0.286,0.242,0.315,0.102
"P12","Menos de 10%",0.159,0.169,0.193,0.133,0.15,0.141,0
"P12","Entre 10 y 20%",0.164,0.147,0.146,0.128,0.145,0.113,0.084
"P12","Entre 20 y 30%",0.092,0.091,0.093,0.093,0.095,0.078,0
"P12","Entre 30 y 40%",0.07,0.083,0.081,0.111,0.083,0.082,0.039
"P12","Mas del 40%",0.129,0.162,0.152,0.207,0.237,0.19,0.565
"P12","No sabe",0.038,0.041,0.07,0.042,0.048,0.081,0.21
"P13","Gran excedente habitual",0.011,0.004,0.012,0.009,0.014,0.002,0.017
"P13","Gran excedente excepcional",0.007,0.007,0.016,0.017,0.008,0.009,0.085
"P13","Pequeño excedente habitual",0.063,0.048,0.092,0.074,0.117,0.05,0.023
"P13","Pequeño excedente excepcional",0.086,0.037,0.056,0.074,0.058,0.085,0
"P13","Alcanza gastos familia",0.163,0.113,0.12,0.157,0.103,0.122,0.048
"P13","No alcanza gastos familia",0.114,0.178,0.097,0.161,0.155,0.138,0.377
"P13","Solo NBFamiliares",0.27,0.267,0.211,0.269,0.199,0.267,0.103
"P13","No alcanza NBFamiliares",0.282,0.33,0.373,0.237,0.325,0.277,0.228
"P13","No sabe",0.004,0.016,0.023,0.002,0.021,0.05,0.119
"P14","Muy buena",0.074,0.044,0.057,0.053,0.048,0.035,0.089
"P14","Buena",0.166,0.142,0.13,0.163,0.16,0.151,0.064
"P14","Ni buena ni mala",0.426,0.424,0.452,0.402,0.374,0.389,0.377
"P14","Mala",0.218,0.277,0.259,0.252,0.249,0.257,0.314
"P14","Muy mala",0.106,0.105,0.069,0.12,0.144,0.127,0.079
"P14","No sabe",0.01,0.008,0.033,0.01,0.025,0.041,0.077
"P15","Mejor",0.088,0.084,0.143,0.116,0.105,0.114,0.016
"P15","Igual",0.205,0.212,0.219,0.267,0.225,0.212,0.064
"P15","Peor",0.643,0.66,0.546,0.574,0.609,0.614,0.7
"P15","No sabe",0.064,0.044,0.092,0.043,0.061,0.06,0.22
"P16","Mejor",0.1,0.089,0.122,0.07,0.104,0.106,0.016
"P16","Igual",0.241,0.252,0.211,0.229,0.245,0.18,0.061
