"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Mejor",0.103,0.111,0.095,0.121,0.098,0.089,0.104,0.113,0.103,0.09,0.128,0.07,0.162,0.084,0.091,0.149,0.118
"Igual",0.227,0.229,0.226,0.193,0.228,0.262,0.236,0.234,0.218,0.235,0.341,0.139,0.157,0.227,0.206,0.295,0.229
"Peor",0.617,0.607,0.627,0.629,0.619,0.608,0.604,0.587,0.627,0.638,0.483,0.753,0.595,0.641,0.645,0.532,0.595
"No sabe",0.053,0.053,0.052,0.057,0.055,0.041,0.056,0.066,0.052,0.037,0.048,0.038,0.086,0.048,0.058,0.024,0.058
