"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.061,0.059,0.064,0.093,0.053,0.05,0.05,0.095,0.056,0.029,0.099,0.035,0.065,0.058,0.072,0.028,0.064,6
"Buena",0.087,0.069,0.103,0.088,0.081,0.104,0.073,0.093,0.086,0.08,0.155,0.035,0.061,0.067,0.092,0.108,0.097,6
"Ni buena ni mala",0.201,0.177,0.224,0.223,0.195,0.203,0.182,0.225,0.216,0.15,0.337,0.076,0.11,0.156,0.247,0.293,0.206,6
"Mala",0.187,0.18,0.193,0.148,0.207,0.177,0.211,0.199,0.171,0.196,0.207,0.158,0.27,0.175,0.191,0.154,0.199,6
"Muy mala",0.443,0.498,0.39,0.414,0.442,0.451,0.475,0.348,0.454,0.538,0.193,0.684,0.449,0.513,0.38,0.395,0.419,6
"No sabe",0.021,0.017,0.026,0.034,0.022,0.015,0.009,0.04,0.017,0.007,0.009,0.012,0.045,0.031,0.018,0.022,0.015,6
"Positiva",0.148,0.128,0.167,0.181,0.134,0.154,0.123,0.188,0.142,0.109,0.254,0.07,0.126,0.125,0.164,0.136,0.161,4
"Neutra",0.201,0.177,0.224,0.223,0.195,0.203,0.182,0.225,0.216,0.15,0.337,0.076,0.11,0.156,0.247,0.293,0.206,4
"Negativa",0.63,0.678,0.583,0.562,0.649,0.628,0.686,0.547,0.625,0.734,0.4,0.842,0.719,0.688,0.571,0.549,0.618,4
"No sabe",0.021,0.017,0.026,0.034,0.022,0.015,0.009,0.04,0.017,0.007,0.009,0.012,0.045,0.031,0.018,0.022,0.015,4
"Positiva",0.222,0.194,0.249,0.258,0.206,0.226,0.203,0.277,0.221,0.16,0.392,0.092,0.162,0.18,0.244,0.259,0.243,2
"Negativa",0.756,0.789,0.725,0.708,0.772,0.759,0.788,0.683,0.763,0.833,0.599,0.896,0.793,0.79,0.738,0.719,0.742,2
"No sabe",0.022,0.017,0.026,0.034,0.022,0.015,0.009,0.04,0.016,0.007,0.009,0.012,0.045,0.03,0.018,0.022,0.015,2
