"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.063,0.047,0.078,0.068,0.046,0.073,0.082,0.059,0.057,0.077,0.024,0.107,0.069,0.07,0.067,0.03,0.059,6
"Buena",0.115,0.113,0.116,0.052,0.099,0.159,0.184,0.086,0.117,0.143,0.055,0.205,0.087,0.122,0.098,0.071,0.122,6
"Ni buena ni mala",0.253,0.249,0.258,0.225,0.261,0.269,0.258,0.261,0.245,0.258,0.189,0.302,0.353,0.24,0.344,0.24,0.225,6
"Mala",0.188,0.197,0.179,0.131,0.197,0.196,0.237,0.204,0.179,0.183,0.245,0.137,0.15,0.18,0.145,0.202,0.213,6
"Muy mala",0.311,0.343,0.28,0.378,0.341,0.27,0.197,0.289,0.323,0.317,0.416,0.207,0.248,0.309,0.243,0.402,0.331,6
"No sabe",0.07,0.051,0.089,0.146,0.056,0.033,0.042,0.101,0.079,0.022,0.071,0.042,0.093,0.079,0.103,0.055,0.05,6
"Positiva",0.178,0.16,0.194,0.12,0.145,0.232,0.266,0.145,0.174,0.22,0.079,0.312,0.156,0.192,0.165,0.101,0.181,4
"Neutra",0.253,0.249,0.258,0.225,0.261,0.269,0.258,0.261,0.245,0.258,0.189,0.302,0.353,0.24,0.344,0.24,0.225,4
"Negativa",0.499,0.54,0.459,0.509,0.538,0.466,0.434,0.493,0.502,0.5,0.661,0.344,0.398,0.489,0.388,0.604,0.544,4
"No sabe",0.07,0.051,0.089,0.146,0.056,0.033,0.042,0.101,0.079,0.022,0.071,0.042,0.093,0.079,0.103,0.055,0.05,4
"Positiva",0.294,0.268,0.318,0.205,0.263,0.354,0.414,0.252,0.289,0.348,0.131,0.498,0.32,0.302,0.327,0.199,0.284,2
"Negativa",0.636,0.681,0.593,0.649,0.681,0.613,0.544,0.647,0.632,0.63,0.798,0.46,0.587,0.619,0.57,0.746,0.666,2
"No sabe",0.07,0.051,0.089,0.146,0.056,0.033,0.042,0.101,0.079,0.022,0.071,0.042,0.093,0.079,0.103,0.055,0.05,2
