"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.04,0.036,0.043,0.028,0.044,0.039,0.047,0.053,0.033,0.034,0.034,0.05,0.074,0.065,0.032,0.042,0.022,6
"Buena",0.078,0.089,0.069,0.066,0.078,0.087,0.086,0.085,0.069,0.086,0.052,0.102,0.11,0.105,0.082,0.037,0.06,6
"Ni buena ni mala",0.317,0.311,0.323,0.252,0.322,0.352,0.355,0.358,0.3,0.296,0.303,0.319,0.356,0.28,0.359,0.274,0.335,6
"Mala",0.17,0.181,0.159,0.111,0.164,0.213,0.213,0.146,0.158,0.215,0.204,0.162,0.159,0.154,0.133,0.23,0.192,6
"Muy mala",0.227,0.258,0.197,0.258,0.221,0.22,0.204,0.194,0.242,0.242,0.238,0.229,0.138,0.243,0.185,0.178,0.239,6
"No sabe",0.168,0.125,0.209,0.285,0.171,0.089,0.095,0.164,0.198,0.127,0.169,0.138,0.163,0.153,0.209,0.239,0.152,6
"Positiva",0.118,0.125,0.112,0.094,0.122,0.126,0.133,0.138,0.102,0.12,0.086,0.152,0.184,0.17,0.114,0.079,0.082,4
"Neutra",0.317,0.311,0.323,0.252,0.322,0.352,0.355,0.358,0.3,0.296,0.303,0.319,0.356,0.28,0.359,0.274,0.335,4
"Negativa",0.397,0.439,0.356,0.369,0.385,0.433,0.417,0.34,0.4,0.457,0.442,0.391,0.297,0.397,0.318,0.408,0.431,4
"No sabe",0.168,0.125,0.209,0.285,0.171,0.089,0.095,0.164,0.198,0.127,0.169,0.138,0.163,0.153,0.209,0.239,0.152,4
"Positiva",0.209,0.206,0.212,0.196,0.217,0.203,0.219,0.261,0.179,0.195,0.169,0.231,0.31,0.251,0.259,0.121,0.163,2
"Negativa",0.623,0.669,0.579,0.519,0.612,0.708,0.686,0.574,0.623,0.678,0.662,0.631,0.527,0.596,0.532,0.639,0.685,2
"No sabe",0.168,0.125,0.209,0.285,0.171,0.089,0.095,0.165,0.198,0.127,0.169,0.138,0.163,0.153,0.209,0.24,0.152,2
