"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Radio",0.155,0.155,0.155,0.094,0.145,0.179,0.234,0.161,0.131,0.186,0.163,0.174,0.155,0.169,0.102,0.138,0.17
"Televisión",0.328,0.306,0.349,0.167,0.31,0.446,0.445,0.375,0.33,0.27,0.335,0.386,0.322,0.307,0.326,0.296,0.351
"Diario",0.073,0.076,0.07,0.078,0.065,0.079,0.075,0.087,0.056,0.082,0.069,0.063,0.09,0.071,0.093,0.041,0.07
"Medio digital",0.161,0.178,0.145,0.191,0.19,0.128,0.096,0.121,0.163,0.205,0.173,0.134,0.177,0.146,0.174,0.25,0.156
"Redes Sociales",0.186,0.195,0.178,0.36,0.19,0.08,0.067,0.151,0.232,0.159,0.177,0.158,0.136,0.2,0.213,0.139,0.169
"Ninguno en particular",0.091,0.084,0.098,0.11,0.094,0.087,0.064,0.093,0.088,0.093,0.077,0.081,0.12,0.102,0.08,0.133,0.081
"No sabe",0.006,0.006,0.005,0,0.006,0.001,0.019,0.012,0,0.005,0.006,0.004,0,0.005,0.012,0.003,0.003
