"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.071,0.071,0.072,0.062,0.059,0.079,0.105,0.083,0.06,0.076,0.037,0.114,0.083,0.064,0.077,0.048,0.079,6
"Buena",0.155,0.136,0.172,0.094,0.142,0.192,0.225,0.119,0.163,0.184,0.075,0.266,0.161,0.146,0.146,0.094,0.175,6
"Ni buena ni mala",0.297,0.279,0.314,0.267,0.29,0.316,0.328,0.346,0.28,0.264,0.276,0.307,0.382,0.29,0.371,0.276,0.271,6
"Mala",0.199,0.209,0.189,0.187,0.222,0.185,0.182,0.206,0.191,0.202,0.275,0.129,0.195,0.186,0.19,0.203,0.213,6
"Muy mala",0.235,0.273,0.199,0.32,0.247,0.199,0.13,0.186,0.262,0.251,0.3,0.155,0.13,0.258,0.159,0.315,0.239,6
"No sabe",0.043,0.032,0.054,0.07,0.04,0.029,0.03,0.06,0.044,0.023,0.037,0.029,0.049,0.056,0.057,0.064,0.023,6
"Positiva",0.226,0.207,0.244,0.156,0.201,0.271,0.33,0.202,0.223,0.26,0.112,0.38,0.244,0.21,0.223,0.142,0.254,4
"Neutra",0.297,0.279,0.314,0.267,0.29,0.316,0.328,0.346,0.28,0.264,0.276,0.307,0.382,0.29,0.371,0.276,0.271,4
"Negativa",0.434,0.482,0.388,0.507,0.469,0.384,0.312,0.392,0.453,0.453,0.575,0.284,0.325,0.444,0.349,0.518,0.452,4
"No sabe",0.043,0.032,0.054,0.07,0.04,0.029,0.03,0.06,0.044,0.023,0.037,0.029,0.049,0.056,0.057,0.064,0.023,4
"Positiva",0.329,0.3,0.356,0.215,0.301,0.383,0.49,0.301,0.321,0.372,0.16,0.553,0.355,0.31,0.34,0.244,0.35,2
"Negativa",0.628,0.668,0.59,0.715,0.659,0.588,0.48,0.639,0.635,0.605,0.803,0.418,0.595,0.634,0.603,0.692,0.626,2
"No sabe",0.043,0.032,0.054,0.07,0.04,0.029,0.03,0.06,0.044,0.023,0.037,0.029,0.05,0.056,0.057,0.064,0.024,2
