"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P30","A Cristina Fernández de Kirchner",0.257,0.554,0.473,0.554,0.671,0.706
"P31","A Horacio Rodriguez Larreta",0.301,0.3,0.21,0.277,0.291,0.532
"P31","A Patricia Bullrich",0.642,0.597,0.677,0.581,0.533,0.387
"P31","A Facundo Manes",0.038,0.053,0.06,0.1,0.079,0.013
"P31","A Gerardo Morales",0.019,0.05,0.053,0.042,0.097,0.068
"P39","La votaría",0.332,0.493,0.384,0.302,0.162,0.158
"P39","Puede que la vote",0.193,0.149,0.198,0.14,0.122,0.165
"P39","Nunca la votaría",0.365,0.224,0.279,0.452,0.589,0.27
"P39","No sabe",0.11,0.134,0.139,0.106,0.127,0.407
"P40","Lo votaría",0.173,0.106,0.151,0.162,0.148,0.139
"P40","Puede que lo vote",0.129,0.102,0.158,0.156,0.213,0.106
"P40","Nunca lo votaría",0.581,0.709,0.59,0.615,0.545,0.34
"P40","No sabe",0.117,0.083,0.101,0.067,0.094,0.415
"P41","Lo votaría",0.197,0.188,0.226,0.223,0.265,0.245
"P41","Puede que lo vote",0.142,0.249,0.19,0.184,0.08,0.166
"P41","Nunca lo votaría",0.557,0.466,0.468,0.539,0.594,0.289
"P41","No sabe",0.104,0.097,0.116,0.054,0.061,0.3
"P42","Lo votaría",0.155,0.135,0.151,0.113,0.094,0.063
"P42","Puede que lo vote",0.236,0.294,0.284,0.235,0.126,0.135
"P42","Nunca lo votaría",0.487,0.469,0.456,0.56,0.7,0.381
"P42","No sabe",0.122,0.102,0.109,0.092,0.08,0.421
"P46","Muy buena",0.187,0.083,0.07,0.054,0.039,0.047
"P46","Buena",0.088,0.051,0.105,0.072,0.096,0.088
"P46","Ni buena ni mala",0.127,0.134,0.181,0.204,0.206,0.153
"P46","Mala",0.14,0.121,0.175,0.254,0.172,0.069
"P46","Muy mala",0.458,0.597,0.455,0.413,0.476,0.411
"P46","No sabe",0,0.014,0.014,0.003,0.011,0.232
"P47","Muy buena",0.3,0.096,0.145,0.196,0.316,0.194
"P47","Buena",0.078,0.078,0.08,0.111,0.07,0.126
"P47","Ni buena ni mala",0.096,0.076,0.13,0.103,0.077,0.125
"P47","Mala",0.065,0.107,0.134,0.119,0.05,0.067
"P47","Muy mala",0.461,0.632,0.496,0.464,0.474,0.38
"P47","No sabe",0,0.011,0.015,0.007,0.013,0.108
"P48","Muy buena",0.312,0.26,0.169,0.117,0.09,0.162
"P48","Buena",0.128,0.281,0.175,0.155,0.072,0.073
"P48","Ni buena ni mala",0.179,0.206,0.315,0.229,0.158,0.207
"P48","Mala",0.211,0.161,0.174,0.283,0.151,0.181
"P48","Muy mala",0.17,0.091,0.162,0.206,0.518,0.218
"P48","No sabe",0,0.001,0.005,0.01,0.011,0.159
