"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.449,0.383,0.416,0.453,0.446
"P04","Realizo changas o trabajos de vez en cuando",0.207,0.218,0.194,0.155,0.176
"P04","No tengo trabajo",0.191,0.168,0.153,0.224,0.156
"P04","Soy jubilado o pensionado",0.153,0.231,0.237,0.168,0.222
"P05","1",0.341,0.392,0.437,0.258,0.335
"P05","2",0.096,0.133,0.095,0.022,0.02
"P05","3",0.107,0.067,0.077,0.109,0.154
"P05","4",0.076,0.082,0.085,0.088,0.105
"P05","5",0.267,0.157,0.159,0.251,0.14
"P05","6",0.014,0.04,0.016,0.08,0.029
"P05","7",0.034,0.038,0.031,0.099,0.025
"P05","8",0.02,0.037,0.011,0.013,0.026
"P05","9",0.045,0.054,0.089,0.08,0.166
"P06","1",0.193,0.211,0.149,0.317,0.317
"P06","2",0.054,0.059,0.04,0.078,0.007
"P06","3",0.029,0.018,0.026,0.004,0.109
"P06","4",0.059,0.022,0.02,0.053,0.037
"P06","5",0.232,0.164,0.196,0.222,0.271
"P06","6",0.05,0.062,0.057,0.028,0.073
"P06","7",0.091,0.089,0.081,0.117,0.032
"P06","8",0.029,0.08,0.093,0.028,0
"P06","9",0.263,0.295,0.338,0.153,0.154
"P07","1",0.33,0.25,0.226,0.405,0.377
"P07","2",0.066,0.048,0.027,0.038,0.009
"P07","3",0.028,0.017,0.031,0.061,0.013
"P07","4",0.016,0.024,0.009,0.015,0.008
"P07","5",0.147,0.128,0.134,0.133,0.151
"P07","6",0.02,0.02,0.041,0.007,0.055
"P07","7",0.032,0.028,0.032,0.022,0.006
"P07","8",0.038,0.066,0.065,0.032,0.009
"P07","9",0.323,0.419,0.435,0.287,0.372
"P13","Seguro lo votaria",0.352,0.172,0.157,0.094,0.215
"P13","Quizás lo votaría",0.275,0.462,0.35,0.229,0.134
"P13","Nunca lo votaría",0.373,0.366,0.493,0.677,0.651
"P14","Lo votaría",0.447,0.746,0.551,0.259,0.216
"P14","Puede que lo vote",0.336,0.179,0.303,0.243,0.211
"P14","Nunca lo votaría",0.182,0.068,0.133,0.466,0.399
"P14","No sabe",0.035,0.007,0.013,0.032,0.174
"P15","Lo votaría",0.157,0.123,0.105,0.105,0.143
"P15","Puede que lo vote",0.096,0.079,0.084,0.113,0.106
"P15","Nunca lo votaría",0.725,0.774,0.759,0.753,0.681
"P15","No sabe",0.022,0.024,0.052,0.029,0.07
"P16","Lo votaría",0.03,0.026,0.01,0.098,0.143
"P16","Puede que lo vote",0.035,0.046,0.04,0.11,0.161
"P16","Nunca lo votaría",0.906,0.922,0.942,0.766,0.676
"P16","No sabe",0.029,0.006,0.008,0.026,0.02
"P17","La votaría",0.04,0.029,0.02,0.186,0.259
"P17","Puede que la vote",0.029,0.031,0.016,0.1,0.071
"P17","Nunca la votaría",0.914,0.937,0.96,0.714,0.67
"P17","No sabe",0.017,0.003,0.004,0,0
"P18","Lo votaría",0.592,0.304,0.242,0.231,0.121
"P18","Puede que lo vote",0.213,0.444,0.49,0.327,0.361
"P18","Nunca lo votaría",0.175,0.24,0.244,0.399,0.343
"P18","No sabe",0.02,0.012,0.024,0.043,0.175
"P19","Lo votaría",0.233,0.09,0.133,0.709,0.289
"P19","Puede que lo vote",0.397,0.342,0.35,0.146,0.332
"P19","Nunca lo votaría",0.291,0.509,0.487,0.115,0.289
"P19","No sabe",0.079,0.059,0.03,0.03,0.09
"P20","La votaría",0.283,0.463,0.768,0.225,0.119
"P20","Puede que la vote",0.373,0.325,0.131,0.448,0.395
"P20","Nunca la votaría",0.274,0.17,0.096,0.289,0.43
"P20","No sabe",0.07,0.042,0.005,0.038,0.056
"P21","Lo votaría",0.198,0.132,0.184,0.072,0.052
"P21","Puede que lo vote",0.237,0.341,0.392,0.217,0.038
"P21","Nunca lo votaría",0.515,0.488,0.375,0.69,0.828
"P21","No sabe",0.05,0.039,0.049,0.021,0.082
"P22","La votaría",0.306,0.292,0.216,0.17,0.091
"P22","Puede que la vote",0.292,0.406,0.421,0.349,0.207
"P22","Nunca la votaría",0.352,0.243,0.293,0.464,0.666
"P22","No sabe",0.05,0.059,0.07,0.017,0.036
"P23","Lo votaría",0.062,0.056,0.024,0.079,0.008
"P23","Puede que lo vote",0.073,0.092,0.046,0.13,0.164
"P23","Nunca lo votaría",0.833,0.828,0.92,0.778,0.712
"P23","No sabe",0.032,0.024,0.01,0.013,0.116
"P24","Lo votaría",0.041,0.047,0.043,0.129,0.533
"P24","Puede que lo vote",0.269,0.282,0.293,0.259,0.111
"P24","Nunca lo votaría",0.566,0.605,0.577,0.54,0.335
"P24","No sabe",0.124,0.066,0.087,0.072,0.021
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.28,0.777,0.575,0.313,0.042
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.62,0.107,0.158,0.258,0.376
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.005,0.005,0.002,0.005,0.195
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.005,0.034,0.007,0.195,0.282
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.057,0.064,0.125,0.017,0.022
"P25","Nicolás del Caño – Myriam Bregman",0,0,0.005,0.004,0
"P25","Otros candidatos",0.033,0.013,0.128,0.208,0.083
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.027,0.035,0.005,0.201,0.317
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.673,0.868,0.707,0.479,0.292
"P29","Javier Milei – José Luis Espert por los liberales",0.099,0.057,0.159,0.033,0.066
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.006,0.009,0.002,0
"P29","Otro candidato",0.184,0.034,0.12,0.285,0.325
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.691,0.574,0.525,0.466,0.516
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.132,0.109,0.068,0.175,0.257
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.097,0.134,0.219,0.042,0.037
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.016,0.011,0.011,0
"P31","Otro candidato",0.075,0.167,0.177,0.306,0.19
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.06,0.063,0.014,0.163,0.101
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.611,0.713,0.829,0.442,0.345
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.136,0.108,0.112,0.038,0.04
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.012,0.016,0.008,0.009,0.064
"P33","Otro candidato",0.181,0.1,0.037,0.348,0.45
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.123,0.047,0.066,0.104,0.146
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.678,0.617,0.59,0.551,0.523
"P35","Javier Milei – José Luis Espert por los liberales",0.095,0.152,0.202,0.019,0.043
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.018,0,0.023,0.063
"P35","Otro candidato",0.095,0.166,0.142,0.303,0.225
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.064,0.085,0.017,0.208,0.385
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.78,0.584,0.599,0.443,0.474
"P37","Javier Milei – José Luis Espert por los liberales",0.086,0.177,0.196,0.022,0.015
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0,0.001,0.018,0
"P37","Otro candidato",0.065,0.154,0.187,0.309,0.126
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.028,0.004,0.003,0.17,0.172
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.67,0.844,0.744,0.52,0.344
"P38","Javier Milei – José Luis Espert por los liberales",0.119,0.084,0.153,0.018,0.041
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.019,0,0.019,0.064
"P38","Otro candidato",0.162,0.049,0.1,0.273,0.379
