"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P04","Tengo trabajo estable",0.376,0.423,0.366,0.453,0.529,0.455,0.424
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.181,0.295,0.208,0.205,0.211,0.214
"P04","No tengo trabajo",0.158,0.183,0.164,0.15,0.184,0.198,0.151
"P04","Soy jubilado o pensionado",0.272,0.213,0.175,0.189,0.082,0.136,0.211
"P05","1",0.37,0.353,0.275,0.226,0.402,0.15,0.242
"P05","2",0.091,0.074,0.127,0.073,0.078,0.01,0.046
"P05","3",0.078,0.075,0.043,0.028,0.099,0,0.054
"P05","4",0.1,0.085,0.056,0.059,0.056,0.031,0.116
"P05","5",0.208,0.272,0.261,0.119,0.227,0.081,0.318
"P05","6",0.027,0.032,0.036,0.061,0.02,0.034,0.092
"P05","7",0.036,0.038,0.053,0.137,0.022,0.152,0.036
"P05","8",0.028,0.012,0.039,0.065,0.031,0.142,0.022
"P05","9",0.062,0.059,0.11,0.232,0.065,0.4,0.074
"P06","1",0.191,0.162,0.308,0.49,0.123,0.37,0.153
"P06","2",0.045,0.058,0.076,0.069,0.022,0.129,0.064
"P06","3",0.036,0.014,0.079,0.053,0.006,0.029,0.04
"P06","4",0.038,0.055,0.033,0.036,0.025,0.035,0.088
"P06","5",0.187,0.284,0.169,0.143,0.165,0.205,0.301
"P06","6",0.049,0.053,0.038,0.028,0.051,0.007,0.065
"P06","7",0.097,0.087,0.01,0.027,0.093,0.065,0.078
"P06","8",0.072,0.045,0.075,0.036,0.118,0.037,0.04
"P06","9",0.285,0.242,0.212,0.118,0.397,0.123,0.171
"P07","1",0.242,0.308,0.399,0.597,0.16,0.739,0.302
"P07","2",0.038,0.046,0.033,0.053,0.014,0.012,0.038
"P07","3",0.023,0.033,0.014,0.024,0.011,0.044,0.032
"P07","4",0.021,0.033,0.018,0.013,0.027,0,0.046
"P07","5",0.137,0.139,0.088,0.067,0.138,0.071,0.158
"P07","6",0.022,0.031,0,0.008,0.027,0.006,0.029
"P07","7",0.041,0.035,0.013,0.02,0.071,0.014,0.025
"P07","8",0.057,0.029,0.019,0.011,0.093,0,0.03
"P07","9",0.419,0.346,0.416,0.207,0.459,0.114,0.34
"P09","Del Frente de Todos y el peronismo",0.077,0.063,0.579,0.84,0.035,0.169,0.111
"P09","De Cambiemos",0.762,0.643,0.094,0.039,0.107,0.018,0.215
"P09","De los Liberales libertarios",0.08,0.097,0.02,0.012,0.714,0.061,0.088
"P09","De la Izquierda",0.01,0.033,0.015,0.01,0.016,0.603,0.035
"P09","No sabe",0.071,0.164,0.292,0.099,0.128,0.149,0.551
"P10","A Alberto Fernández",0.219,0.117,0.575,0.15,0.184,0.086,0.019
"P10","A Sergio Massa",0.066,0.257,0.186,0.143,0.11,0.052,0.307
"P10","A algún candidato del peronismo",0.443,0.626,0.117,0.137,0.691,0.568,0.399
"P10","A algún candidato del kirchnerismo",0.272,0,0.122,0.57,0.015,0.294,0.275
"P11","A Alberto Fernández",0.213,0.146,0.528,0.082,0.177,0,0.019
"P11","A Sergio Massa",0.169,0.11,0.152,0.078,0.061,0.033,0.294
"P11","A algún candidato del peronismo",0.431,0.604,0.137,0.069,0.724,0.568,0.468
"P11","A Cristina Fernández de Kirchner",0.187,0.14,0.183,0.771,0.038,0.399,0.219
"P12","A Horacio Rodriguez Larreta",0.131,0.561,0.124,0.025,0.195,0,0.114
"P12","A Mauricio Macri",0.521,0.14,0.157,0.266,0.316,0,0.065
"P12","A Patricia Bullrich",0.284,0.152,0.039,0.042,0.454,0.721,0.475
"P12","A Facundo Manes",0.061,0.097,0.044,0.441,0.024,0.279,0.303
"P12","A Gerardo Morales",0.003,0.05,0.636,0.226,0.011,0,0.043
"P13","Seguro lo votaria",0.158,0.206,0.211,0.079,0.587,0,0.155
"P13","Quizás lo votaría",0.401,0.302,0.284,0.159,0.224,0,0.254
"P13","Nunca lo votaría",0.441,0.492,0.505,0.762,0.189,1,0.591
"P14","Lo votaría",0.715,0.259,0.095,0.027,0.122,0.025,0.084
"P14","Puede que lo vote",0.179,0.405,0.07,0.024,0.339,0.051,0.18
"P14","Nunca lo votaría",0.087,0.229,0.632,0.862,0.411,0.807,0.486
"P14","No sabe",0.019,0.107,0.203,0.087,0.128,0.117,0.25
"P15","Lo votaría",0.139,0.06,0.309,0.205,0.044,0.089,0.069
"P15","Puede que lo vote",0.049,0.158,0.24,0.401,0.09,0.228,0.168
"P15","Nunca lo votaría",0.783,0.715,0.275,0.277,0.818,0.59,0.599
"P15","No sabe",0.029,0.067,0.176,0.117,0.048,0.093,0.164
"P16","Lo votaría",0.018,0.016,0.515,0.238,0.01,0.058,0.033
"P16","Puede que lo vote",0.024,0.056,0.208,0.467,0.013,0.277,0.097
"P16","Nunca lo votaría",0.935,0.889,0.181,0.17,0.963,0.585,0.721
"P16","No sabe",0.023,0.039,0.096,0.125,0.014,0.08,0.149
"P17","La votaría",0.022,0.023,0.407,0.816,0.018,0.169,0.03
"P17","Puede que la vote",0.005,0.037,0.238,0.134,0.009,0.25,0.094
"P17","Nunca la votaría",0.963,0.92,0.282,0.029,0.959,0.464,0.729
"P17","No sabe",0.01,0.02,0.073,0.021,0.014,0.117,0.147
"P18","Lo votaría",0.288,0.486,0.097,0.101,0.054,0.023,0.048
"P18","Puede que lo vote",0.445,0.34,0.06,0.047,0.248,0.137,0.258
"P18","Nunca lo votaría",0.227,0.127,0.657,0.809,0.597,0.738,0.486
