"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.486,0.437,0.446
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.18,0.194
"P04","No tengo trabajo",0.131,0.167,0.199
"P04","Soy jubilado o pensionado",0.212,0.216,0.161
"P05","1",0.197,0.364,0.302
"P05","2",0.061,0.088,0.063
"P05","3",0.023,0.092,0.067
"P05","4",0.064,0.1,0.074
"P05","5",0.127,0.22,0.212
"P05","6",0.076,0.027,0.047
"P05","7",0.149,0.035,0.066
"P05","8",0.064,0.019,0.043
"P05","9",0.239,0.055,0.126
"P06","1",0.477,0.154,0.221
"P06","2",0.066,0.044,0.052
"P06","3",0.048,0.025,0.03
"P06","4",0.043,0.048,0.039
"P06","5",0.134,0.211,0.224
"P06","6",0.027,0.052,0.052
"P06","7",0.029,0.1,0.069
"P06","8",0.03,0.088,0.072
"P06","9",0.146,0.278,0.241
"P07","1",0.616,0.243,0.337
"P07","2",0.046,0.038,0.041
"P07","3",0.026,0.033,0.017
"P07","4",0.021,0.027,0.022
"P07","5",0.072,0.145,0.113
"P07","6",0.01,0.025,0.028
"P07","7",0.017,0.051,0.031
"P07","8",0.015,0.065,0.043
"P07","9",0.177,0.373,0.368
"P09","Del Frente de Todos y el peronismo",0.851,0.057,0.234
"P09","De Cambiemos",0.047,0.641,0.156
"P09","De los Liberales libertarios",0.012,0.188,0.287
"P09","De la Izquierda",0.022,0.021,0.057
"P09","No sabe",0.068,0.093,0.266
"P10","A Alberto Fernández",0.184,0.135,0.063
"P10","A Sergio Massa",0.15,0.169,0.107
"P10","A algún candidato del peronismo",0.122,0.611,0.266
"P10","A algún candidato del kirchnerismo",0.544,0.085,0.564
"P11","A Alberto Fernández",0.102,0.144,0.05
"P11","A Sergio Massa",0.08,0.138,0.084
"P11","A algún candidato del peronismo",0.075,0.598,0.166
"P11","A Cristina Fernández de Kirchner",0.743,0.12,0.7
"P12","A Horacio Rodriguez Larreta",0.111,0.271,0.209
"P12","A Mauricio Macri",0.238,0.347,0.335
"P12","A Patricia Bullrich",0.016,0.272,0.268
"P12","A Facundo Manes",0.417,0.085,0.155
"P12","A Gerardo Morales",0.218,0.025,0.033
"P13","Seguro lo votaria",0.104,0.193,0.215
"P13","Quizás lo votaría",0.132,0.331,0.361
"P13","Nunca lo votaría",0.764,0.476,0.424
"P14","Lo votaría",0.03,0.452,0.146
"P14","Puede que lo vote",0.026,0.312,0.154
"P14","Nunca lo votaría",0.853,0.164,0.563
"P14","No sabe",0.091,0.072,0.137
"P15","Lo votaría",0.257,0.095,0.062
"P15","Puede que lo vote",0.395,0.092,0.157
"P15","Nunca lo votaría",0.261,0.78,0.665
"P15","No sabe",0.087,0.033,0.116
"P16","Lo votaría",0.296,0.009,0.032
"P16","Puede que lo vote",0.505,0.028,0.111
"P16","Nunca lo votaría",0.115,0.948,0.744
"P16","No sabe",0.084,0.015,0.113
"P17","La votaría",0.767,0.013,0.218
"P17","Puede que la vote",0.15,0.024,0.068
"P17","Nunca la votaría",0.066,0.957,0.653
"P17","No sabe",0.017,0.006,0.061
"P18","Lo votaría",0.112,0.319,0.045
"P18","Puede que lo vote",0.037,0.411,0.162
"P18","Nunca lo votaría",0.823,0.219,0.675
"P18","No sabe",0.028,0.051,0.118
"P19","Lo votaría",0.017,0.184,0.087
"P19","Puede que lo vote",0.121,0.379,0.16
"P19","Nunca lo votaría",0.75,0.358,0.609
"P19","No sabe",0.112,0.079,0.144
"P20","La votaría",0.013,0.454,0.185
"P20","Puede que la vote",0.024,0.321,0.201
"P20","Nunca la votaría",0.927,0.173,0.519
"P20","No sabe",0.036,0.052,0.095
"P21","Lo votaría",0.025,0.257,0.276
"P21","Puede que lo vote",0.038,0.306,0.165
"P21","Nunca lo votaría",0.893,0.384,0.472
"P21","No sabe",0.044,0.053,0.087
"P22","La votaría",0.02,0.278,0.066
"P22","Puede que la vote",0.034,0.364,0.156
"P22","Nunca la votaría",0.873,0.29,0.668
"P22","No sabe",0.073,0.068,0.11
"P23","Lo votaría",0.236,0.048,0.01
"P23","Puede que lo vote",0.416,0.076,0.148
"P23","Nunca lo votaría",0.266,0.85,0.739
"P23","No sabe",0.082,0.026,0.103
"P24","Lo votaría",0.03,0.074,0.011
"P24","Puede que lo vote",0.1,0.276,0.105
"P24","Nunca lo votaría",0.757,0.55,0.753
"P24","No sabe",0.113,0.1,0.131
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.012,0.436,0.116
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.008,0.288,0.042
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.073,0.011,0.015
