"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.381,0.429,0.476,0.275
"P04","Realizo changas o trabajos de vez en cuando",0.261,0.167,0.197,0.262
"P04","No tengo trabajo",0.169,0.156,0.161,0.23
"P04","Soy jubilado o pensionado",0.189,0.248,0.166,0.233
"P05","1",0.403,0.338,0.264,0.323
"P05","2",0.072,0.08,0.073,0.096
"P05","3",0.077,0.08,0.047,0.071
"P05","4",0.068,0.089,0.071,0.064
"P05","5",0.224,0.239,0.178,0.237
"P05","6",0.014,0.041,0.052,0.033
"P05","7",0.035,0.043,0.092,0.022
"P05","8",0.02,0.026,0.055,0.035
"P05","9",0.087,0.064,0.168,0.119
"P06","1",0.229,0.131,0.34,0.31
"P06","2",0.038,0.059,0.065,0.023
"P06","3",0.024,0.026,0.042,0.026
"P06","4",0.03,0.042,0.038,0.079
"P06","5",0.203,0.204,0.184,0.182
"P06","6",0.044,0.055,0.032,0.074
"P06","7",0.064,0.124,0.049,0.037
"P06","8",0.072,0.094,0.045,0.08
"P06","9",0.296,0.265,0.205,0.189
"P07","1",0.267,0.241,0.473,0.304
"P07","2",0.026,0.04,0.043,0.027
"P07","3",0.02,0.042,0.02,0.009
"P07","4",0.014,0.027,0.024,0.015
"P07","5",0.113,0.153,0.098,0.12
"P07","6",0.024,0.018,0.017,0.016
"P07","7",0.052,0.056,0.023,0.04
"P07","8",0.051,0.057,0.023,0.071
"P07","9",0.433,0.366,0.279,0.398
"P09","Del Frente de Todos y el peronismo",0.081,0.076,0.509,0.253
"P09","De Cambiemos",0.572,0.56,0.155,0.164
"P09","De los Liberales libertarios",0.223,0.207,0.144,0.142
"P09","De la Izquierda",0.028,0.013,0.05,0.013
"P09","No sabe",0.096,0.144,0.142,0.428
"P10","A Alberto Fernández",0.226,0.316,0.168,0.299
"P10","A Sergio Massa",0.147,0.139,0.137,0.217
"P10","A algún candidato del peronismo",0.414,0.467,0.159,0.168
"P10","A algún candidato del kirchnerismo",0.213,0.078,0.536,0.316
"P11","A Alberto Fernández",0.252,0.259,0.108,0.197
"P11","A Sergio Massa",0.058,0.132,0.083,0.177
"P11","A algún candidato del peronismo",0.373,0.428,0.107,0.094
"P11","A Cristina Fernández de Kirchner",0.317,0.181,0.702,0.532
"P12","A Horacio Rodriguez Larreta",0.296,0.196,0.273,0.225
"P12","A Mauricio Macri",0.405,0.392,0.27,0.385
"P12","A Patricia Bullrich",0.221,0.298,0.24,0.336
"P12","A Facundo Manes",0.066,0.094,0.144,0.031
"P12","A Gerardo Morales",0.012,0.02,0.073,0.023
"P13","Seguro lo votaria",0.22,0.163,0.238,0.207
"P13","Quizás lo votaría",0.353,0.412,0.245,0.365
"P13","Nunca lo votaría",0.427,0.425,0.517,0.428
"P14","Lo votaría",0.515,0.395,0.104,0.143
"P14","Puede que lo vote",0.23,0.342,0.112,0.163
"P14","Nunca lo votaría",0.162,0.192,0.695,0.353
"P14","No sabe",0.093,0.071,0.089,0.341
"P15","Lo votaría",0.111,0.106,0.142,0.126
"P15","Puede que lo vote",0.064,0.113,0.286,0.138
"P15","Nunca lo votaría",0.746,0.752,0.49,0.444
"P15","No sabe",0.079,0.029,0.082,0.292
"P16","Lo votaría",0.033,0.041,0.142,0.158
"P16","Puede que lo vote",0.019,0.058,0.29,0.142
"P16","Nunca lo votaría",0.914,0.891,0.491,0.462
"P16","No sabe",0.034,0.01,0.077,0.238
"P17","La votaría",0.053,0.043,0.456,0.263
