"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.454,0.399,0.499,0.454,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.191,0.225,0.251,0.232
"P04","No tengo trabajo",0.162,0.167,0.182,0.185,0.221
"P04","Soy jubilado o pensionado",0.196,0.243,0.094,0.11,0.18
"P05","1",0.249,0.375,0.371,0.182,0.271
"P05","2",0.06,0.09,0.088,0.069,0.078
"P05","3",0.035,0.082,0.096,0.034,0.039
"P05","4",0.071,0.092,0.057,0.055,0.073
"P05","5",0.126,0.194,0.251,0.098,0.313
"P05","6",0.056,0.029,0.022,0.054,0.046
"P05","7",0.122,0.039,0.029,0.079,0.039
"P05","8",0.071,0.023,0.028,0.059,0.031
"P05","9",0.21,0.076,0.058,0.37,0.11
"P06","1",0.456,0.218,0.102,0.277,0.209
"P06","2",0.065,0.051,0.035,0.132,0.043
"P06","3",0.041,0.025,0.028,0.039,0.042
"P06","4",0.039,0.034,0.026,0.043,0.063
"P06","5",0.144,0.194,0.172,0.174,0.284
"P06","6",0.023,0.053,0.042,0.045,0.06
"P06","7",0.033,0.087,0.102,0.039,0.047
"P06","8",0.046,0.062,0.113,0.039,0.048
"P06","9",0.153,0.276,0.38,0.212,0.204
"P07","1",0.576,0.282,0.175,0.607,0.314
"P07","2",0.042,0.042,0.02,0.034,0.044
"P07","3",0.024,0.027,0.024,0,0.02
"P07","4",0.017,0.017,0.031,0.024,0.027
"P07","5",0.078,0.13,0.136,0.06,0.144
"P07","6",0.01,0.026,0.023,0.008,0.017
"P07","7",0.021,0.032,0.085,0.012,0.028
"P07","8",0.017,0.052,0.068,0.007,0.047
"P07","9",0.215,0.392,0.438,0.248,0.359
"P14","Lo votaría",0.058,0.554,0.126,0.124,0.073
"P14","Puede que lo vote",0.052,0.258,0.352,0.09,0.158
"P14","Nunca lo votaría",0.806,0.162,0.378,0.605,0.475
"P14","No sabe",0.084,0.026,0.144,0.181,0.294
"P15","Lo votaría",0.228,0.116,0.042,0.088,0.05
"P15","Puede que lo vote",0.382,0.086,0.066,0.224,0.176
"P15","Nunca lo votaría",0.291,0.764,0.839,0.592,0.487
"P15","No sabe",0.099,0.034,0.053,0.096,0.287
"P16","Lo votaría",0.269,0.033,0.013,0.039,0.06
"P16","Puede que lo vote",0.429,0.05,0.025,0.223,0.107
"P16","Nunca lo votaría",0.198,0.901,0.949,0.679,0.622
"P16","No sabe",0.104,0.016,0.013,0.059,0.211
"P17","La votaría",0.76,0.051,0.013,0.153,0.14
"P17","Puede que la vote",0.117,0.031,0.02,0.197,0.101
"P17","Nunca la votaría",0.106,0.912,0.958,0.573,0.59
"P17","No sabe",0.017,0.006,0.009,0.077,0.169
"P18","Lo votaría",0.12,0.346,0.072,0.096,0.083
"P18","Puede que lo vote",0.063,0.39,0.281,0.218,0.21
"P18","Nunca lo votaría",0.782,0.237,0.572,0.627,0.414
"P18","No sabe",0.035,0.027,0.075,0.059,0.293
"P19","Lo votaría",0.042,0.2,0.079,0.092,0.076
"P19","Puede que lo vote",0.128,0.346,0.256,0.209,0.194
"P19","Nunca lo votaría",0.721,0.397,0.565,0.59,0.384
"P19","No sabe",0.109,0.057,0.1,0.109,0.346
"P20","La votaría",0.046,0.476,0.277,0.088,0.114
"P20","Puede que la vote",0.041,0.297,0.327,0.062,0.151
"P20","Nunca la votaría",0.877,0.187,0.337,0.778,0.492
"P20","No sabe",0.036,0.04,0.059,0.072,0.243
"P21","Lo votaría",0.047,0.146,0.677,0.194,0.119
"P21","Puede que lo vote",0.061,0.302,0.208,0.07,0.175
"P21","Nunca lo votaría",0.845,0.507,0.087,0.673,0.46
"P21","No sabe",0.047,0.045,0.028,0.063,0.246
"P22","La votaría",0.03,0.255,0.173,0.099,0.075
"P22","Puede que la vote",0.043,0.377,0.242,0.07,0.168
"P22","Nunca la votaría",0.852,0.31,0.499,0.795,0.495
"P22","No sabe",0.075,0.058,0.086,0.036,0.262
"P23","Lo votaría",0.172,0.048,0.03,0.043,0.027
"P23","Puede que lo vote",0.392,0.081,0.047,0.183,0.113
"P23","Nunca lo votaría",0.34,0.845,0.89,0.629,0.644
"P23","No sabe",0.096,0.026,0.033,0.145,0.216
"P24","Lo votaría",0.032,0.073,0.02,0.023,0.022
"P24","Puede que lo vote",0.1,0.284,0.12,0.057,0.128
"P24","Nunca lo votaría",0.764,0.557,0.753,0.817,0.533
"P24","No sabe",0.104,0.086,0.107,0.103,0.317
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.045,0.534,0.097,0.063,0.091
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.023,0.272,0.071,0.122,0.128
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.059,0.011,0.004,0.016,0.065
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.81,0.044,0.023,0.104,0.206
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.064,0.744,0.084,0.142
"P25","Nicolás del Caño – Myriam Bregman",0.013,0.002,0.01,0.507,0.026
"P25","Otros candidatos",0.032,0.073,0.051,0.104,0.342
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.847,0.051,0.02,0.087,0.21
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.045,0.724,0.084,0.081,0.134
"P29","Javier Milei – José Luis Espert por los liberales",0.04,0.086,0.804,0.177,0.178
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.009,0.011,0.534,0.027
"P29","Otro candidato",0.057,0.13,0.081,0.121,0.451
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.087,0.586,0.09,0.182,0.2
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.588,0.113,0.019,0.049,0.165
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.038,0.126,0.81,0.106,0.165
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.048,0.011,0.015,0.514,0.041
"P31","Otro candidato",0.239,0.164,0.066,0.149,0.429
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.629,0.06,0.015,0.076,0.134
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.069,0.687,0.187,0.099,0.173
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.03,0.101,0.737,0.149,0.159
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.042,0.013,0.017,0.554,0.055
"P33","Otro candidato",0.23,0.139,0.044,0.122,0.479
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.59,0.084,0.026,0.076,0.156
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.1,0.621,0.093,0.11,0.235
"P35","Javier Milei – José Luis Espert por los liberales",0.036,0.124,0.834,0.105,0.179
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.044,0.013,0.005,0.593,0.032
"P35","Otro candidato",0.23,0.158,0.042,0.116,0.398
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.814,0.084,0.019,0.179,0.2
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.079,0.628,0.097,0.139,0.216
"P37","Javier Milei – José Luis Espert por los liberales",0.03,0.127,0.837,0.172,0.176
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.004,0.003,0.445,0.043
"P37","Otro candidato",0.068,0.157,0.044,0.065,0.365
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.672,0.034,0.014,0.063,0.143
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.057,0.727,0.119,0.078,0.151
"P38","Javier Milei – José Luis Espert por los liberales",0.036,0.095,0.811,0.156,0.182
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.016,0.009,0.537,0.049
"P38","Otro candidato",0.204,0.128,0.047,0.166,0.475
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.867,0.079,0.047,0.337,0.203
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.083,0.803,0.476,0.169,0.206
"P39","No sabe",0.05,0.118,0.477,0.494,0.591
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.735,0.044,0.022,0.203,0.15
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.067,0.813,0.466,0.271,0.277
"P40","No sabe",0.198,0.143,0.512,0.526,0.573
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.729,0.04,0.023,0.235,0.19
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.066,0.825,0.628,0.127,0.25
"P41","No sabe",0.205,0.135,0.349,0.638,0.56
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.868,0.043,0.024,0.351,0.198
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.065,0.823,0.503,0.256,0.264
"P42","No sabe",0.067,0.134,0.473,0.393,0.538
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.729,0.049,0.031,0.219,0.188
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.062,0.801,0.515,0.288,0.258
"P43","No sabe",0.209,0.15,0.454,0.493,0.554
"P44","Mauricio Macri – María Eugenia Vidal",0.145,0.731,0.495,0.211,0.231
"P44","Sergio Massa – Wado de Pedro",0.675,0.15,0.09,0.213,0.191
"P44","No sabe",0.18,0.119,0.415,0.576,0.578
"P45","Sergio Massa – Wado de Pedro",0.701,0.13,0.073,0.307,0.192
"P45","Javier Milei – José Luis Espert",0.1,0.378,0.787,0.235,0.273
"P45","No sabe",0.199,0.492,0.14,0.458,0.535
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.163,0.603,0.078,0.216,0.257
"P46","Javier Milei – José Luis Espert",0.04,0.206,0.83,0.17,0.236
"P46","No sabe",0.797,0.191,0.092,0.614,0.507
"P47","Muy buena",0.172,0.087,0.019,0.051,0.031
"P47","Buena",0.347,0.041,0.1,0.095,0.047
"P47","Ni buena ni mala",0.341,0.04,0.044,0.382,0.191
"P47","Mala",0.084,0.082,0.087,0.212,0.171
"P47","Muy mala",0.048,0.749,0.747,0.255,0.531
"P47","No sabe",0.008,0.001,0.003,0.005,0.029
"P48","Muy buena",0.157,0.011,0.007,0.028,0.021
"P48","Buena",0.353,0.022,0.006,0.189,0.059
"P48","Ni buena ni mala",0.323,0.031,0.043,0.384,0.231
"P48","Mala",0.1,0.113,0.095,0.171,0.164
"P48","Muy mala",0.063,0.818,0.846,0.228,0.497
"P48","No sabe",0.004,0.005,0.003,0,0.028
"P49","Muy buena",0.682,0.033,0.012,0.087,0.089
"P49","Buena",0.128,0.014,0.013,0.151,0.074
"P49","Ni buena ni mala",0.09,0.02,0.058,0.325,0.153
"P49","Mala",0.03,0.056,0.063,0.065,0.069
"P49","Muy mala",0.069,0.875,0.849,0.348,0.591
"P49","No sabe",0.001,0.002,0.005,0.024,0.024
"P50","Muy buena",0.099,0.318,0.094,0.021,0.04
"P50","Buena",0.036,0.283,0.207,0.047,0.105
"P50","Ni buena ni mala",0.051,0.14,0.336,0.237,0.208
"P50","Mala",0.169,0.051,0.163,0.158,0.193
"P50","Muy mala",0.643,0.205,0.198,0.537,0.433
"P50","No sabe",0.002,0.003,0.002,0,0.021
"P51","Muy buena",0.03,0.318,0.053,0.04,0.091
"P51","Buena",0.049,0.393,0.198,0.064,0.16
"P51","Ni buena ni mala",0.094,0.179,0.368,0.328,0.355
"P51","Mala",0.19,0.056,0.174,0.243,0.109
"P51","Muy mala",0.625,0.052,0.195,0.313,0.244
"P51","No sabe",0.012,0.002,0.012,0.012,0.041
"P52","Muy buena",0.151,0.056,0.004,0.038,0.07
"P52","Buena",0.304,0.08,0.066,0.153,0.077
