"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P04","Tengo trabajo estable",0.423,0.512,0.452
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.165,0.194
"P04","No tengo trabajo",0.174,0.132,0.18
"P04","Soy jubilado o pensionado",0.222,0.191,0.174
"P05","1",0.36,0.197,0.309
"P05","2",0.084,0.061,0.056
"P05","3",0.082,0.042,0.054
"P05","4",0.088,0.064,0.107
"P05","5",0.2,0.16,0.218
"P05","6",0.029,0.084,0.034
"P05","7",0.05,0.149,0.045
"P05","8",0.031,0.052,0.044
"P05","9",0.076,0.191,0.133
"P06","1",0.169,0.383,0.258
"P06","2",0.032,0.068,0.061
"P06","3",0.032,0.05,0.016
"P06","4",0.039,0.047,0.047
"P06","5",0.177,0.191,0.231
"P06","6",0.05,0.041,0.038
"P06","7",0.102,0.041,0.061
"P06","8",0.091,0.043,0.063
"P06","9",0.308,0.136,0.225
"P07","1",0.258,0.565,0.356
"P07","2",0.035,0.038,0.05
"P07","3",0.032,0.024,0.018
"P07","4",0.027,0.015,0.034
"P07","5",0.14,0.094,0.111
"P07","6",0.022,0.018,0.023
"P07","7",0.045,0.02,0.044
"P07","8",0.067,0.028,0.033
"P07","9",0.374,0.198,0.331
"P09","Del Frente de Todos y el peronismo",0.121,0.704,0.228
"P09","De Cambiemos",0.577,0.148,0.143
"P09","De los Liberales libertarios",0.208,0.047,0.266
"P09","De la Izquierda",0.017,0.022,0.072
"P09","No sabe",0.077,0.079,0.291
"P10","A Alberto Fernández",0.083,0.14,0.189
"P10","A Sergio Massa",0.298,0.14,0.046
"P10","A algún candidato del peronismo",0.212,0.157,0.255
"P10","A algún candidato del kirchnerismo",0.407,0.563,0.51
"P11","A Alberto Fernández",0.061,0.058,0.154
"P11","A Sergio Massa",0.139,0.085,0.015
"P11","A algún candidato del peronismo",0.221,0.084,0.252
"P11","A Cristina Fernández de Kirchner",0.579,0.773,0.579
"P12","A Horacio Rodriguez Larreta",0.231,0.282,0.304
"P12","A Mauricio Macri",0.368,0.33,0.246
"P12","A Patricia Bullrich",0.286,0.157,0.22
"P12","A Facundo Manes",0.09,0.177,0.154
"P12","A Gerardo Morales",0.025,0.054,0.076
"P13","Seguro lo votaria",0.171,0.167,0.241
"P13","Quizás lo votaría",0.352,0.333,0.245
"P13","Nunca lo votaría",0.477,0.5,0.514
"P14","Lo votaría",0.456,0.088,0.084
"P14","Puede que lo vote",0.292,0.072,0.142
"P14","Nunca lo votaría",0.178,0.779,0.601
"P14","No sabe",0.074,0.061,0.173
"P15","Lo votaría",0.081,0.268,0.052
"P15","Puede que lo vote",0.09,0.389,0.137
"P15","Nunca lo votaría",0.792,0.264,0.699
"P15","No sabe",0.037,0.079,0.112
"P16","Lo votaría",0.035,0.201,0.065
"P16","Puede que lo vote",0.064,0.405,0.124
"P16","Nunca lo votaría",0.867,0.313,0.725
"P16","No sabe",0.034,0.081,0.086
"P17","La votaría",0.082,0.623,0.211
"P17","Puede que la vote",0.032,0.126,0.07
"P17","Nunca la votaría",0.871,0.234,0.665
"P17","No sabe",0.015,0.017,0.054
"P18","Lo votaría",0.259,0.133,0.087
"P18","Puede que lo vote",0.388,0.088,0.162
"P18","Nunca lo votaría",0.305,0.756,0.617
"P18","No sabe",0.048,0.023,0.134
"P19","Lo votaría",0.133,0.08,0.093
"P19","Puede que lo vote",0.322,0.174,0.2
"P19","Nunca lo votaría",0.479,0.648,0.531
"P19","No sabe",0.066,0.098,0.176
"P20","La votaría",0.443,0.107,0.119
"P20","Puede que la vote",0.306,0.081,0.188
"P20","Nunca la votaría",0.214,0.777,0.574
"P20","No sabe",0.037,0.035,0.119
"P21","Lo votaría",0.228,0.098,0.267
"P21","Puede que lo vote",0.299,0.082,0.141
"P21","Nunca lo votaría",0.433,0.772,0.485
"P21","No sabe",0.04,0.048,0.107
"P22","La votaría",0.243,0.075,0.068
"P22","Puede que la vote",0.347,0.101,0.122
"P22","Nunca la votaría",0.338,0.783,0.679
"P22","No sabe",0.072,0.041,0.131
"P23","Lo votaría",0.047,0.2,0.04
"P23","Puede que lo vote",0.094,0.38,0.114
"P23","Nunca lo votaría",0.827,0.346,0.745
"P23","No sabe",0.032,0.074,0.101
"P24","Lo votaría",0.059,0.037,0.024
"P24","Puede que lo vote",0.263,0.115,0.096
"P24","Nunca lo votaría",0.588,0.746,0.721
"P24","No sabe",0.09,0.102,0.159
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.446,0.077,0.045
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.182,0.079,0.116
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.012,0.047,0.026
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.11,0.675,0.233
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.182,0.059,0.326
"P25","Nicolás del Caño – Myriam Bregman",0.017,0.018,0.056
"P25","Otros candidatos",0.051,0.045,0.198
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.111,0.729,0.21
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.573,0.12,0.063
"P29","Javier Milei – José Luis Espert por los liberales",0.226,0.059,0.354
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.022,0.059
"P29","Otro candidato",0.073,0.07,0.314
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.476,0.124,0.133
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.114,0.562,0.139
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.26,0.062,0.342
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.047,0.081
"P31","Otro candidato",0.131,0.205,0.305
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.108,0.611,0.078
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.58,0.138,0.114
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.203,0.064,0.345
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.016,0.044,0.085
"P33","Otro candidato",0.093,0.143,0.378
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.112,0.613,0.066
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.491,0.151,0.143
"P35","Javier Milei – José Luis Espert por los liberales",0.27,0.067,0.347
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.049,0.089
"P35","Otro candidato",0.11,0.12,0.355
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.135,0.72,0.207
