"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.484,0.419,0.464
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.167,0.211
"P04","No tengo trabajo",0.137,0.185,0.172
"P04","Soy jubilado o pensionado",0.195,0.229,0.153
"P05","1",0.196,0.388,0.305
"P05","2",0.066,0.083,0.061
"P05","3",0.038,0.088,0.059
"P05","4",0.058,0.097,0.09
"P05","5",0.135,0.197,0.274
"P05","6",0.074,0.026,0.039
"P05","7",0.144,0.037,0.04
"P05","8",0.064,0.022,0.034
"P05","9",0.225,0.062,0.098
"P06","1",0.473,0.156,0.155
"P06","2",0.063,0.043,0.054
"P06","3",0.053,0.023,0.017
"P06","4",0.037,0.045,0.053
"P06","5",0.137,0.195,0.272
"P06","6",0.041,0.046,0.044
"P06","7",0.033,0.099,0.075
"P06","8",0.045,0.09,0.055
"P06","9",0.118,0.303,0.275
"P07","1",0.61,0.232,0.271
"P07","2",0.048,0.039,0.035
"P07","3",0.023,0.029,0.023
"P07","4",0.017,0.028,0.026
"P07","5",0.071,0.143,0.133
"P07","6",0.011,0.027,0.028
"P07","7",0.021,0.046,0.039
"P07","8",0.017,0.069,0.041
"P07","9",0.182,0.387,0.404
"P09","Del Frente de Todos y el peronismo",0.806,0.072,0.075
"P09","De Cambiemos",0.068,0.645,0.162
"P09","De los Liberales libertarios",0.021,0.197,0.339
"P09","De la Izquierda",0.029,0.013,0.067
"P09","No sabe",0.076,0.073,0.357
"P10","A Alberto Fernández",0.174,0.069,0.042
"P10","A Sergio Massa",0.134,0.182,0.227
"P10","A algún candidato del peronismo",0.134,0.52,0.489
"P10","A algún candidato del kirchnerismo",0.558,0.229,0.242
"P11","A Alberto Fernández",0.101,0.082,0.06
"P11","A Sergio Massa",0.072,0.159,0.17
"P11","A algún candidato del peronismo",0.071,0.481,0.564
"P11","A Cristina Fernández de Kirchner",0.756,0.278,0.206
"P12","A Horacio Rodriguez Larreta",0.181,0.24,0.393
"P12","A Mauricio Macri",0.239,0.389,0.122
"P12","A Patricia Bullrich",0.132,0.271,0.259
"P12","A Facundo Manes",0.328,0.08,0.149
"P12","A Gerardo Morales",0.12,0.02,0.077
"P13","Seguro lo votaria",0.092,0.184,0.306
"P13","Quizás lo votaría",0.236,0.348,0.266
"P13","Nunca lo votaría",0.672,0.468,0.428
"P14","Lo votaría",0.047,0.516,0.066
"P14","Puede que lo vote",0.039,0.308,0.184
"P14","Nunca lo votaría",0.828,0.115,0.566
"P14","No sabe",0.086,0.061,0.184
"P15","Lo votaría",0.238,0.098,0.032
"P15","Puede que lo vote",0.378,0.084,0.121
"P15","Nunca lo votaría",0.286,0.793,0.727
"P15","No sabe",0.098,0.025,0.12
"P16","Lo votaría",0.242,0.014,0.032
"P16","Puede que lo vote",0.456,0.033,0.048
"P16","Nunca lo votaría",0.191,0.943,0.831
"P16","No sabe",0.111,0.01,0.089
