"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.474,0.399,0.5,0.523,0.398
"P04","Realizo changas o trabajos de vez en cuando",0.19,0.164,0.228,0.165,0.164
"P04","No tengo trabajo",0.138,0.17,0.183,0.206,0.203
"P04","Soy jubilado o pensionado",0.198,0.267,0.089,0.106,0.235
"P05","1",0.199,0.358,0.405,0.12,0.282
"P05","2",0.068,0.072,0.083,0.009,0.092
"P05","3",0.032,0.074,0.106,0.005,0.049
"P05","4",0.062,0.107,0.067,0.041,0.09
"P05","5",0.132,0.233,0.221,0.159,0.26
"P05","6",0.068,0.031,0.017,0.037,0.064
"P05","7",0.146,0.047,0.018,0.132,0.033
"P05","8",0.067,0.014,0.026,0.104,0.044
"P05","9",0.226,0.064,0.057,0.393,0.086
"P06","1",0.488,0.192,0.109,0.337,0.19
"P06","2",0.066,0.041,0.037,0.096,0.071
"P06","3",0.051,0.028,0.02,0.045,0.018
"P06","4",0.037,0.052,0.033,0.023,0.055
"P06","5",0.134,0.233,0.173,0.226,0.258
"P06","6",0.034,0.055,0.04,0.005,0.043
"P06","7",0.03,0.079,0.105,0.07,0.082
"P06","8",0.039,0.05,0.119,0.058,0.079
"P06","9",0.121,0.27,0.364,0.14,0.204
"P07","1",0.617,0.296,0.169,0.783,0.263
"P07","2",0.046,0.049,0.02,0.022,0.051
"P07","3",0.025,0.032,0.012,0.025,0.024
"P07","4",0.015,0.024,0.031,0,0.028
"P07","5",0.07,0.138,0.135,0.028,0.14
"P07","6",0.007,0.025,0.038,0.007,0.018
"P07","7",0.018,0.041,0.057,0.009,0.041
"P07","8",0.012,0.045,0.089,0.023,0.039
"P07","9",0.19,0.35,0.449,0.103,0.396
"P09","Del Frente de Todos y el peronismo",0.813,0.099,0.047,0.122,0.174
"P09","De Cambiemos",0.075,0.707,0.176,0.045,0.357
