"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.411,0.492,0.476
"P04","Realizo changas o trabajos de vez en cuando",0.189,0.235,0.137
"P04","No tengo trabajo",0.15,0.172,0.156
"P04","Soy jubilado o pensionado",0.25,0.101,0.231
"P05","1",0.327,0.384,0.209
"P05","2",0.076,0.085,0.058
"P05","3",0.062,0.1,0.04
"P05","4",0.111,0.07,0.077
"P05","5",0.223,0.205,0.157
"P05","6",0.044,0.031,0.063
"P05","7",0.066,0.036,0.126
"P05","8",0.021,0.024,0.065
"P05","9",0.07,0.065,0.205
"P06","1",0.208,0.113,0.388
"P06","2",0.04,0.031,0.072
"P06","3",0.028,0.028,0.043
"P06","4",0.043,0.036,0.047
"P06","5",0.226,0.186,0.185
"P06","6",0.054,0.051,0.034
"P06","7",0.102,0.099,0.034
"P06","8",0.064,0.112,0.045
"P06","9",0.235,0.344,0.152
"P07","1",0.329,0.178,0.546
"P07","2",0.039,0.032,0.047
"P07","3",0.041,0.021,0.019
"P07","4",0.021,0.026,0.027
"P07","5",0.14,0.139,0.096
"P07","6",0.019,0.033,0.012
"P07","7",0.045,0.048,0.019
"P07","8",0.05,0.092,0.016
"P07","9",0.316,0.431,0.218
"P09","Del Frente de Todos y el peronismo",0.181,0.052,0.621
"P09","De Cambiemos",0.642,0.258,0.143
"P09","De los Liberales libertarios",0.044,0.55,0.037
"P09","De la Izquierda",0.024,0.022,0.048
"P09","No sabe",0.109,0.118,0.151
"P10","A Alberto Fernández",0.156,0.031,0.14
"P10","A Sergio Massa",0.244,0.225,0.122
"P10","A algún candidato del peronismo",0.24,0.552,0.148
"P10","A algún candidato del kirchnerismo",0.36,0.192,0.59
"P11","A Alberto Fernández",0.097,0.013,0.069
"P11","A Sergio Massa",0.119,0.156,0.067
"P11","A algún candidato del peronismo",0.238,0.515,0.096
"P11","A Cristina Fernández de Kirchner",0.546,0.316,0.768
"P12","A Horacio Rodriguez Larreta",0.28,0.182,0.225
"P12","A Mauricio Macri",0.323,0.39,0.381
"P12","A Patricia Bullrich",0.272,0.344,0.147
"P12","A Facundo Manes",0.091,0.069,0.185
"P12","A Gerardo Morales",0.034,0.015,0.062
"P13","Seguro lo votaria",0.154,0.3,0.114
"P13","Quizás lo votaría",0.302,0.46,0.324
"P13","Nunca lo votaría",0.544,0.24,0.562
"P14","Lo votaría",0.433,0.271,0.088
"P14","Puede que lo vote",0.233,0.292,0.073
"P14","Nunca lo votaría",0.248,0.334,0.741
"P14","No sabe",0.086,0.103,0.098
"P15","Lo votaría",0.091,0.093,0.188
"P15","Puede que lo vote",0.142,0.091,0.302
"P15","Nunca lo votaría",0.726,0.756,0.412
"P15","No sabe",0.041,0.06,0.098
"P16","Lo votaría",0.057,0.009,0.172
"P16","Puede que lo vote",0.11,0.047,0.343
"P16","Nunca lo votaría",0.803,0.927,0.372
"P16","No sabe",0.03,0.017,0.113
"P17","La votaría",0.131,0.035,0.554
"P17","Puede que la vote",0.046,0.029,0.124
"P17","Nunca la votaría",0.807,0.915,0.285
"P17","No sabe",0.016,0.021,0.037
"P18","Lo votaría",0.356,0.09,0.089
"P18","Puede que lo vote",0.365,0.283,0.102
"P18","Nunca lo votaría",0.233,0.536,0.752
"P18","No sabe",0.046,0.091,0.057
"P19","Lo votaría",0.172,0.091,0.062
"P19","Puede que lo vote",0.371,0.248,0.155
"P19","Nunca lo votaría",0.383,0.55,0.664
"P19","No sabe",0.074,0.111,0.119
"P20","La votaría",0.408,0.362,0.076
"P20","Puede que la vote",0.275,0.299,0.088
"P20","Nunca la votaría",0.263,0.273,0.779
"P20","No sabe",0.054,0.066,0.057
"P21","Lo votaría",0.102,0.552,0.046
"P21","Puede que lo vote",0.269,0.292,0.067
"P21","Nunca lo votaría",0.567,0.1,0.826
"P21","No sabe",0.062,0.056,0.061
"P22","La votaría",0.271,0.17,0.032
"P22","Puede que la vote",0.329,0.258,0.094
