"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.501,0.427,0.451
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.179,0.201
"P04","No tengo trabajo",0.135,0.175,0.182
"P04","Soy jubilado o pensionado",0.199,0.219,0.166
"P05","1",0.185,0.364,0.338
"P05","2",0.064,0.083,0.062
"P05","3",0.023,0.083,0.089
"P05","4",0.063,0.103,0.073
"P05","5",0.126,0.229,0.213
"P05","6",0.073,0.029,0.041
"P05","7",0.154,0.04,0.04
"P05","8",0.069,0.016,0.039
"P05","9",0.243,0.053,0.105
"P06","1",0.476,0.149,0.17
"P06","2",0.068,0.033,0.06
"P06","3",0.049,0.027,0.019
"P06","4",0.038,0.049,0.047
"P06","5",0.139,0.228,0.212
"P06","6",0.037,0.05,0.043
"P06","7",0.029,0.099,0.082
"P06","8",0.044,0.082,0.077
"P06","9",0.12,0.283,0.29
"P07","1",0.623,0.249,0.273
"P07","2",0.05,0.032,0.039
"P07","3",0.022,0.031,0.027
"P07","4",0.015,0.03,0.028
"P07","5",0.075,0.146,0.122
"P07","6",0.007,0.024,0.037
"P07","7",0.019,0.051,0.032
"P07","8",0.016,0.061,0.06
"P07","9",0.173,0.376,0.382
"P09","Del Frente de Todos y el peronismo",0.843,0.055,0.1
"P09","De Cambiemos",0.038,0.635,0.186
"P09","De los Liberales libertarios",0.011,0.204,0.344
"P09","De la Izquierda",0.033,0.02,0.056
"P09","No sabe",0.075,0.086,0.314
"P10","A Alberto Fernández",0.152,0.073,0.118
"P10","A Sergio Massa",0.148,0.143,0.107
"P10","A algún candidato del peronismo",0.128,0.694,0.37
"P10","A algún candidato del kirchnerismo",0.572,0.09,0.405
"P11","A Alberto Fernández",0.078,0.105,0.104
"P11","A Sergio Massa",0.082,0.116,0.056
"P11","A algún candidato del peronismo",0.071,0.694,0.389
"P11","A Cristina Fernández de Kirchner",0.769,0.085,0.451
"P12","A Horacio Rodriguez Larreta",0.022,0.265,0.237
"P12","A Mauricio Macri",0.17,0.344,0.385
"P12","A Patricia Bullrich",0,0.279,0.254
"P12","A Facundo Manes",0.487,0.086,0.119
"P12","A Gerardo Morales",0.321,0.026,0.005
"P13","Seguro lo votaria",0.068,0.183,0.238
"P13","Quizás lo votaría",0.074,0.343,0.345
"P13","Nunca lo votaría",0.858,0.474,0.417
"P14","Lo votaría",0.017,0.448,0.178
"P14","Puede que lo vote",0.022,0.301,0.211
"P14","Nunca lo votaría",0.875,0.175,0.459
"P14","No sabe",0.086,0.076,0.152
"P15","Lo votaría",0.23,0.096,0.049
"P15","Puede que lo vote",0.393,0.083,0.115
"P15","Nunca lo votaría",0.273,0.788,0.738
"P15","No sabe",0.104,0.033,0.098
"P16","Lo votaría",0.252,0.012,0.03
"P16","Puede que lo vote",0.473,0.02,0.078
"P16","Nunca lo votaría",0.163,0.956,0.811
"P16","No sabe",0.112,0.012,0.081
"P17","La votaría",0.793,0.011,0.055
"P17","Puede que la vote",0.143,0.016,0.076
"P17","Nunca la votaría",0.036,0.968,0.809
"P17","No sabe",0.028,0.005,0.06
"P18","Lo votaría",0.097,0.314,0.046
"P18","Puede que lo vote",0.032,0.407,0.208
"P18","Nunca lo votaría",0.836,0.229,0.615
"P18","No sabe",0.035,0.05,0.131
"P19","Lo votaría",0.02,0.182,0.093
"P19","Puede que lo vote",0.116,0.374,0.187
"P19","Nunca lo votaría",0.751,0.373,0.551
"P19","No sabe",0.113,0.071,0.169
"P20","La votaría",0.009,0.47,0.197
"P20","Puede que la vote",0.032,0.314,0.244
"P20","Nunca la votaría",0.925,0.163,0.449
"P20","No sabe",0.034,0.053,0.11
"P21","Lo votaría",0.02,0.268,0.328
"P21","Puede que lo vote",0.042,0.304,0.195
"P21","Nunca lo votaría",0.886,0.372,0.395
"P21","No sabe",0.052,0.056,0.082
"P22","La votaría",0.011,0.29,0.062
"P22","Puede que la vote",0.028,0.367,0.189
"P22","Nunca la votaría",0.885,0.274,0.633
"P22","No sabe",0.076,0.069,0.116
"P23","Lo votaría",0.195,0.049,0.02
"P23","Puede que lo vote",0.411,0.07,0.091
"P23","Nunca lo votaría",0.287,0.856,0.811
"P23","No sabe",0.107,0.025,0.078
"P24","Lo votaría",0.028,0.072,0.011
"P24","Puede que lo vote",0.092,0.275,0.114
"P24","Nunca lo votaría",0.776,0.546,0.736
"P24","No sabe",0.104,0.107,0.139
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.006,0.434,0.144
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.004,0.285,0.05
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.044,0.014,0.037
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.878,0.006,0.072
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.012,0.194,0.404
"P25","Nicolás del Caño – Myriam Bregman",0.032,0.007,0.064
"P25","Otros candidatos",0.024,0.06,0.229
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.905,0.017,0.068
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.004,0.599,0.152
"P29","Javier Milei – José Luis Espert por los liberales",0.023,0.241,0.425
