"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.526,0.47,0.383
"P04","Realizo changas o trabajos de vez en cuando",0.138,0.217,0.185
"P04","No tengo trabajo",0.121,0.178,0.176
"P04","Soy jubilado o pensionado",0.215,0.135,0.256
"P05","1",0.2,0.348,0.319
"P05","2",0.06,0.091,0.061
"P05","3",0.039,0.075,0.069
"P05","4",0.072,0.087,0.096
"P05","5",0.135,0.225,0.217
"P05","6",0.077,0.023,0.044
"P05","7",0.15,0.048,0.051
"P05","8",0.067,0.022,0.037
"P05","9",0.2,0.081,0.106
"P06","1",0.403,0.138,0.249
"P06","2",0.06,0.034,0.058
"P06","3",0.059,0.021,0.021
"P06","4",0.052,0.037,0.043
"P06","5",0.174,0.191,0.223
"P06","6",0.033,0.048,0.049
"P06","7",0.04,0.114,0.061
"P06","8",0.041,0.106,0.06
"P06","9",0.138,0.311,0.236
"P07","1",0.57,0.233,0.363
"P07","2",0.053,0.028,0.042
"P07","3",0.03,0.023,0.026
"P07","4",0.019,0.026,0.03
"P07","5",0.096,0.128,0.133
"P07","6",0.014,0.029,0.017
"P07","7",0.027,0.044,0.035
"P07","8",0.018,0.089,0.029
"P07","9",0.173,0.4,0.325
"P09","Del Frente de Todos y el peronismo",0.727,0.102,0.202
"P09","De Cambiemos",0.128,0.366,0.475
"P09","De los Liberales libertarios",0.038,0.403,0.071
"P09","De la Izquierda",0.031,0.023,0.045
"P09","No sabe",0.076,0.106,0.207
"P10","A Alberto Fernández",0.108,0.205,0.223
"P10","A Sergio Massa",0.156,0.211,0.064
"P10","A algún candidato del peronismo",0.148,0.221,0.266
"P10","A algún candidato del kirchnerismo",0.588,0.363,0.447
"P11","A Alberto Fernández",0.046,0.058,0.176
"P11","A Sergio Massa",0.084,0.086,0.057
"P11","A algún candidato del peronismo",0.084,0.239,0.24
"P11","A Cristina Fernández de Kirchner",0.786,0.617,0.527
"P12","A Horacio Rodriguez Larreta",0.303,0.213,0.258
"P12","A Mauricio Macri",0.245,0.359,0.371
"P12","A Patricia Bullrich",0.186,0.349,0.21
"P12","A Facundo Manes",0.176,0.067,0.121
"P12","A Gerardo Morales",0.09,0.012,0.04
"P13","Seguro lo votaria",0.195,0.247,0.12
"P13","Quizás lo votaría",0.215,0.449,0.28
"P13","Nunca lo votaría",0.59,0.304,0.6
"P14","Lo votaría",0.088,0.321,0.306
"P14","Puede que lo vote",0.06,0.282,0.19
"P14","Nunca lo votaría",0.779,0.299,0.392
"P14","No sabe",0.073,0.098,0.112
"P15","Lo votaría",0.256,0.077,0.067
"P15","Puede que lo vote",0.404,0.085,0.112
"P15","Nunca lo votaría",0.264,0.786,0.738
"P15","No sabe",0.076,0.052,0.083
"P16","Lo votaría",0.197,0.028,0.064
"P16","Puede que lo vote",0.43,0.067,0.09
"P16","Nunca lo votaría",0.275,0.883,0.775
"P16","No sabe",0.098,0.022,0.071
"P17","La votaría",0.649,0.072,0.165
"P17","Puede que la vote",0.132,0.04,0.05
"P17","Nunca la votaría",0.194,0.874,0.745
"P17","No sabe",0.025,0.014,0.04
"P18","Lo votaría",0.117,0.18,0.218
"P18","Puede que lo vote",0.105,0.304,0.277
"P18","Nunca lo votaría",0.762,0.444,0.409
"P18","No sabe",0.016,0.072,0.096
"P19","Lo votaría",0.042,0.102,0.168
"P19","Puede que lo vote",0.17,0.298,0.261
"P19","Nunca lo votaría",0.703,0.505,0.444
"P19","No sabe",0.085,0.095,0.127
"P20","La votaría",0.075,0.389,0.284
"P20","Puede que la vote",0.087,0.269,0.239
"P20","Nunca la votaría",0.825,0.277,0.385
"P20","No sabe",0.013,0.065,0.092
"P21","Lo votaría",0.055,0.43,0.096
"P21","Puede que lo vote",0.07,0.324,0.162
"P21","Nunca lo votaría",0.845,0.194,0.646
"P21","No sabe",0.03,0.052,0.096
"P22","La votaría",0.041,0.201,0.18
"P22","Puede que la vote",0.08,0.279,0.262
"P22","Nunca la votaría",0.838,0.439,0.447
"P22","No sabe",0.041,0.081,0.111
"P23","Lo votaría",0.185,0.046,0.053
"P23","Puede que lo vote",0.386,0.073,0.124
"P23","Nunca lo votaría",0.365,0.84,0.741
"P23","No sabe",0.064,0.041,0.082
"P24","Lo votaría",0.035,0.039,0.054
"P24","Puede que lo vote",0.109,0.188,0.214
"P24","Nunca lo votaría",0.773,0.671,0.579
"P24","No sabe",0.083,0.102,0.153
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.079,0.282,0.306
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.054,0.108,0.223
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.039,0.01,0.029
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.73,0.085,0.178
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.028,0.436,0.065
"P25","Nicolás del Caño – Myriam Bregman",0.026,0.018,0.041
"P25","Otros candidatos",0.044,0.061,0.158
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.758,0.096,0.171
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.107,0.325,0.442
"P29","Javier Milei – José Luis Espert por los liberales",0.047,0.482,0.071
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.028,0.016,0.046
"P29","Otro candidato",0.06,0.081,0.27
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.137,0.279,0.392
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.554,0.1,0.153
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.06,0.507,0.075
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.019,0.062
"P31","Otro candidato",0.195,0.095,0.318
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.642,0.089,0.073
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.124,0.38,0.434
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.035,0.461,0.071
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.053,0.014,0.066
"P33","Otro candidato",0.146,0.056,0.356
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.63,0.094,0.071
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.148,0.284,0.43
"P35","Javier Milei – José Luis Espert por los liberales",0.041,0.552,0.068
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.057,0.016,0.071
"P35","Otro candidato",0.124,0.054,0.36
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.765,0.089,0.195
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.124,0.279,0.423
