"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.375,0.348,0.4,0.395,0.365,0.379,0.364,0.389,0.324,0.443,0.66,0.131,0.386,0.472,0.153,0.651,0.264
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.328,0.377,0.282,0.358,0.351,0.303,0.254,0.299,0.392,0.257,0.14,0.538,0.265,0.245,0.553,0.028,0.474
"En blanco",0.135,0.132,0.139,0.104,0.137,0.147,0.163,0.129,0.114,0.178,0.08,0.145,0.25,0.114,0.147,0.161,0.174
"No sabe",0.162,0.143,0.179,0.143,0.147,0.171,0.219,0.183,0.17,0.122,0.12,0.186,0.099,0.169,0.147,0.16,0.088
