"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.473,0.354,0.263,0.197
"P05","Bastante",0.274,0.345,0.328,0.163
"P05","Poco",0.13,0.188,0.339,0.218
"P05","Nada",0.088,0.111,0.061,0.393
"P05","No sabe",0.035,0.002,0.009,0.029
"P06","Siempre",0.241,0.12,0.195,0.078
"P06","Casi siempre",0.289,0.379,0.285,0.259
"P06","Casi nunca",0.281,0.333,0.4,0.385
"P06","Nunca, pero esta es una excepción",0.189,0.168,0.12,0.278
"P09","Unión por la Patria",0.323,0.279,0.094,0.056
"P09","Juntos por el Cambio",0.252,0.217,0.241,0.131
"P09","Juntos Somos Río Negro",0.104,0.133,0.134,0.137
"P09","Liberales",0.175,0.117,0.056,0.034
"P09","Izquierda",0.047,0.074,0.074,0.056
"P09","Otro",0.024,0.044,0.115,0.09
"P09","No sabe",0.075,0.136,0.286,0.496
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.246,0.211,0.178,0.107
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.097,0.145,0.038,0.06
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.221,0.181,0.139,0.08
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.074,0.065,0.097,0.048
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.068,0.061,0.203,0.04
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.226,0.242,0.125,0.054
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.024,0.025,0.005,0.054
"P10","En blanco",0.014,0.012,0.05,0.105
"P10","No sabe",0.03,0.058,0.165,0.452
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.253,0.115,0.025,0.219
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.009,0,0.029,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.123,0.099,0,0
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.113,0.132,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.19,0.14,0.122,0.204
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0
"P14","En blanco",0.257,0.169,0.59,0.577
"P14","No sabe",0.055,0.345,0.234,0
"P17","Sí",0.584,0.476,0.617,0.698
"P17","No",0.416,0.524,0.383,0.302
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.168,0.157,0.235,0.194
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.165,0.15,0.126,0.211
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.114,0.115,0.065,0.087
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.21,0.332,0.346,0.129
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.224,0.11,0.066,0.058
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.068,0.074,0.042,0.072
"P18","En blanco",0.03,0.056,0.017,0.104
"P18","No sabe",0.021,0.006,0.103,0.145
"P23","Tiene Decidido que va a ir a votar",0.95,0.85,0.927,0.592
"P23","Tiene dudas sobre si va a ir a  votar",0.03,0.136,0.047,0.263
"P23","Tiene Decidido que no va a ir a votar",0.02,0.014,0.026,0.145
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.303,0.278,0.242,0.092
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.234,0.207,0.166,0.103
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.084,0.076,0.144,0.092
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.234,0.28,0.167,0.071
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.043,0.029,0.041
"P24","Otros",0.064,0.061,0.055,0.104
"P24","En blanco",0.015,0.002,0.055,0.071
"P24","No sabe",0.028,0.053,0.142,0.426
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.291,0.357,0.317,0.078
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.16,0.131,0.119,0.103
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.102,0.089,0.081,0.082
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.267,0.263,0.164,0.072
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.038,0.023,0.079
"P28","Otros",0.068,0.079,0.076,0.146
"P28","En blanco",0.022,0.002,0.006,0.077
"P28","No sabe",0.048,0.041,0.214,0.363
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.369,0.467,0.431,0.202
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.403,0.25,0.27,0.146
"P32","En blanco",0.125,0.093,0.042,0.118
"P32","No sabe",0.103,0.19,0.257,0.534
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.306,0.184,0.176
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.289,0.304,0.166,0.098
"P33","En blanco",0.26,0.246,0.312,0.235
"P33","No sabe",0.129,0.144,0.338,0.491
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.358,0.412,0.47,0.26
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.378,0.284,0.178,0.118
"P34","En blanco",0.16,0.144,0.147,0.146
"P34","No sabe",0.104,0.16,0.205,0.476
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.308,0.273,0.266,0.152
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.324,0.26,0.124,0.131
"P35","En blanco",0.242,0.287,0.351,0.253
"P35","No sabe",0.126,0.18,0.259,0.464
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.366,0.421,0.485,0.28
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.398,0.296,0.152,0.113
"P36","En blanco",0.14,0.116,0.197,0.106
"P36","No sabe",0.096,0.167,0.166,0.501
"P37","Lo votaría",0.349,0.36,0.382,0.194
"P37","Puede que lo vote",0.061,0.122,0.135,0.097
"P37","Nunca lo votaría",0.541,0.387,0.331,0.367
"P37","No sabe",0.049,0.131,0.152,0.342
"P38","Lo votaría",0.22,0.294,0.05,0.091
"P38","Puede que lo vote",0.082,0.162,0.227,0.108
"P38","Nunca lo votaría",0.615,0.4,0.613,0.421
"P38","No sabe",0.083,0.144,0.11,0.38
"P39","Lo votaría",0.33,0.237,0.219,0.085
"P39","Puede que lo vote",0.101,0.132,0.082,0.085
"P39","Nunca lo votaría",0.506,0.506,0.656,0.434
"P39","No sabe",0.063,0.125,0.043,0.396
"P40","Lo votaría",0.224,0.194,0.225,0.045
"P40","Puede que lo vote",0.181,0.206,0.183,0.127
"P40","Nunca lo votaría",0.532,0.461,0.531,0.561
"P40","No sabe",0.063,0.139,0.061,0.267
"P41","Lo votaría",0.122,0.108,0.076,0.085
"P41","Puede que lo vote",0.143,0.178,0.184,0.077
"P41","Nunca lo votaría",0.549,0.489,0.538,0.414
"P41","No sabe",0.186,0.225,0.202,0.424
"P42","Lo votaría",0.286,0.254,0.095,0.067
"P42","Puede que lo vote",0.126,0.181,0.262,0.095
"P42","Nunca lo votaría",0.532,0.496,0.488,0.468
"P42","No sabe",0.056,0.069,0.155,0.37
"P43","Lo votaría",0.138,0.118,0.023,0.089
"P43","Puede que lo vote",0.128,0.167,0.104,0.092
"P43","Nunca lo votaría",0.675,0.514,0.655,0.425
"P43","No sabe",0.059,0.201,0.218,0.394
"P44","Sí",0.423,0.414,0.616,0.174
"P44","No",0.577,0.586,0.384,0.826
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.262,0.218,0.183,0.113
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.098,0.145,0.042,0.059
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.23,0.185,0.139,0.08
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.08,0.072,0.097,0.048
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.238,0.249,0.152,0.061
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.024,0.025,0.005,0.054
"PRESIDENTE","En blanco",0.035,0.021,0.175,0.133
"PRESIDENTE","No sabe",0.033,0.085,0.207,0.452
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.258,0.304,0.154,0.225
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.187,0.15,0.147,0.178
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.091,0.078,0.102,0.073
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.173,0.228,0.406,0.142
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.208,0.17,0.13,0.088
