"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.476,0.434,0.414,0.264
"P05","Bastante",0.308,0.328,0.249,0.166
"P05","Poco",0.11,0.163,0.186,0.266
"P05","Nada",0.083,0.055,0.126,0.246
"P05","No sabe",0.023,0.02,0.025,0.058
"P06","Siempre",0.225,0.214,0.164,0.155
"P06","Casi siempre",0.367,0.335,0.292,0.256
"P06","Casi nunca",0.245,0.275,0.382,0.314
"P06","Nunca, pero esta es una excepción",0.163,0.176,0.162,0.275
"P09","Unión por la Patria",0.619,0.046,0.102,0.071
"P09","Juntos por el Cambio",0.07,0.556,0.089,0.137
"P09","Juntos Somos Río Negro",0.088,0.068,0.163,0.17
"P09","Liberales",0.017,0.184,0.383,0.131
"P09","Izquierda",0.056,0.042,0.138,0.011
"P09","Otro",0.04,0.02,0.051,0.054
"P09","No sabe",0.11,0.084,0.074,0.426
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.537,0.039,0.041,0.078
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.225,0.014,0.046,0.034
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.035,0.384,0.17,0.161
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.019,0.181,0,0.014
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.079,0.055,0.053,0.063
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.011,0.289,0.465,0.254
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.022,0.001,0.083,0
"P10","En blanco",0.027,0.002,0.088,0.042
"P10","No sabe",0.045,0.035,0.054,0.354
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.138,0.686,0,0
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0,0.078,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0,0.044,0.138
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.081,0.314,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.514,0,0,0.055
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0
"P14","En blanco",0.028,0,0.696,0.612
"P14","No sabe",0,0,0.182,0.195
"P17","Sí",0.546,0.598,0.614,0.595
"P17","No",0.454,0.402,0.386,0.405
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.229,0.145,0.119,0.179
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.212,0.151,0.146
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.045,0.15,0.044,0.178
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.297,0.175,0.251,0.241
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.155,0.239,0.23,0.058
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.108,0.041,0.125,0.008
"P18","En blanco",0.041,0.021,0.039,0.035
"P18","No sabe",0.012,0.017,0.041,0.155
"P22","Totalmente seguro",0.599,0.739,0.634,0.381
"P22","Bastante seguro",0.212,0.17,0.175,0.179
"P22","Algo seguro",0.104,0.046,0.077,0.099
"P22","Para nada seguro",0.085,0.045,0.114,0.341
"P23","Tiene Decidido que va a ir a votar",0.903,0.956,0.911,0.801
"P23","Tiene dudas sobre si va a ir a  votar",0.084,0.039,0.016,0.094
"P23","Tiene Decidido que no va a ir a votar",0.013,0.005,0.073,0.105
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.676,0.025,0.077,0.078
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.041,0.452,0.161,0.146
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.11,0.093,0.06,0.077
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.021,0.291,0.405,0.304
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.059,0.004,0.097,0.013
"P24","Otros",0.041,0.089,0.058,0.078
"P24","En blanco",0.02,0.009,0.067,0.025
"P24","No sabe",0.032,0.037,0.075,0.279
