"var","categoria","Sí","No"
"P05","Mucho",0.367,0.408
"P05","Bastante",0.282,0.269
"P05","Poco",0.185,0.169
"P05","Nada",0.146,0.121
"P05","No sabe",0.02,0.033
"P06","Siempre",0.174,0.214
"P06","Casi siempre",0.309,0.291
"P06","Casi nunca",0.325,0.304
"P06","Nunca, pero esta es una excepción",0.192,0.191
"P09","Unión por la Patria",0.225,0.291
"P09","Juntos por el Cambio",0.234,0.217
"P09","Juntos Somos Río Negro",0.119,0.123
"P09","Liberales",0.135,0.12
"P09","Izquierda",0.067,0.042
"P09","Otro",0.043,0.049
"P09","No sabe",0.177,0.158
"P22","Totalmente seguro",0.562,0.561
"P22","Bastante seguro",0.158,0.244
"P22","Algo seguro",0.1,0.086
"P22","Para nada seguro",0.18,0.109
"P23","Tiene Decidido que va a ir a votar",0.875,0.874
"P23","Tiene dudas sobre si va a ir a  votar",0.09,0.083
"P23","Tiene Decidido que no va a ir a votar",0.035,0.043
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.211,0.342
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.198,0.218
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.088,0.089
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.224,0.203
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.057,0.013
"P24","Otros",0.085,0.043
"P24","En blanco",0.03,0.014
"P24","No sabe",0.107,0.078
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.223,0.357
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.135,0.156
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.098,0.092
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.234,0.234
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.069,0.011
"P28","Otros",0.102,0.05
"P28","En blanco",0.033,0.012
"P28","No sabe",0.106,0.088
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.327,0.435
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.34,0.323
"P32","En blanco",0.127,0.09
"P32","No sabe",0.206,0.152
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.279,0.307
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.259,0.26
"P33","En blanco",0.263,0.252
"P33","No sabe",0.199,0.181
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.344,0.396
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.322,0.3
"P34","En blanco",0.163,0.142
"P34","No sabe",0.171,0.162
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.259,0.308
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.277,0.267
"P35","En blanco",0.267,0.252
"P35","No sabe",0.197,0.173
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.379,0.369
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.33,0.325
"P36","En blanco",0.144,0.125
"P36","No sabe",0.147,0.181
"P37","Lo votaría",0.323,0.353
"P37","Puede que lo vote",0.081,0.083
"P37","Nunca lo votaría",0.485,0.465
"P37","No sabe",0.111,0.099
"P38","Lo votaría",0.202,0.213
"P38","Puede que lo vote",0.105,0.118
"P38","Nunca lo votaría",0.571,0.528
"P38","No sabe",0.122,0.141
"P39","Lo votaría",0.287,0.262
"P39","Puede que lo vote",0.113,0.091
"P39","Nunca lo votaría",0.495,0.527
"P39","No sabe",0.105,0.12
"P40","Lo votaría",0.206,0.189
"P40","Puede que lo vote",0.178,0.183
"P40","Nunca lo votaría",0.516,0.528
"P40","No sabe",0.1,0.1
"P41","Lo votaría",0.131,0.086
"P41","Puede que lo vote",0.148,0.143
"P41","Nunca lo votaría",0.503,0.547
"P41","No sabe",0.218,0.224
"P42","Lo votaría",0.253,0.228
"P42","Puede que lo vote",0.123,0.171
"P42","Nunca lo votaría",0.541,0.481
"P42","No sabe",0.083,0.12
"P43","Lo votaría",0.157,0.072
"P43","Puede que lo vote",0.121,0.142
"P43","Nunca lo votaría",0.601,0.635
"P43","No sabe",0.121,0.151
"P44","Sí",0.415,0.404
"P44","No",0.585,0.596
