"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.505,0.398,0.44,0.36,0.454,0.423,0.282,0.211
"P05","Bastante",0.265,0.391,0.279,0.25,0.201,0.195,0.221,0.274
"P05","Poco",0.138,0.176,0.16,0.208,0.234,0.141,0.185,0.259
"P05","Nada",0.089,0.034,0.09,0.143,0.029,0.197,0.295,0.211
"P05","No sabe",0.003,0.001,0.031,0.039,0.082,0.044,0.017,0.045
"P06","Siempre",0.228,0.212,0.338,0.151,0.03,0.208,0.093,0.156
"P06","Casi siempre",0.357,0.423,0.237,0.246,0.381,0.34,0.46,0.269
"P06","Casi nunca",0.262,0.265,0.156,0.387,0.259,0.269,0.196,0.367
"P06","Nunca, pero esta es una excepción",0.153,0.1,0.269,0.216,0.33,0.183,0.251,0.208
"P09","Unión por la Patria",0.704,0.075,0.185,0.084,0.188,0.156,0,0.075
"P09","Juntos por el Cambio",0.083,0.674,0.187,0.141,0.015,0.374,0.254,0.206
"P09","Juntos Somos Río Negro",0.071,0.095,0.372,0.11,0,0.159,0.025,0.052
"P09","Liberales",0.026,0.031,0.139,0.475,0.022,0.032,0.01,0.025
"P09","Izquierda",0.022,0.007,0.057,0.045,0.63,0.045,0.017,0.006
"P09","Otro",0.029,0.029,0.005,0.035,0.009,0.096,0.22,0.019
"P09","No sabe",0.065,0.089,0.055,0.11,0.136,0.138,0.474,0.617
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.701,0.038,0.023,0.066,0.042,0.004,0,0.024
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.163,0.05,0.062,0.014,0.285,0.347,0,0.012
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.025,0.482,0.239,0.111,0.005,0.319,0.297,0.203
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.024,0.305,0.037,0.011,0.048,0.05,0.017,0.037
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.044,0.044,0.359,0.036,0,0.056,0,0.011
