"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.484,0.496,0.378,0.418,0.389,0.243,0.269,0.193
"P05","Bastante",0.255,0.293,0.339,0.375,0.245,0.213,0.147,0.234
"P05","Poco",0.176,0.089,0.156,0.132,0.188,0.211,0.239,0.263
"P05","Nada",0.074,0.104,0.098,0.061,0.151,0.247,0.313,0.262
"P05","No sabe",0.011,0.018,0.029,0.014,0.027,0.086,0.032,0.048
"P06","Siempre",0.238,0.14,0.179,0.265,0.167,0.04,0.217,0.134
"P06","Casi siempre",0.351,0.406,0.367,0.304,0.213,0.239,0.194,0.21
"P06","Casi nunca",0.284,0.209,0.276,0.3,0.384,0.495,0.277,0.399
"P06","Nunca, pero esta es una excepción",0.127,0.245,0.178,0.131,0.236,0.226,0.312,0.257
"P09","Unión por la Patria",0.669,0.569,0.058,0.097,0.053,0.061,0.143,0.05
"P09","Juntos por el Cambio",0.05,0.129,0.647,0.565,0.109,0.013,0.101,0.099
"P09","Juntos Somos Río Negro",0.101,0.137,0.081,0.148,0.121,0.037,0.364,0.094
"P09","Liberales",0.009,0.011,0.049,0.036,0.541,0,0.008,0.019
"P09","Izquierda",0.018,0.077,0.008,0.064,0.046,0.681,0.019,0.081
"P09","Otro",0.032,0.042,0.036,0.047,0.034,0.134,0.1,0.077
"P09","No sabe",0.121,0.035,0.121,0.043,0.096,0.074,0.265,0.58
"P22","Totalmente seguro",0.658,0.572,0.678,0.598,0.651,0.496,0.326,0.153
"P22","Bastante seguro",0.189,0.293,0.189,0.185,0.235,0.182,0.069,0.135
"P22","Algo seguro",0.077,0.042,0.069,0.122,0.07,0.018,0.274,0.159
"P22","Para nada seguro",0.076,0.093,0.064,0.095,0.044,0.304,0.331,0.553
"P23","Tiene Decidido que va a ir a votar",0.956,0.862,0.836,0.923,0.941,0.766,0.749,0.738
"P23","Tiene dudas sobre si va a ir a  votar",0.044,0.115,0.124,0.074,0.028,0.234,0.133,0.14
"P23","Tiene Decidido que no va a ir a votar",0,0.023,0.04,0.003,0.031,0,0.118,0.122
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.832,0.448,0.051,0.046,0.018,0.045,0.109,0.032
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.026,0.075,0.819,0.252,0.072,0.017,0.005,0.039
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.097,0.054,0.05,0.177,0.072,0.023,0.327,0.039
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.023,0.035,0.05,0.099,0.797,0.023,0.018,0.157
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.152,0.006,0.018,0,0.768,0,0.008
"P24","Otros",0.012,0.21,0.015,0.25,0.004,0,0.194,0.097
"P24","En blanco",0.002,0.007,0.004,0.016,0,0.016,0.31,0.03
