"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.366,0.35,0.38,0.384,0.36,0.372,0.344,0.371,0.335,0.41,0.655,0.126,0.277,0.439,0.148,0.656,0.306
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.313,0.339,0.289,0.238,0.306,0.323,0.433,0.269,0.315,0.363,0.105,0.61,0.515,0.245,0.602,0.091,0.097
"En blanco",0.154,0.148,0.16,0.17,0.174,0.159,0.064,0.168,0.159,0.129,0.091,0.128,0.111,0.148,0.117,0.076,0.563
"No sabe",0.167,0.163,0.171,0.208,0.16,0.146,0.159,0.192,0.191,0.098,0.149,0.136,0.097,0.168,0.133,0.177,0.034
