"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.155,0.093,0.215,0.199,0.134,0.137,0.139,0.035,0.267,0.141,0.179,0.198,0,0.134,0.12,0,0
"Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.011,0.023,0,0,0,0.036,0.034,0,0.017,0.02,0.012,0.021,0,0.005,0,0,0
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.08,0.057,0,0.043,0.198,0.105,0.051,0.064,0.107,0.059,0.086,0.283,0.074,0.086,0,0
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.075,0.092,0.058,0.095,0.025,0.064,0.203,0.031,0.044,0.213,0.062,0.161,0.118,0.076,0.08,0,0
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.15,0.124,0.176,0.199,0.131,0.098,0.181,0.061,0.244,0.121,0.167,0.104,0.251,0.16,0.133,1,0
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En blanco",0.4,0.34,0.46,0.308,0.525,0.42,0.196,0.576,0.274,0.344,0.343,0.346,0.348,0.406,0.425,0,1
"No sabe",0.14,0.248,0.034,0.199,0.142,0.047,0.142,0.246,0.09,0.054,0.178,0.084,0,0.145,0.156,0,0
