"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.483,0.497,0.372,0.4,0.465,0.358,0.243,0.126,0.201
"P05","Bastante",0.257,0.294,0.343,0.38,0.113,0.256,0.213,0.267,0.239
"P05","Poco",0.17,0.086,0.155,0.14,0.273,0.199,0.211,0.162,0.238
"P05","Nada",0.078,0.105,0.1,0.065,0.131,0.159,0.247,0.396,0.276
"P05","No sabe",0.012,0.018,0.03,0.015,0.018,0.028,0.086,0.049,0.046
"P06","Siempre",0.235,0.139,0.167,0.258,0.341,0.142,0.04,0.093,0.139
"P06","Casi siempre",0.355,0.409,0.372,0.299,0.204,0.212,0.239,0.319,0.192
"P06","Casi nunca",0.292,0.21,0.278,0.318,0.201,0.401,0.495,0.255,0.421
"P06","Nunca, pero esta es una excepción",0.118,0.242,0.183,0.125,0.254,0.245,0.226,0.333,0.248
"P09","Unión por la Patria",0.694,0.571,0.039,0.072,0.256,0.043,0.061,0.06,0.039
"P09","Juntos por el Cambio",0.047,0.13,0.665,0.59,0.123,0.116,0.013,0.074,0.079
"P09","Juntos Somos Río Negro",0.08,0.137,0.076,0.137,0.476,0.087,0.037,0.188,0.074
"P09","Liberales",0.009,0.011,0.051,0.038,0.007,0.572,0,0,0.021
"P09","Izquierda",0.019,0.077,0.008,0.067,0.034,0.044,0.681,0.042,0.072
"P09","Otro",0.032,0.039,0.037,0.05,0.034,0.036,0.134,0.162,0.084
"P09","No sabe",0.119,0.035,0.124,0.046,0.07,0.102,0.074,0.474,0.631
"P22","Totalmente seguro",0.652,0.574,0.673,0.59,0.507,0.655,0.496,0.259,0.153
"P22","Bastante seguro",0.193,0.295,0.191,0.179,0.157,0.242,0.182,0.077,0.1
"P22","Algo seguro",0.079,0.037,0.071,0.13,0.255,0.061,0.018,0.153,0.139
"P22","Para nada seguro",0.076,0.094,0.065,0.101,0.081,0.042,0.304,0.511,0.608
"P23","Tiene Decidido que va a ir a votar",0.954,0.862,0.833,0.933,0.93,0.938,0.766,0.611,0.722
"P23","Tiene dudas sobre si va a ir a  votar",0.046,0.115,0.126,0.064,0.045,0.029,0.234,0.19,0.154
"P23","Tiene Decidido que no va a ir a votar",0,0.023,0.041,0.003,0.025,0.033,0,0.199,0.124
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.876,0.451,0.038,0.008,0.152,0.015,0.045,0.084,0.035
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.026,0.074,0.847,0.268,0.055,0.064,0.017,0.008,0.039
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.054,0.032,0.167,0.58,0.026,0.023,0.092,0.015
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.022,0.031,0.052,0.103,0.135,0.85,0.023,0.009,0.098
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.153,0.006,0.019,0,0,0.768,0,0.008
"P24","Otros",0.006,0.211,0.016,0.269,0.073,0.005,0,0.206,0.108
"P24","En blanco",0.002,0.007,0.004,0.013,0.005,0,0.016,0.537,0.034
"P24","No sabe",0.002,0.019,0.005,0.153,0,0.04,0.108,0.064,0.663
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.876,0.439,0.039,0.098,0.182,0.028,0.06,0.021,0.044
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.024,0.07,0.39,0.659,0.094,0.05,0.022,0.009,0.004
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.01,0.057,0.128,0.053,0.514,0.077,0.031,0.119,0.064
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.07,0.031,0.146,0.038,0.126,0.829,0.031,0,0.025
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.122,0.001,0.032,0,0,0.822,0,0.115
"P28","Otros",0.001,0.269,0.144,0.06,0.068,0.011,0.013,0.216,0.092
"P28","En blanco",0,0,0.04,0.006,0,0,0.021,0.375,0.053
"P28","No sabe",0.01,0.012,0.112,0.054,0.016,0.005,0,0.26,0.603
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.917,0.812,0.028,0.083,0.45,0.066,0.324,0.264,0.177
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.018,0.051,0.935,0.643,0.116,0.44,0.052,0.102,0.066
"P32","En blanco",0.007,0.069,0.011,0.076,0.186,0.239,0.265,0.5,0.137
"P32","No sabe",0.058,0.068,0.026,0.198,0.248,0.255,0.359,0.134,0.62
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.262,0.828,0.425,0.332,0.093,0.021,0.091,0.122
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.109,0.031,0.147,0.203,0.07,0.866,0.031,0.01,0.057
"P33","En blanco",0.449,0.582,0,0.112,0.342,0.021,0.917,0.802,0.231
"P33","No sabe",0.322,0.125,0.025,0.26,0.256,0.02,0.031,0.097,0.59
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.862,0.828,0.069,0.106,0.446,0.019,0.381,0.314,0.171
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.043,0.646,0.859,0.266,0.434,0.022,0.017,0.117
"P34","En blanco",0.028,0.071,0.14,0,0.125,0.344,0.597,0.442,0.088
"P34","No sabe",0.057,0.058,0.145,0.035,0.163,0.203,0,0.227,0.624
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.183,0.255,0.563,0.801,0.441,0.055,0.108,0.272,0.07
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.028,0.091,0.255,0.095,0.068,0.89,0,0.026,0.102
"P35","En blanco",0.423,0.498,0.087,0.072,0.303,0.045,0.892,0.483,0.318
"P35","No sabe",0.366,0.156,0.095,0.032,0.188,0.01,0,0.219,0.51
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.9,0.812,0.058,0.154,0.487,0.002,0.369,0.364,0.124
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.008,0.025,0.512,0.179,0.185,0.907,0.021,0.016,0.08
"P36","En blanco",0.037,0.078,0.204,0.305,0.152,0.053,0.61,0.506,0.15
"P36","No sabe",0.055,0.085,0.226,0.362,0.176,0.038,0,0.114,0.646
"P37","Lo votaría",0.972,0.671,0.01,0.032,0.305,0.013,0.032,0.227,0.079
"P37","Puede que lo vote",0.007,0.171,0.08,0.023,0.154,0.095,0.074,0.08,0.141
"P37","Nunca lo votaría",0.009,0.125,0.831,0.837,0.383,0.782,0.683,0.568,0.347
"P37","No sabe",0.012,0.033,0.079,0.108,0.158,0.11,0.211,0.125,0.433
"P38","Lo votaría",0.384,0.808,0.043,0.021,0.199,0.009,0.192,0,0
