"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.54,0.396,0.277,0.387,0.4,0.161,0.245
"P05","Bastante",0.26,0.341,0.215,0.302,0.147,0.259,0.203
"P05","Poco",0.124,0.151,0.343,0.167,0.226,0.13,0.208
"P05","Nada",0.072,0.099,0.132,0.103,0.16,0.388,0.321
"P05","No sabe",0.004,0.013,0.033,0.041,0.067,0.062,0.023
"P06","Siempre",0.249,0.208,0.183,0.143,0.129,0.087,0.139
"P06","Casi siempre",0.325,0.377,0.303,0.246,0.293,0.208,0.178
"P06","Casi nunca",0.277,0.261,0.341,0.396,0.29,0.348,0.399
"P06","Nunca, pero esta es una excepción",0.149,0.154,0.173,0.215,0.288,0.357,0.284
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.56,0.041,0.129,0.015,0.067,0.132,0.14
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.243,0.059,0.117,0.009,0.144,0.084,0.022
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.029,0.536,0.115,0.076,0.028,0.142,0.136
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.02,0.176,0.076,0.021,0.083,0.071,0.019
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.083,0.043,0.308,0.005,0.049,0.055,0.033
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.033,0.093,0.131,0.854,0.145,0.139,0.111
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0.001,0.007,0,0.308,0.07,0.011
"P10","En blanco",0.007,0.01,0.046,0,0.022,0.101,0.084
"P10","No sabe",0.019,0.041,0.071,0.02,0.154,0.206,0.444
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.153,0.066,0.161,0,0,0.213,0.478
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.017,0,0,0,0,0.284,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.174,0,0.052,0,0,0,0
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.154,0.08,0.047,0,0,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.133,0,0.226,0,0.436,0,0
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0,0,0,0
"P14","En blanco",0.294,0.463,0.425,1,0,0.503,0.522
"P14","No sabe",0.075,0.391,0.089,0,0.564,0,0
"P17","Sí",0.52,0.601,0.575,0.612,0.695,0.548,0.61
"P17","No",0.48,0.399,0.425,0.388,0.305,0.452,0.39
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.275,0.29,0.139,0,0,0.157,0.161
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.175,0.248,0.309,0,0,0.112,0.16
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0,0.223,0.141,0.208,0,0.03,0.027
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.301,0.122,0.411,0.293,0,0.043,0.235
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.249,0.117,0,0.499,0,0.026,0.027
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"P18","En blanco",0,0,0,0,0,0.348,0.182
"P18","No sabe",0,0,0,0,0,0.284,0.208
"P22","Totalmente seguro",0.718,0.627,0.498,0.747,0.473,0.287,0.247
"P22","Bastante seguro",0.214,0.186,0.219,0.173,0.254,0.186,0.156
"P22","Algo seguro",0.035,0.1,0.108,0.041,0.123,0.235,0.159
"P22","Para nada seguro",0.033,0.087,0.175,0.039,0.15,0.292,0.438
"P23","Tiene Decidido que va a ir a votar",0.951,0.904,0.905,0.933,0.824,0.763,0.707
"P23","Tiene dudas sobre si va a ir a  votar",0.042,0.076,0.054,0.029,0.144,0.165,0.195
"P23","Tiene Decidido que no va a ir a votar",0.007,0.02,0.041,0.038,0.032,0.072,0.098
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.764,0.026,0.107,0.049,0.087,0.216,0.151
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.027,0.617,0.162,0.084,0.103,0.132,0.099
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.065,0.06,0.378,0.031,0.051,0.016,0.018
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.039,0.167,0.149,0.801,0.122,0.163,0.168
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.007,0.013,0,0.455,0.082,0.014
"P24","Otros",0.062,0.079,0.069,0.022,0.13,0.194,0.049
"P24","En blanco",0,0.01,0.02,0.005,0.007,0.082,0.096
"P24","No sabe",0.02,0.034,0.102,0.008,0.045,0.115,0.405
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.719,0.101,0.174,0.05,0.109,0.223,0.12
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.425,0.121,0.031,0.018,0.115,0.084
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.065,0.078,0.314,0.093,0.098,0.013,0.035
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.072,0.145,0.228,0.782,0.189,0.226,0.17
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.003,0,0.007,0.503,0.011,0.04
"P28","Otros",0.046,0.132,0.113,0.018,0.065,0.215,0.074
"P28","En blanco",0,0.027,0.005,0.002,0.007,0.145,0.075
"P28","No sabe",0.027,0.089,0.045,0.017,0.011,0.052,0.402
