"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sí",0.583,0.531,0.634,0.55,0.638,0.549,0.538,0.538,0.59,0.632,0.588,0.586,0.572,0.623,0.555,0.596,0.484
"No",0.417,0.469,0.366,0.45,0.362,0.451,0.462,0.462,0.41,0.368,0.412,0.414,0.428,0.377,0.445,0.404,0.516
