"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.21,0.203,0.217,0.142,0.229,0.239,0.233,0.235,0.193,0.208,0.41,0.069,0.171,0.259,0.108,0.432,0.061
"Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.106,0.1,0.112,0.172,0.088,0.083,0.075,0.063,0.119,0.14,0.192,0.031,0.096,0.086,0.036,0.317,0.131
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.192,0.193,0.19,0.106,0.153,0.265,0.344,0.15,0.205,0.222,0.037,0.404,0.24,0.146,0.378,0.019,0.224
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.073,0.065,0.081,0.043,0.069,0.089,0.114,0.051,0.065,0.118,0.025,0.13,0.085,0.078,0.121,0.023,0.078
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.196,0.255,0.14,0.271,0.214,0.147,0.082,0.219,0.205,0.149,0.107,0.248,0.333,0.193,0.238,0.081,0.358
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.025,0.031,0.02,0.039,0.026,0.014,0.018,0.031,0.02,0.028,0.018,0.001,0.008,0.011,0.001,0.055,0.133
"En blanco",0.068,0.063,0.073,0.056,0.085,0.062,0.052,0.11,0.046,0.053,0.077,0.034,0.046,0.104,0.037,0,0.015
"No sabe",0.13,0.09,0.167,0.171,0.136,0.101,0.082,0.141,0.147,0.082,0.134,0.083,0.021,0.123,0.081,0.073,0
