"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.424,0.427,0.351,0.376,0.412,0.536,0.11,0.186
"P05","Bastante",0.309,0.25,0.383,0.247,0.288,0.114,0.183,0.233
"P05","Poco",0.164,0.2,0.16,0.241,0.144,0.164,0.183,0.311
"P05","Nada",0.077,0.106,0.1,0.128,0.119,0.122,0.424,0.27
"P05","No sabe",0.026,0.017,0.006,0.008,0.037,0.064,0.1,0
"P06","Siempre",0.197,0.209,0.191,0.25,0.164,0.069,0.134,0.09
"P06","Casi siempre",0.372,0.3,0.336,0.24,0.279,0.359,0.227,0.363
"P06","Casi nunca",0.266,0.314,0.255,0.308,0.361,0.315,0.367,0.377
"P06","Nunca, pero esta es una excepción",0.165,0.177,0.218,0.202,0.196,0.257,0.272,0.17
"P09","Unión por la Patria",0.577,0.146,0.017,0.273,0.186,0.022,0,0
"P09","Juntos por el Cambio",0.186,0.517,0.55,0.123,0.128,0,0,0
"P09","Juntos Somos Río Negro",0.082,0.113,0.128,0.299,0.034,0,0.155,0
"P09","Liberales",0,0.028,0.196,0.12,0.487,0,0,0
"P09","Izquierda",0.008,0.01,0.045,0.014,0.042,0.978,0,0
"P09","Otro",0.032,0.041,0.029,0.019,0.04,0,0.251,0.265
"P09","No sabe",0.115,0.145,0.035,0.152,0.083,0,0.594,0.735
"P22","Totalmente seguro",0.591,0.619,0.606,0.496,0.679,0.624,0.415,0.261
"P22","Bastante seguro",0.235,0.168,0.174,0.222,0.187,0.174,0.158,0.021
"P22","Algo seguro",0.058,0.08,0.11,0.19,0.07,0.029,0.033,0.123
"P22","Para nada seguro",0.116,0.133,0.11,0.092,0.064,0.173,0.394,0.595
"P23","Tiene Decidido que va a ir a votar",0.897,0.88,0.896,0.917,0.94,0.804,0.722,0.677
"P23","Tiene dudas sobre si va a ir a  votar",0.079,0.086,0.07,0.045,0.034,0.183,0.214,0.299
"P23","Tiene Decidido que no va a ir a votar",0.024,0.034,0.034,0.038,0.026,0.013,0.064,0.024
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.655,0.114,0.043,0.213,0.139,0.154,0.12,0.086
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.1,0.574,0.373,0.122,0.123,0,0.157,0.097
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.098,0.02,0.054,0.24,0.042,0,0.025,0
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.031,0.158,0.248,0.195,0.621,0.033,0.054,0.151
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0,0.025,0.012,0.01,0.597,0.091,0.035
"P24","Otros",0.079,0.051,0.132,0.06,0.033,0.145,0.113,0.048
"P24","En blanco",0.004,0.024,0.017,0.04,0,0.01,0.206,0.047
"P24","No sabe",0.01,0.059,0.108,0.118,0.032,0.061,0.234,0.536
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.687,0.103,0.074,0.243,0.14,0.148,0.029,0.128
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.077,0.276,0.39,0.101,0.086,0.025,0.217,0.073
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.04,0.075,0.084,0.213,0.117,0,0.04,0
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.061,0.219,0.28,0.223,0.594,0.041,0.046,0.158
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.015,0.003,0.006,0.015,0.688,0.033,0.236
"P28","Otros",0.082,0.148,0.116,0.046,0.017,0.073,0.137,0.084
"P28","En blanco",0.008,0.037,0.012,0.018,0.013,0.01,0.192,0.105
"P28","No sabe",0.026,0.127,0.041,0.15,0.018,0.015,0.306,0.216
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.753,0.11,0.058,0.426,0.2,0.453,0.402,0.12
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.723,0.696,0.21,0.407,0.035,0.148,0.093
"P32","En blanco",0.048,0.041,0.046,0.102,0.235,0.313,0.192,0.193
"P32","No sabe",0.07,0.126,0.2,0.262,0.158,0.199,0.258,0.594
