"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.291,0.305,0.277,0.26,0.235,0.352,0.404,0.22,0.301,0.359,0.118,0.501,0.4,0.228,0.495,0.193,0.287
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.26,0.307,0.215,0.266,0.304,0.214,0.192,0.331,0.268,0.159,0.146,0.358,0.329,0.257,0.34,0.051,0.5
"En blanco",0.258,0.268,0.25,0.27,0.261,0.27,0.214,0.232,0.251,0.302,0.438,0.057,0.152,0.274,0.071,0.528,0.196
"No sabe",0.191,0.12,0.258,0.204,0.2,0.164,0.19,0.217,0.18,0.18,0.298,0.084,0.119,0.241,0.094,0.228,0.017
