"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.424,0.404,0.467,0.342
"P05","Bastante",0.39,0.296,0.249,0.149
"P05","Poco",0.148,0.141,0.163,0.234
"P05","Nada",0.025,0.127,0.086,0.235
"P05","No sabe",0.013,0.032,0.035,0.04
"P06","Siempre",0.235,0.155,0.209,0.194
"P06","Casi siempre",0.392,0.287,0.345,0.274
"P06","Casi nunca",0.211,0.334,0.288,0.317
"P06","Nunca, pero esta es una excepción",0.162,0.224,0.158,0.215
"P09","Unión por la Patria",0.203,0.051,0.548,0.305
"P09","Juntos por el Cambio",0.515,0.211,0.04,0.136
"P09","Juntos Somos Río Negro",0.094,0.102,0.086,0.144
"P09","Liberales",0.031,0.457,0.041,0.011
"P09","Izquierda",0.054,0.026,0.126,0.013
"P09","Otro",0.037,0.035,0.038,0.029
"P09","No sabe",0.066,0.118,0.121,0.362
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.15,0.024,0.372,0.45
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.093,0.034,0.195,0.085
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.377,0.175,0.063,0.096
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.18,0.022,0.017,0.011
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.096,0.015,0.071,0.061
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.042,0.693,0.037,0.011
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0,0.075,0
"P10","En blanco",0.031,0.003,0.059,0.037
"P10","No sabe",0.023,0.034,0.111,0.249
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.477,0.109,0.081,0.052
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0.156,0.013,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.182,0.321,0.112
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.3,0.086,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.17,0.112,0.18,0.194
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0
"P14","En blanco",0.015,0,0.322,0.594
"P14","No sabe",0.015,0.355,0.083,0.048
"P17","Sí",0.54,0.592,0.597,0.614
"P17","No",0.46,0.408,0.403,0.386
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.223,0.063,0.186,0.268
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.165,0.181,0.156,0.113
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.155,0.153,0.026,0.046
