"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.413,0.369,0.588,0.755,0.929,0,0.476,0.107
"P05","Bastante",0.209,0,0.25,0.245,0.071,0,0.066,0.165
"P05","Poco",0.378,0.631,0.162,0,0,0,0.222,0.579
"P05","Nada",0,0,0,0,0,0,0.212,0.08
"P05","No sabe",0,0,0,0,0,0,0.024,0.069
"P06","Siempre",0.201,0.369,0.607,0.27,0.605,0,0.349,0.069
"P06","Casi siempre",0.303,0,0.231,0.36,0.266,0,0.161,0.32
"P06","Casi nunca",0.118,0,0.162,0,0.064,0,0.223,0.124
"P06","Nunca, pero esta es una excepción",0.378,0.631,0,0.37,0.065,0,0.267,0.487
"P09","Unión por la Patria",0.25,0.369,0.641,0.522,0.224,0,0.186,0.136
"P09","Juntos por el Cambio",0.072,0,0,0.18,0,0,0.195,0.472
"P09","Juntos Somos Río Negro",0.49,0,0.359,0.298,0.711,0,0.502,0.301
"P09","Liberales",0,0,0,0,0,0,0.021,0
"P09","Izquierda",0,0,0,0,0.065,0,0,0.091
"P09","Otro",0.035,0.631,0,0,0,0,0.032,0
"P09","No sabe",0.153,0,0,0,0,0,0.064,0
"P22","Totalmente seguro",0.755,0.353,0.799,0.73,0.577,0,0.362,0.191
"P22","Bastante seguro",0.108,0,0.201,0.27,0.134,0,0.075,0.377
"P22","Algo seguro",0.039,0.647,0,0,0.197,0,0.441,0.432
"P22","Para nada seguro",0.098,0,0,0,0.092,0,0.122,0
"P23","Tiene Decidido que va a ir a votar",1,1,0.877,0.705,1,0,0.905,0.889
"P23","Tiene dudas sobre si va a ir a  votar",0,0,0.123,0.295,0,0,0.067,0
"P23","Tiene Decidido que no va a ir a votar",0,0,0,0,0,0,0.028,0.111
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.105,0,0.384,0.57,0.039,0,0.145,0
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.037,0.282,0.024,0.058,0.136,0,0,0.025
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.74,0,0.592,0.238,0.825,0,0.611,0.214
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.033,0.718,0,0.043,0,0,0.045,0.761
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0,0,0,0,0
"P24","Otros",0.085,0,0,0,0,0,0.199,0
"P24","En blanco",0,0,0,0.091,0,0,0,0
"P24","No sabe",0,0,0,0,0,0,0,0
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.118,0.314,0.36,0.365,0.411,0,0.03,0.084
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.193,0,0.286,0.157,0,0,0,0
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.62,0,0.305,0.134,0.557,0,0.715,0.296
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.028,0.686,0.049,0.344,0,0,0.088,0.486
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0,0,0,0,0
"P28","Otros",0,0,0,0,0,0,0.167,0.134
"P28","En blanco",0,0,0,0,0,0,0,0
"P28","No sabe",0.041,0,0,0,0.032,0,0,0
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.294,0,0.949,0.306,0.885,0,0.143,0.083
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.26,0.316,0.051,0.634,0.027,0,0,0
"P32","En blanco",0.446,0,0,0.06,0,0,0.105,0.3
"P32","No sabe",0,0.684,0,0,0.088,0,0.752,0.617
