"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.2,0.195,0.204,0.13,0.216,0.231,0.227,0.229,0.177,0.201,0.395,0.056,0.171,0.238,0.105,0.432,0.061
"Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.105,0.099,0.112,0.172,0.088,0.081,0.074,0.063,0.118,0.139,0.191,0.03,0.096,0.086,0.036,0.317,0.131
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.186,0.187,0.186,0.106,0.15,0.25,0.339,0.143,0.201,0.217,0.029,0.401,0.215,0.135,0.374,0.019,0.224
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.069,0.061,0.077,0.04,0.067,0.086,0.1,0.048,0.062,0.111,0.021,0.123,0.079,0.068,0.119,0.023,0.078
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.08,0.088,0.072,0.059,0.106,0.069,0.058,0.123,0.066,0.047,0.109,0.056,0.073,0.165,0.041,0.004,0.015
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.185,0.244,0.129,0.259,0.202,0.141,0.072,0.211,0.191,0.142,0.092,0.244,0.313,0.169,0.234,0.077,0.358
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.026,0.031,0.02,0.039,0.026,0.014,0.018,0.031,0.02,0.027,0.018,0.001,0.008,0.011,0.001,0.055,0.133
"En blanco",0.03,0.023,0.036,0.037,0.022,0.031,0.038,0.032,0.024,0.037,0.031,0.009,0.024,0.028,0.013,0,0
"No sabe",0.119,0.072,0.164,0.158,0.123,0.097,0.074,0.12,0.141,0.079,0.114,0.08,0.021,0.1,0.077,0.073,0
