"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.41,0.408,0.456,0.367
"P05","Bastante",0.391,0.234,0.264,0.194
"P05","Poco",0.128,0.187,0.151,0.212
"P05","Nada",0.069,0.134,0.094,0.183
"P05","No sabe",0.002,0.037,0.035,0.044
"P06","Siempre",0.218,0.178,0.154,0.252
"P06","Casi siempre",0.369,0.251,0.365,0.304
"P06","Casi nunca",0.29,0.325,0.249,0.308
"P06","Nunca, pero esta es una excepción",0.123,0.246,0.232,0.136
"P09","Unión por la Patria",0.187,0.098,0.544,0.262
"P09","Juntos por el Cambio",0.544,0.164,0.028,0.124
"P09","Juntos Somos Río Negro",0.118,0.086,0.092,0.139
"P09","Liberales",0.047,0.476,0.012,0.017
"P09","Izquierda",0.025,0.035,0.114,0.05
"P09","Otro",0.017,0.038,0.068,0.029
"P09","No sabe",0.062,0.103,0.142,0.379
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.093,0.095,0.392,0.38
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.087,0.012,0.219,0.064
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.529,0.105,0,0.025
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.098,0.052,0.029,0.091
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.073,0.017,0.085,0.086
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.066,0.693,0.017,0.022
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.003,0.073,0.003
"P10","En blanco",0.009,0.001,0.094,0.015
"P10","No sabe",0.043,0.022,0.091,0.314
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.253,0.069,0.438,0
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0.082,0.012,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0,0.198,0.237
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.16,0.489,0.045,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.219,0.36,0.123,0.333
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0
"P14","En blanco",0.28,0,0.184,0.272
"P14","No sabe",0.043,0,0,0.158
"P17","Sí",0.557,0.58,0.591,0.604
"P17","No",0.443,0.42,0.409,0.396
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.235,0.046,0.216,0.183
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.21,0.162,0.111,0.125
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.171,0.141,0.03,0.024
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.17,0.268,0.252,0.332
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.167,0.318,0.109,0.063
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.026,0.185,0.08
"P18","En blanco",0.026,0.025,0.058,0.069
"P18","No sabe",0.02,0.014,0.039,0.124
"P22","Totalmente seguro",0.68,0.684,0.617,0.412
"P22","Bastante seguro",0.198,0.221,0.179,0.141
"P22","Algo seguro",0.05,0.05,0.095,0.14
"P22","Para nada seguro",0.072,0.045,0.109,0.307
"P23","Tiene Decidido que va a ir a votar",0.906,0.929,0.883,0.886
"P23","Tiene dudas sobre si va a ir a  votar",0.072,0.051,0.058,0.072
"P23","Tiene Decidido que no va a ir a votar",0.022,0.02,0.059,0.042
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.161,0.079,0.527,0.396
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.595,0.104,0.005,0.021
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.101,0.06,0.077,0.126
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.076,0.682,0.028,0.031
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.004,0.127,0.018
"P24","Otros",0.026,0.035,0.103,0.103
"P24","En blanco",0.003,0,0.088,0.002
"P24","No sabe",0.034,0.036,0.045,0.303
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.154,0.121,0.523,0.382
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.327,0.097,0.047,0.09
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.148,0.089,0.062,0.086
