"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.279,0.288,0.27,0.212,0.3,0.298,0.29,0.31,0.233,0.317,0.524,0.085,0.33,0.305,0.17,0.542,0.09
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.144,0.134,0.153,0.06,0.143,0.172,0.235,0.092,0.145,0.207,0.038,0.309,0.084,0.13,0.278,0.027,0.02
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.096,0.096,0.095,0.125,0.093,0.077,0.087,0.103,0.094,0.09,0.062,0.122,0.173,0.153,0.06,0.061,0.265
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.234,0.276,0.195,0.298,0.246,0.191,0.168,0.276,0.245,0.164,0.153,0.289,0.262,0.226,0.28,0.077,0.392
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.038,0.051,0.122,0.033,0.006,0.019,0.027,0.056,0.046,0.049,0.005,0,0.008,0.004,0.154,0.131
"Otros",0.08,0.083,0.078,0.063,0.065,0.114,0.1,0.056,0.102,0.075,0.083,0.075,0.105,0.083,0.068,0.096,0.039
"En blanco",0.024,0.025,0.023,0.01,0.032,0.028,0.016,0.03,0.014,0.033,0.011,0.02,0.024,0.009,0.021,0.005,0.057
"No sabe",0.098,0.06,0.135,0.11,0.088,0.114,0.085,0.106,0.111,0.068,0.08,0.095,0.022,0.086,0.119,0.038,0.006
