"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Siempre",0.174,0.172,0.175,0.139,0.167,0.2,0.22,0.191,0.161,0.174,0.191,0.218,0.165,0.193,0.196,0.251,0.149
"Casi siempre",0.278,0.288,0.269,0.178,0.272,0.348,0.376,0.2,0.285,0.375,0.342,0.314,0.193,0.284,0.362,0.312,0.222
"Casi nunca",0.323,0.301,0.344,0.32,0.365,0.302,0.234,0.297,0.347,0.314,0.309,0.306,0.528,0.35,0.291,0.337,0.309
"Nunca, pero esta es una excepción",0.225,0.239,0.212,0.363,0.196,0.15,0.17,0.312,0.207,0.137,0.158,0.162,0.114,0.173,0.151,0.1,0.32
