"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.265,0.246,0.284,0.237,0.252,0.293,0.303,0.264,0.249,0.294,0.502,0.074,0.188,0.287,0.113,0.541,0.299
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.206,0.197,0.215,0.108,0.166,0.274,0.364,0.131,0.219,0.276,0.052,0.433,0.305,0.149,0.407,0.15,0.109
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.088,0.107,0.07,0.07,0.099,0.091,0.081,0.112,0.081,0.073,0.1,0.091,0.092,0.167,0.062,0.009,0.033
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.215,0.26,0.173,0.315,0.242,0.15,0.09,0.265,0.222,0.144,0.131,0.269,0.287,0.194,0.287,0.016,0.395
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.039,0.037,0.04,0.065,0.046,0.013,0.02,0.028,0.042,0.046,0.044,0.004,0.025,0.013,0.005,0.117,0.123
"Otros",0.068,0.063,0.072,0.088,0.068,0.05,0.065,0.046,0.083,0.069,0.076,0.047,0.071,0.075,0.05,0.06,0.02
"En blanco",0.024,0.022,0.025,0.026,0.025,0.028,0.007,0.035,0.01,0.031,0.026,0.005,0.025,0.025,0.006,0.005,0.021
"No sabe",0.095,0.068,0.121,0.091,0.102,0.101,0.07,0.119,0.094,0.067,0.069,0.077,0.007,0.09,0.07,0.102,0
