"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.38,0.443,0.309,0.348,0.423,0.484,0.105,0.186
"P05","Bastante",0.318,0.175,0.38,0.32,0.37,0.099,0.16,0.226
"P05","Poco",0.148,0.201,0.184,0.22,0.079,0.213,0.163,0.351
"P05","Nada",0.109,0.167,0.127,0.112,0.119,0.129,0.489,0.237
"P05","No sabe",0.045,0.014,0,0,0.009,0.075,0.083,0
"P06","Siempre",0.192,0.218,0.159,0.213,0.148,0.079,0.119,0.097
"P06","Casi siempre",0.342,0.288,0.356,0.267,0.331,0.355,0.184,0.345
"P06","Casi nunca",0.241,0.314,0.236,0.333,0.407,0.299,0.439,0.396
"P06","Nunca, pero esta es una excepción",0.225,0.18,0.249,0.187,0.114,0.267,0.258,0.162
"P09","Unión por la Patria",0.341,0.236,0,0.297,0.353,0,0,0
"P09","Juntos por el Cambio",0.379,0.352,0.507,0.127,0.175,0,0,0
"P09","Juntos Somos Río Negro",0.091,0.22,0.16,0.214,0,0,0,0
"P09","Liberales",0,0,0.276,0.179,0.436,0,0,0
"P09","Izquierda",0,0,0,0,0,1,0,0
"P09","Otro",0.038,0.029,0.013,0.008,0.007,0,0.33,0.26
"P09","No sabe",0.151,0.163,0.044,0.175,0.029,0,0.67,0.74
"P22","Totalmente seguro",0.544,0.566,0.624,0.53,0.793,0.581,0.377,0.247
"P22","Bastante seguro",0.138,0.14,0.171,0.227,0.106,0.172,0.191,0.022
"P22","Algo seguro",0.125,0.072,0.059,0.143,0.038,0.06,0.034,0.202
"P22","Para nada seguro",0.193,0.222,0.146,0.1,0.063,0.187,0.398,0.529
"P23","Tiene Decidido que va a ir a votar",0.843,0.892,0.881,0.897,0.968,0.8,0.732,0.697
"P23","Tiene dudas sobre si va a ir a  votar",0.109,0.064,0.065,0.061,0.025,0.187,0.245,0.281
"P23","Tiene Decidido que no va a ir a votar",0.048,0.044,0.054,0.042,0.007,0.013,0.023,0.022
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.359,0.157,0.052,0.251,0.246,0.117,0.082,0.097
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.218,0.301,0.412,0.153,0.13,0,0.218,0.091
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.119,0.092,0.093,0.112,0.094,0.037,0,0
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.106,0.229,0.319,0.202,0.437,0.111,0.063,0.172
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0,0.032,0.017,0.016,0.526,0.121,0.033
"P24","Otros",0.138,0.081,0.032,0.059,0.058,0.136,0.18,0.045
"P24","En blanco",0.014,0.042,0.012,0.053,0,0.011,0.09,0.052
"P24","No sabe",0.015,0.098,0.048,0.153,0.019,0.062,0.246,0.51
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.367,0.146,0.058,0.279,0.268,0.145,0.036,0.136
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.13,0.163,0.248,0.115,0.088,0.023,0.341,0.085
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.129,0.066,0.15,0.113,0.123,0,0.013,0
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.093,0.252,0.344,0.244,0.412,0.129,0.052,0.181
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.022,0.005,0.007,0.026,0.603,0.038,0.211
"P28","Otros",0.186,0.18,0.131,0.029,0.034,0.077,0.185,0.07
"P28","En blanco",0.024,0.056,0.01,0.028,0.021,0.011,0.095,0.097
"P28","No sabe",0.041,0.115,0.054,0.185,0.028,0.012,0.24,0.22
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.449,0.213,0.09,0.414,0.262,0.425,0.452,0.122
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.472,0.634,0.264,0.469,0.034,0.172,0.08
"P32","En blanco",0.119,0.072,0.071,0.095,0.181,0.279,0.186,0.195
"P32","No sabe",0.129,0.243,0.205,0.227,0.088,0.262,0.19,0.603
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.393,0.384,0.494,0.196,0.275,0.006,0.175,0.131
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.277,0.381,0.287,0.49,0.097,0.156,0.087
"P33","En blanco",0.332,0.187,0.079,0.266,0.166,0.685,0.361,0.237
"P33","No sabe",0.202,0.152,0.046,0.251,0.069,0.212,0.308,0.545
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.442,0.242,0.149,0.418,0.294,0.511,0.421,0.092
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.272,0.442,0.481,0.24,0.441,0.189,0.206,0.128
"P34","En blanco",0.11,0.155,0.069,0.168,0.209,0.281,0.19,0.156
"P34","No sabe",0.176,0.161,0.301,0.174,0.056,0.019,0.183,0.624
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.33,0.271,0.399,0.215,0.192,0.17,0.492,0.065
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.105,0.335,0.447,0.287,0.506,0.098,0.043,0.204
"P35","En blanco",0.28,0.261,0.068,0.295,0.173,0.693,0.21,0.164
"P35","No sabe",0.285,0.133,0.086,0.203,0.129,0.039,0.255,0.567
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.495,0.256,0.151,0.479,0.302,0.459,0.527,0.221
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.192,0.391,0.555,0.327,0.562,0.043,0.053,0.146
