"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Tiene Decidido que va a ir a votar",0.875,0.869,0.88,0.837,0.903,0.875,0.859,0.829,0.896,0.898,0.908,0.882,0.903,0.918,0.872,0.948,0.795
"Tiene dudas sobre si va a ir a  votar",0.087,0.096,0.078,0.121,0.071,0.085,0.075,0.106,0.074,0.084,0.068,0.087,0.042,0.058,0.103,0.025,0.205
"Tiene Decidido que no va a ir a votar",0.038,0.035,0.042,0.042,0.026,0.04,0.066,0.065,0.03,0.018,0.024,0.031,0.055,0.024,0.025,0.027,0
