"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.341,0.434,0.258,0.39,0.364,0.285,0.288,0.385,0.316,0.325,0.221,0.483,0.424,0.321,0.381,0.174,0.519
"No",0.415,0.386,0.441,0.399,0.389,0.46,0.442,0.371,0.416,0.474,0.586,0.238,0.397,0.445,0.356,0.643,0.19
"No sabe",0.244,0.18,0.301,0.211,0.247,0.255,0.27,0.244,0.268,0.201,0.193,0.279,0.179,0.234,0.263,0.183,0.291
