"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.557,0.536,0.575,0.629,0.539,0.565,0.48,0.598,0.569,0.475,0.724,0.328,0.641,0.577,0.516,0.697,0.427
"No",0.308,0.336,0.283,0.243,0.323,0.319,0.354,0.278,0.314,0.34,0.153,0.559,0.246,0.276,0.371,0.16,0.463
"No sabe",0.135,0.128,0.142,0.128,0.138,0.116,0.166,0.124,0.117,0.185,0.123,0.113,0.113,0.147,0.113,0.143,0.11
