"var","categoria","Los cargos públicos","El empleo público","Los planes sociales","Las tarifas de los servicios públicos","No sabe"
"P10","Siempre",0.167,0.195,0.262,0.055,0.21
"P10","Casi siempre",0.328,0.291,0.246,0.286,0.307
"P10","Casi nunca",0.322,0.386,0.279,0.397,0.32
"P10","Nunca, pero esta es una excepción",0.183,0.128,0.213,0.262,0.163
"P11","Si",0.381,0.446,0.337,0.21,0.124
"P11","No",0.429,0.378,0.376,0.558,0.711
"P11","No sabe",0.19,0.176,0.287,0.232,0.165
"P12","Javier Milei",0.492,0.568,0.496,0.296,0.193
"P12","Mauricio Macri",0.329,0.23,0.215,0.411,0.548
"P12","Ambos",0.113,0.132,0.18,0.162,0.143
"P12","No sabe",0.066,0.07,0.109,0.131,0.116
"P13","Si",0.502,0.479,0.546,0.269,0.164
"P13","No",0.431,0.445,0.337,0.665,0.783
"P13","No sabe",0.067,0.076,0.117,0.066,0.053
"P14","Florencio Randazzo",0.353,0.285,0.269,0.285,0.225
"P14","Cristian Ritondo",0.273,0.336,0.251,0.172,0.106
"P14","Algun diputado del bloque de Milei",0.2,0.202,0.219,0.175,0.158
"P14","No sabe",0.174,0.177,0.261,0.368,0.511
"P15","Si",0.587,0.529,0.558,0.374,0.138
"P15","No",0.379,0.397,0.339,0.496,0.758
"P15","No sabe",0.034,0.074,0.103,0.13,0.104
"P16","Si",0.498,0.596,0.522,0.779,0.648
"P16","No",0.382,0.352,0.326,0.118,0.134
"P16","No sabe",0.12,0.052,0.152,0.103,0.218
"P17","Si",0.534,0.367,0.392,0.66,0.529
"P17","No",0.373,0.569,0.43,0.204,0.338
"P17","No sabe",0.093,0.064,0.178,0.136,0.133
"P19","Si",0.44,0.313,0.351,0.299,0.111
"P19","No",0.354,0.52,0.254,0.403,0.64
"P19","No sabe",0.206,0.167,0.395,0.298,0.249
"P20","Si",0.622,0.573,0.563,0.382,0.186
"P20","No",0.316,0.327,0.267,0.504,0.663
"P20","No sabe",0.062,0.1,0.17,0.114,0.151
"P21","Inflación",0.295,0.345,0.314,0.373,0.338
"P21","Desempleo",0.111,0.06,0.101,0.068,0.129
"P21","Corrupción",0.36,0.356,0.302,0.2,0.16
"P21","Inseguridad",0.106,0.164,0.156,0.136,0.135
"P21","Precio del dólar",0.019,0,0.003,0.014,0.034
"P21","Pobreza",0.048,0.018,0.045,0.082,0.086
"P21","Narcotráfico",0.014,0.002,0.008,0.034,0.018
"P21","Tarifas",0.009,0.013,0.006,0,0.011
"P21","Otro",0.027,0.042,0.057,0.022,0.077
"P21","No sabe",0.011,0,0.008,0.071,0.012
"P25","Sin deuda",0.308,0.426,0.45,0.233,0.28
"P25","Menos de 10%",0.186,0.238,0.125,0.111,0.196
"P25","Entre 10 y 20%",0.167,0.072,0.096,0.118,0.122
"P25","Entre 20 y 30%",0.107,0.12,0.062,0.085,0.086
"P25","Entre 30 y 40%",0.074,0.03,0.094,0.187,0.08
"P25","Mas del 40%",0.132,0.096,0.067,0.18,0.169
"P25","No sabe",0.026,0.018,0.106,0.086,0.067
"P26","Gran excedente habitual",0.014,0.005,0,0.006,0.008
"P26","Gran excedente excepcional",0.004,0.006,0.007,0,0.033
"P26","Pequeño excedente habitual",0.046,0.043,0.015,0.105,0.036
"P26","Pequeño excedente excepcional",0.033,0.044,0.061,0.116,0.053
"P26","Alcanza gastos familia",0.144,0.137,0.169,0.117,0.098
"P26","No alcanza gastos familia",0.123,0.078,0.094,0.25,0.118
"P26","Solo NBFamiliares",0.348,0.314,0.31,0.15,0.213
"P26","No alcanza NBFamiliares",0.276,0.358,0.325,0.253,0.418
"P26","No sabe",0.012,0.015,0.019,0.003,0.023
"P27","Muy buena",0.059,0.101,0.024,0.013,0.021
"P27","Buena",0.181,0.174,0.199,0.118,0.184
"P27","Ni buena ni mala",0.44,0.417,0.465,0.443,0.413
"P27","Mala",0.266,0.265,0.203,0.261,0.286
"P27","Muy mala",0.04,0.039,0.109,0.165,0.096
"P27","No sabe",0.014,0.004,0,0,0
"P28","Mejor",0.06,0.091,0.069,0.099,0.136
"P28","Igual",0.264,0.246,0.255,0.223,0.392
"P28","Peor",0.63,0.63,0.61,0.674,0.424
"P28","No sabe",0.046,0.033,0.066,0.004,0.048
"P29","Mejor",0.193,0.08,0.302,0.126,0.039
"P29","Igual",0.238,0.413,0.274,0.182,0.062
"P29","Peor",0.427,0.378,0.265,0.46,0.66
"P29","No sabe",0.142,0.129,0.159,0.232,0.239
"P30","Muy buena",0.076,0.089,0.053,0.033,0.048
"P30","Buena",0.066,0.117,0.054,0.117,0.063
"P30","Ni buena ni mala",0.154,0.248,0.221,0.245,0.27
"P30","Mala",0.361,0.32,0.441,0.478,0.413
"P30","Muy mala",0.325,0.222,0.228,0.127,0.197
"P30","No sabe",0.018,0.004,0.003,0,0.009
"P31","Mejor",0.026,0.035,0.032,0.169,0.071
"P31","Igual",0.162,0.098,0.16,0.213,0.33
"P31","Peor",0.767,0.815,0.714,0.546,0.539
"P31","No sabe",0.045,0.052,0.094,0.072,0.06
"P32","Mejor",0.193,0.142,0.229,0.191,0.081
"P32","Igual",0.162,0.417,0.279,0.084,0.073
"P32","Peor",0.51,0.365,0.352,0.488,0.701
"P32","No sabe",0.135,0.076,0.14,0.237,0.145
"P33","Muy buena",0.067,0.058,0.103,0.031,0.093
"P33","Buena",0.123,0.187,0.072,0.173,0.168
"P33","Ni buena ni mala",0.177,0.319,0.293,0.364,0.392
"P33","Mala",0.256,0.168,0.251,0.349,0.237
"P33","Muy mala",0.35,0.245,0.257,0.083,0.083
"P33","No sabe",0.027,0.023,0.024,0,0.027
"P34","Muy buena",0.19,0.162,0.198,0.148,0.373
"P34","Buena",0.144,0.098,0.118,0.171,0.195
"P34","Ni buena ni mala",0.151,0.319,0.193,0.305,0.186
"P34","Mala",0.193,0.127,0.235,0.299,0.139
"P34","Muy mala",0.29,0.242,0.212,0.077,0.065
"P34","No sabe",0.032,0.052,0.044,0,0.042
"P35","Muy buena",0.057,0.11,0.065,0.007,0.153
"P35","Buena",0.109,0.129,0.066,0.149,0.167
"P35","Ni buena ni mala",0.166,0.271,0.206,0.415,0.298
"P35","Mala",0.263,0.14,0.334,0.309,0.212
"P35","Muy mala",0.368,0.303,0.315,0.12,0.096
"P35","No sabe",0.037,0.047,0.014,0,0.074
"P36","Muy buena",0.075,0.128,0.058,0.056,0.125
"P36","Buena",0.157,0.129,0.074,0.202,0.306
"P36","Ni buena ni mala",0.194,0.238,0.3,0.461,0.274
"P36","Mala",0.274,0.155,0.263,0.217,0.175
"P36","Muy mala",0.289,0.306,0.297,0.064,0.056
"P36","No sabe",0.011,0.044,0.008,0,0.064
"P37","Muy buena",0.053,0.044,0.027,0.017,0.048
"P37","Buena",0.077,0.176,0.095,0.136,0.122
"P37","Ni buena ni mala",0.193,0.162,0.24,0.34,0.45
"P37","Mala",0.257,0.273,0.265,0.262,0.277
"P37","Muy mala",0.39,0.343,0.365,0.24,0.091
"P37","No sabe",0.03,0.002,0.008,0.005,0.012
"P38","Muy buena",0.079,0.126,0.015,0.015,0.122
"P38","Buena",0.069,0.111,0.121,0.195,0.118
"P38","Ni buena ni mala",0.129,0.229,0.183,0.479,0.382
"P38","Mala",0.29,0.16,0.298,0.144,0.21
"P38","Muy mala",0.43,0.372,0.383,0.131,0.147
"P38","No sabe",0.003,0.002,0,0.036,0.021
"P39","Muy buena",0.256,0.27,0.142,0.272,0.522
"P39","Buena",0.093,0.096,0.173,0.182,0.115
"P39","Ni buena ni mala",0.066,0.068,0.111,0.234,0.193
"P39","Mala",0.165,0.133,0.13,0.192,0.058
"P39","Muy mala",0.415,0.433,0.444,0.12,0.1
"P39","No sabe",0.005,0,0,0,0.012
"P40","Muy buena",0.131,0.127,0.174,0,0.02
"P40","Buena",0.151,0.304,0.155,0.037,0.019
"P40","Ni buena ni mala",0.206,0.219,0.257,0.282,0.056
"P40","Mala",0.194,0.233,0.261,0.247,0.458
"P40","Muy mala",0.314,0.117,0.151,0.398,0.439
"P40","No sabe",0.004,0,0.002,0.036,0.008
"P41","Muy buena",0.102,0.108,0.084,0,0.095
"P41","Buena",0.125,0.204,0.274,0.095,0.087
"P41","Ni buena ni mala",0.29,0.318,0.346,0.334,0.35
"P41","Mala",0.199,0.176,0.206,0.451,0.327
"P41","Muy mala",0.275,0.194,0.088,0.071,0.116
"P41","No sabe",0.009,0,0.002,0.049,0.025
"P42","Muy buena",0.123,0.142,0.142,0.122,0.28
"P42","Buena",0.117,0.184,0.137,0.256,0.28
"P42","Ni buena ni mala",0.168,0.133,0.171,0.391,0.227
"P42","Mala",0.16,0.19,0.217,0.096,0.112
"P42","Muy mala",0.426,0.34,0.333,0.135,0.094
"P42","No sabe",0.006,0.011,0,0,0.007
"P43","Muy buena",0.093,0.148,0.167,0.011,0.004
"P43","Buena",0.128,0.324,0.125,0.132,0.037
"P43","Ni buena ni mala",0.283,0.232,0.356,0.198,0.204
"P43","Mala",0.247,0.147,0.208,0.464,0.391
"P43","Muy mala",0.249,0.147,0.136,0.159,0.334
"P43","No sabe",0,0.002,0.008,0.036,0.03
"P44","Muy buena",0.289,0.117,0.144,0.374,0.497
"P44","Buena",0.111,0.171,0.127,0.015,0.165
"P44","Ni buena ni mala",0.081,0.152,0.204,0.497,0.117
"P44","Mala",0.116,0.195,0.101,0.061,0.109
"P44","Muy mala",0.401,0.365,0.424,0.053,0.076
"P44","No sabe",0.002,0,0,0,0.036
"P45","Muy buena",0.143,0.116,0.05,0.018,0.035
"P45","Buena",0.111,0.19,0.187,0.116,0.033
"P45","Ni buena ni mala",0.362,0.349,0.398,0.594,0.371
"P45","Mala",0.107,0.182,0.095,0.14,0.25
"P45","Muy mala",0.197,0.106,0.179,0.081,0.165
"P45","No sabe",0.08,0.057,0.091,0.051,0.146
"P46","Muy buena",0.333,0.263,0.33,0.124,0.051
"P46","Buena",0.153,0.296,0.18,0.233,0.028
"P46","Ni buena ni mala",0.166,0.154,0.205,0.263,0.134
"P46","Mala",0.099,0.178,0.097,0.233,0.283
"P46","Muy mala",0.226,0.097,0.162,0.147,0.484
"P46","No sabe",0.023,0.012,0.026,0,0.02
"P47","Muy buena",0.237,0.209,0.327,0.04,0.026
"P47","Buena",0.177,0.36,0.223,0.105,0.025
"P47","Ni buena ni mala",0.167,0.121,0.178,0.406,0.076
"P47","Mala",0.162,0.191,0.137,0.252,0.35
"P47","Muy mala",0.252,0.119,0.123,0.164,0.51
