"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.263,0.183,0.2,0.134
"P10","Casi siempre",0.272,0.323,0.29,0.303
"P10","Casi nunca",0.28,0.369,0.346,0.362
"P10","Nunca, pero esta es una excepción",0.185,0.125,0.164,0.201
"P11","Unión por la Patria",0.619,0.481,0.163,0.38
"P11","La Libertad Avanza",0.31,0.41,0.674,0.492
"P11","En blanco",0.053,0.061,0.095,0.056
"P11","No sabe",0.018,0.048,0.068,0.072
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.655,0.475,0.171,0.4
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.332,0.468,0.73,0.511
"P13","En blanco",0.007,0.025,0.058,0.035
"P13","No sabe",0.006,0.032,0.041,0.054
"P15","Totalmente seguro",0.855,0.79,0.751,0.702
"P15","Bastante seguro",0.091,0.104,0.122,0.115
"P15","Algo seguro",0.039,0.068,0.055,0.089
"P15","Para nada seguro",0.015,0.038,0.072,0.094
"P16","Tiene Decidido que va a ir a votar",0.961,0.96,0.927,0.911
"P16","Tiene dudas sobre si va a ir a  votar",0.006,0.026,0.046,0.061
"P16","Tiene Decidido que no va a ir a votar",0.033,0.014,0.027,0.028
"P17","Lo votaría",0.712,0.505,0.21,0.4
"P17","Puede que lo vote",0.019,0.044,0.051,0.065
"P17","Nunca lo votaría",0.263,0.419,0.708,0.514
"P17","No sabe",0.006,0.032,0.031,0.021
"P18","Lo votaría",0.348,0.402,0.604,0.408
"P18","Puede que lo vote",0.032,0.086,0.125,0.105
"P18","Nunca lo votaría",0.616,0.482,0.241,0.456
"P18","No sabe",0.004,0.03,0.03,0.031
"P19","Si",0.939,0.898,0.876,0.874
"P19","No",0.061,0.102,0.124,0.126
"P20","Sergio Massa",0.753,0.605,0.419,0.613
"P20","Javier Milei",0.247,0.395,0.581,0.387
"P21","Sergio Massa",0.71,0.558,0.278,0.527
"P21","Javier Milei",0.29,0.442,0.722,0.473
"P22","Sergio Massa",0.709,0.57,0.284,0.536
"P22","Javier Milei",0.291,0.43,0.716,0.464
"P23","Sergio Massa",0.711,0.545,0.262,0.509
