"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.061,0.058,0.063,0.078,0.057,0.052,0.057,0.095,0.045,0.061,0.137,0.029,0.042,0.162,0.057,0.004,0.039,0.01,6
"Buena",0.109,0.105,0.112,0.112,0.115,0.101,0.103,0.101,0.114,0.107,0.252,0.031,0.077,0.206,0.273,0.037,0.044,0.045,6
"Ni buena ni mala",0.247,0.244,0.248,0.257,0.286,0.221,0.193,0.311,0.238,0.231,0.361,0.169,0.394,0.336,0.433,0.133,0.252,0.187,6
"Mala",0.163,0.164,0.162,0.201,0.11,0.179,0.194,0.222,0.161,0.144,0.125,0.186,0.137,0.115,0.074,0.214,0.2,0.163,6
"Muy mala",0.371,0.363,0.379,0.248,0.39,0.428,0.419,0.2,0.39,0.417,0.106,0.534,0.284,0.152,0.096,0.567,0.432,0.538,6
"No sabe",0.049,0.066,0.036,0.104,0.042,0.019,0.034,0.071,0.052,0.04,0.019,0.051,0.066,0.029,0.067,0.045,0.033,0.057,6
"Positiva",0.17,0.163,0.175,0.19,0.172,0.153,0.16,0.196,0.159,0.168,0.389,0.06,0.119,0.368,0.33,0.041,0.083,0.055,4
"Neutra",0.247,0.244,0.248,0.257,0.286,0.221,0.193,0.311,0.238,0.231,0.361,0.169,0.394,0.336,0.433,0.133,0.252,0.187,4
"Negativa",0.534,0.527,0.541,0.449,0.5,0.607,0.613,0.422,0.551,0.561,0.231,0.72,0.421,0.267,0.17,0.781,0.632,0.701,4
"No sabe",0.049,0.066,0.036,0.104,0.042,0.019,0.034,0.071,0.052,0.04,0.019,0.051,0.066,0.029,0.067,0.045,0.033,0.057,4
"Positiva",0.295,0.284,0.304,0.285,0.332,0.274,0.263,0.347,0.288,0.282,0.668,0.117,0.249,0.634,0.637,0.07,0.129,0.063,2
"Negativa",0.656,0.65,0.66,0.611,0.626,0.708,0.703,0.582,0.66,0.678,0.313,0.832,0.685,0.337,0.297,0.885,0.837,0.88,2
"No sabe",0.049,0.066,0.036,0.104,0.042,0.018,0.034,0.071,0.052,0.04,0.019,0.051,0.066,0.029,0.066,0.045,0.034,0.057,2
