"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.075,0.066,0.082,0.103,0.068,0.055,0.076,0.105,0.073,0.066,0.143,0.05,0,0.166,0.128,0.031,0.024,0.009,6
"Buena",0.154,0.156,0.152,0.179,0.167,0.142,0.115,0.188,0.157,0.14,0.254,0.094,0.21,0.247,0.326,0.068,0.181,0.091,6
"Ni buena ni mala",0.238,0.213,0.259,0.186,0.262,0.247,0.245,0.219,0.216,0.26,0.275,0.222,0.326,0.277,0.235,0.24,0.237,0.178,6
"Mala",0.296,0.308,0.286,0.328,0.258,0.308,0.312,0.242,0.305,0.308,0.209,0.336,0.251,0.191,0.2,0.374,0.332,0.311,6
"Muy mala",0.219,0.241,0.202,0.183,0.23,0.242,0.219,0.221,0.224,0.215,0.115,0.278,0.183,0.11,0.103,0.273,0.213,0.373,6
"No sabe",0.018,0.016,0.019,0.021,0.015,0.006,0.033,0.025,0.025,0.011,0.004,0.02,0.03,0.009,0.008,0.014,0.013,0.038,6
"Positiva",0.229,0.222,0.234,0.282,0.235,0.197,0.191,0.293,0.23,0.206,0.397,0.144,0.21,0.413,0.454,0.099,0.205,0.1,4
"Neutra",0.238,0.213,0.259,0.186,0.262,0.247,0.245,0.219,0.216,0.26,0.275,0.222,0.326,0.277,0.235,0.24,0.237,0.178,4
"Negativa",0.515,0.549,0.488,0.511,0.488,0.55,0.531,0.463,0.529,0.523,0.324,0.614,0.434,0.301,0.303,0.647,0.545,0.684,4
"No sabe",0.018,0.016,0.019,0.021,0.015,0.006,0.033,0.025,0.025,0.011,0.004,0.02,0.03,0.009,0.008,0.014,0.013,0.038,4
