"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Mejor",0.102,0.103,0.1,0.117,0.106,0.098,0.079,0.153,0.109,0.079,0.193,0.049,0.097,0.197,0.222,0.033,0.071,0.039
"Igual",0.16,0.168,0.154,0.141,0.186,0.162,0.135,0.174,0.138,0.171,0.332,0.074,0.208,0.328,0.276,0.057,0.136,0.018
"Peor",0.69,0.683,0.696,0.701,0.653,0.699,0.734,0.591,0.703,0.715,0.408,0.838,0.605,0.417,0.409,0.875,0.744,0.9
"No sabe",0.048,0.046,0.05,0.041,0.055,0.041,0.052,0.082,0.05,0.035,0.067,0.039,0.09,0.058,0.093,0.035,0.049,0.043
