"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.162,0.146,0.176,0.181,0.167,0.146,0.15,0.181,0.149,0.165,0.36,0.078,0.066,0.345,0.339,0.049,0.066,0.034,6
"Buena",0.114,0.099,0.128,0.106,0.128,0.098,0.118,0.104,0.123,0.112,0.22,0.057,0.101,0.188,0.264,0.043,0.069,0.088,6
"Ni buena ni mala",0.219,0.205,0.231,0.218,0.252,0.175,0.211,0.273,0.227,0.195,0.23,0.198,0.293,0.211,0.197,0.189,0.284,0.241,6
"Mala",0.152,0.152,0.151,0.146,0.121,0.172,0.19,0.197,0.153,0.135,0.082,0.185,0.189,0.11,0.048,0.205,0.195,0.136,6
"Muy mala",0.305,0.337,0.278,0.266,0.297,0.365,0.297,0.198,0.285,0.356,0.104,0.417,0.294,0.13,0.108,0.44,0.369,0.453,6
"No sabe",0.048,0.061,0.036,0.083,0.035,0.044,0.034,0.047,0.063,0.037,0.004,0.065,0.057,0.016,0.044,0.074,0.017,0.048,6
"Positiva",0.276,0.245,0.304,0.287,0.295,0.244,0.268,0.285,0.272,0.277,0.58,0.135,0.167,0.533,0.603,0.092,0.135,0.122,4
"Neutra",0.219,0.205,0.231,0.218,0.252,0.175,0.211,0.273,0.227,0.195,0.23,0.198,0.293,0.211,0.197,0.189,0.284,0.241,4
"Negativa",0.457,0.489,0.429,0.412,0.418,0.537,0.487,0.395,0.438,0.491,0.186,0.602,0.483,0.24,0.156,0.645,0.564,0.589,4
"No sabe",0.048,0.061,0.036,0.083,0.035,0.044,0.034,0.047,0.063,0.037,0.004,0.065,0.057,0.016,0.044,0.074,0.017,0.048,4
"Positiva",0.369,0.318,0.412,0.372,0.417,0.312,0.344,0.406,0.361,0.363,0.739,0.185,0.369,0.686,0.696,0.147,0.264,0.137,2
"Negativa",0.583,0.621,0.551,0.545,0.548,0.644,0.622,0.547,0.576,0.6,0.257,0.75,0.575,0.298,0.26,0.779,0.719,0.815,2
"No sabe",0.048,0.061,0.037,0.083,0.035,0.044,0.034,0.047,0.063,0.037,0.004,0.065,0.056,0.016,0.044,0.074,0.017,0.048,2
