"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P10","Siempre",0.434,0.532,0.212,0.108,0.176,0.134,0.18,0.259,0.106
"P10","Casi siempre",0.228,0.153,0.241,0.32,0.306,0.315,0.33,0.253,0.33
"P10","Casi nunca",0.187,0.266,0.405,0.333,0.355,0.389,0.333,0.302,0.335
"P10","Nunca, pero esta es una excepción",0.151,0.049,0.142,0.239,0.163,0.162,0.157,0.186,0.229
"P11","Unión por la Patria",0.689,0.261,0.54,0.496,0.442,0.26,0.287,0.293,0.375
"P11","La Libertad Avanza",0.267,0.543,0.37,0.442,0.463,0.543,0.597,0.554,0.541
"P11","En blanco",0.044,0.196,0.052,0.044,0.069,0.117,0.065,0.077,0.064
"P11","No sabe",0,0,0.038,0.018,0.026,0.08,0.051,0.076,0.02
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.444,0.326,0.569,0.524,0.464,0.295,0.283,0.326,0.375
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.494,0.636,0.4,0.421,0.478,0.568,0.635,0.605,0.541
"P13","En blanco",0,0.038,0.017,0.05,0.032,0.093,0.04,0.028,0.064
"P13","No sabe",0.062,0,0.014,0.005,0.026,0.044,0.042,0.041,0.02
"P15","Totalmente seguro",0.857,0.889,0.83,0.804,0.8,0.692,0.725,0.784,0.824
"P15","Bastante seguro",0.071,0.035,0.112,0.103,0.093,0.11,0.145,0.105,0.138
"P15","Algo seguro",0.054,0.076,0.029,0.055,0.052,0.131,0.067,0.048,0
"P15","Para nada seguro",0.018,0,0.029,0.038,0.055,0.067,0.063,0.063,0.038
"P16","Tiene Decidido que va a ir a votar",0.843,0.962,0.981,0.95,0.973,0.922,0.947,0.898,0.94
"P16","Tiene dudas sobre si va a ir a  votar",0.044,0.038,0.01,0.038,0.019,0.027,0.03,0.07,0.038
"P16","Tiene Decidido que no va a ir a votar",0.113,0,0.009,0.012,0.008,0.051,0.023,0.032,0.022
"P17","Lo votaría",0.689,0.341,0.574,0.514,0.47,0.325,0.316,0.385,0.356
"P17","Puede que lo vote",0,0,0.035,0.024,0.043,0.074,0.057,0.05,0.019
"P17","Nunca lo votaría",0.267,0.659,0.388,0.432,0.478,0.557,0.603,0.545,0.582
"P17","No sabe",0.044,0,0.003,0.03,0.009,0.044,0.024,0.02,0.043
"P18","Lo votaría",0.432,0.659,0.327,0.366,0.41,0.439,0.542,0.556,0.33
"P18","Puede que lo vote",0.034,0.069,0.062,0.11,0.103,0.12,0.107,0.079,0.115
"P18","Nunca lo votaría",0.49,0.272,0.611,0.505,0.473,0.407,0.32,0.341,0.534
"P18","No sabe",0.044,0,0,0.019,0.014,0.034,0.031,0.024,0.021
"P19","Si",0.988,0.853,0.857,0.931,0.907,0.9,0.904,0.864,0.83
"P19","No",0.012,0.147,0.143,0.069,0.093,0.1,0.096,0.136,0.17
"P20","Sergio Massa",0.747,0.496,0.758,0.663,0.653,0.545,0.482,0.489,0.51
"P20","Javier Milei",0.253,0.504,0.242,0.337,0.347,0.455,0.518,0.511,0.49
"P21","Sergio Massa",0.68,0.312,0.61,0.603,0.565,0.436,0.39,0.404,0.47
"P21","Javier Milei",0.32,0.688,0.39,0.397,0.435,0.564,0.61,0.596,0.53
"P22","Sergio Massa",0.788,0.403,0.603,0.603,0.507,0.447,0.417,0.417,0.506
"P22","Javier Milei",0.212,0.597,0.397,0.397,0.493,0.553,0.583,0.583,0.494
"P23","Sergio Massa",0.66,0.357,0.622,0.597,0.53,0.407,0.373,0.4,0.47
"P23","Javier Milei",0.34,0.643,0.378,0.403,0.47,0.593,0.627,0.6,0.53
"P24","Si",0.639,0.243,0.489,0.481,0.476,0.326,0.292,0.388,0.414
"P24","No",0.361,0.757,0.511,0.519,0.524,0.674,0.708,0.612,0.586
"P25","Si",0.398,0.606,0.438,0.508,0.575,0.642,0.694,0.677,0.645
"P25","No",0.602,0.394,0.562,0.492,0.425,0.358,0.306,0.323,0.355
"P28","Inflación",0.263,0.185,0.356,0.413,0.425,0.346,0.36,0.326,0.24
"P28","Desempleo",0.166,0.104,0.036,0.009,0.034,0.069,0.053,0.093,0.02
"P28","Corrupción",0.132,0.367,0.25,0.282,0.287,0.384,0.322,0.365,0.26
"P28","Inseguridad",0.089,0,0.047,0.1,0.064,0.083,0.112,0.113,0.011
"P28","Precio del dólar",0.02,0.169,0.032,0.015,0.008,0.009,0.011,0.008,0.009
"P28","Pobreza",0.116,0,0.164,0.1,0.104,0.04,0.079,0.038,0.172
"P28","Narcotráfico",0,0,0.004,0.013,0.009,0.003,0.004,0.01,0.081
"P28","Tarifas",0.02,0,0.002,0.007,0.003,0.003,0.008,0.011,0
"P28","Otro",0.194,0.095,0.079,0.051,0.052,0.059,0.047,0.031,0.096
"P28","No sabe",0,0.08,0.03,0.01,0.014,0.004,0.004,0.005,0.111
"P32","Sin deuda",0.723,0.282,0.574,0.487,0.567,0.179,0.399,0.428,0.357
"P32","Menos de 10%",0.053,0,0.11,0.206,0.161,0.128,0.239,0.127,0.031
"P32","Entre 10 y 20%",0.02,0.045,0.031,0.101,0.103,0.294,0.145,0.125,0.01
"P32","Entre 20 y 30%",0,0,0.038,0.056,0.098,0.149,0.076,0.074,0
"P32","Entre 30 y 40%",0.02,0.169,0.025,0.105,0.026,0.078,0.043,0.056,0.042
"P32","Mas del 40%",0.14,0.147,0.218,0.045,0.023,0.145,0.057,0.154,0
"P32","No sabe",0.044,0.357,0.004,0,0.022,0.027,0.041,0.036,0.56
"P34","Muy buena",0.474,0.298,0.144,0.058,0.032,0.039,0.027,0.12,0
"P34","Buena",0.299,0.143,0.468,0.405,0.351,0.12,0.181,0.122,0.049
"P34","Ni buena ni mala",0.023,0.276,0.186,0.392,0.493,0.515,0.583,0.366,0.556
"P34","Mala",0.02,0.114,0.093,0.087,0.105,0.268,0.174,0.297,0.07
"P34","Muy mala",0.14,0.137,0.04,0.058,0.007,0.044,0.032,0.086,0
"P34","No sabe",0.044,0.032,0.069,0,0.012,0.014,0.003,0.009,0.325
"P35","Mejor",0.303,0.335,0.169,0.146,0.11,0.156,0.069,0.118,0.06
"P35","Igual",0.453,0.311,0.343,0.331,0.332,0.171,0.209,0.203,0.177
"P35","Peor",0.199,0.299,0.436,0.493,0.542,0.631,0.696,0.656,0.495
"P35","No sabe",0.045,0.055,0.052,0.03,0.016,0.042,0.026,0.023,0.268
"P36","Mejor",0.335,0.142,0.191,0.173,0.192,0.182,0.154,0.205,0.046
"P36","Igual",0.191,0.291,0.289,0.284,0.271,0.187,0.244,0.243,0.067
"P36","Peor",0.237,0.428,0.327,0.393,0.336,0.398,0.406,0.397,0.347
"P36","No sabe",0.237,0.139,0.193,0.15,0.201,0.233,0.196,0.155,0.54
"P37","Muy buena",0.154,0.082,0.055,0.006,0.041,0.076,0.045,0.119,0.044
"P37","Buena",0.101,0.102,0.051,0.062,0.077,0.071,0.062,0.092,0.03
"P37","Ni buena ni mala",0.129,0.073,0.169,0.162,0.15,0.151,0.133,0.152,0.226
"P37","Mala",0.351,0.227,0.368,0.328,0.381,0.291,0.354,0.315,0.331
"P37","Muy mala",0.265,0.516,0.346,0.43,0.339,0.395,0.398,0.309,0.348
"P37","No sabe",0,0,0.011,0.012,0.012,0.016,0.008,0.013,0.021
"P38","Mejor",0.242,0.075,0.155,0.124,0.095,0.092,0.076,0.097,0.21
"P38","Igual",0.336,0.11,0.275,0.203,0.24,0.145,0.122,0.108,0.094
"P38","Peor",0.373,0.608,0.531,0.623,0.609,0.737,0.763,0.738,0.621
"P38","No sabe",0.049,0.207,0.039,0.05,0.056,0.026,0.039,0.057,0.075
"P39","Mejor",0.338,0.13,0.208,0.19,0.246,0.157,0.156,0.245,0.274
"P39","Igual",0.148,0.226,0.223,0.216,0.182,0.135,0.201,0.146,0
