"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.238,0.207,0.264,0.189,0.201,0.302,0.291,0.248,0.209,0.256,0.075,0.356,0.079,0.157,0.052,0.439,0.107,0.179,6
"Buena",0.219,0.231,0.21,0.189,0.213,0.235,0.247,0.194,0.248,0.207,0.066,0.318,0.051,0.058,0.127,0.342,0.27,0.334,6
"Ni buena ni mala",0.152,0.162,0.143,0.178,0.139,0.119,0.18,0.146,0.157,0.15,0.088,0.164,0.411,0.068,0.095,0.15,0.287,0.277,6
"Mala",0.147,0.172,0.127,0.191,0.145,0.121,0.131,0.206,0.152,0.124,0.247,0.084,0.211,0.244,0.203,0.041,0.173,0.088,6
"Muy mala",0.238,0.223,0.25,0.248,0.297,0.217,0.145,0.195,0.229,0.259,0.52,0.075,0.212,0.462,0.523,0.024,0.163,0.122,6
"No sabe",0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.011,0.005,0.004,0.004,0.003,0.036,0.011,0,0.004,0,0,6
"Positiva",0.457,0.438,0.474,0.378,0.414,0.537,0.538,0.442,0.457,0.463,0.141,0.674,0.13,0.215,0.179,0.781,0.377,0.513,4
"Neutra",0.152,0.162,0.143,0.178,0.139,0.119,0.18,0.146,0.157,0.15,0.088,0.164,0.411,0.068,0.095,0.15,0.287,0.277,4
"Negativa",0.385,0.395,0.377,0.439,0.442,0.338,0.276,0.401,0.381,0.383,0.767,0.159,0.423,0.706,0.726,0.065,0.336,0.21,4
"No sabe",0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.011,0.005,0.004,0.004,0.003,0.036,0.011,0,0.004,0,0,4
"Positiva",0.572,0.559,0.583,0.511,0.528,0.621,0.667,0.518,0.58,0.585,0.181,0.815,0.411,0.239,0.254,0.905,0.546,0.769,2
"Negativa",0.422,0.436,0.411,0.484,0.467,0.373,0.327,0.471,0.415,0.411,0.815,0.182,0.554,0.75,0.746,0.092,0.454,0.231,2
"No sabe",0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.011,0.005,0.004,0.004,0.003,0.035,0.011,0,0.003,0,0,2
