"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.206,0.201,0.209,0.162
"P10","Casi siempre",0.246,0.33,0.275,0.324
"P10","Casi nunca",0.354,0.331,0.35,0.32
"P10","Nunca, pero esta es una excepción",0.194,0.138,0.166,0.194
"P11","Unión por la Patria",0.588,0.468,0.176,0.329
"P11","La Libertad Avanza",0.337,0.43,0.657,0.564
"P11","En blanco",0.047,0.069,0.094,0.043
"P11","No sabe",0.028,0.033,0.073,0.064
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.603,0.49,0.171,0.36
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.372,0.453,0.73,0.561
"P13","En blanco",0.009,0.022,0.061,0.038
"P13","No sabe",0.016,0.035,0.038,0.041
"P15","Totalmente seguro",0.87,0.781,0.73,0.764
"P15","Bastante seguro",0.082,0.116,0.127,0.111
"P15","Algo seguro",0.034,0.054,0.071,0.052
"P15","Para nada seguro",0.014,0.049,0.072,0.073
"P16","Tiene Decidido que va a ir a votar",0.968,0.929,0.937,0.918
"P16","Tiene dudas sobre si va a ir a  votar",0.018,0.044,0.031,0.061
"P16","Tiene Decidido que no va a ir a votar",0.014,0.027,0.032,0.021
"P17","Lo votaría",0.66,0.511,0.216,0.364
"P17","Puede que lo vote",0.027,0.054,0.062,0.035
"P17","Nunca lo votaría",0.297,0.415,0.695,0.58
"P17","No sabe",0.016,0.02,0.027,0.021
"P18","Lo votaría",0.363,0.396,0.594,0.503
"P18","Puede que lo vote",0.042,0.089,0.125,0.089
"P18","Nunca lo votaría",0.595,0.49,0.249,0.383
"P18","No sabe",0,0.025,0.032,0.025
"P19","Si",0.899,0.875,0.884,0.915
"P19","No",0.101,0.125,0.116,0.085
"P20","Sergio Massa",0.683,0.682,0.424,0.494
"P20","Javier Milei",0.317,0.318,0.576,0.506
"P21","Sergio Massa",0.639,0.578,0.301,0.449
"P21","Javier Milei",0.361,0.422,0.699,0.551
"P22","Sergio Massa",0.652,0.58,0.303,0.459
"P22","Javier Milei",0.348,0.42,0.697,0.541
"P23","Sergio Massa",0.636,0.548,0.299,0.425
"P23","Javier Milei",0.364,0.452,0.701,0.575
"P24","Si",0.613,0.476,0.23,0.366
"P24","No",0.387,0.524,0.77,0.634
"P25","Si",0.407,0.538,0.79,0.653
"P25","No",0.593,0.462,0.21,0.347
"P28","Inflación",0.48,0.343,0.319,0.372
"P28","Desempleo",0.072,0.073,0.047,0.054
"P28","Corrupción",0.156,0.281,0.431,0.309
"P28","Inseguridad",0.078,0.135,0.08,0.077
"P28","Precio del dólar",0.028,0.008,0.005,0.011
"P28","Pobreza",0.092,0.078,0.062,0.07
"P28","Narcotráfico",0.013,0.007,0.009,0.005
"P28","Tarifas",0.014,0.008,0.002,0.009
"P28","Otro",0.055,0.061,0.038,0.07
"P28","No sabe",0.012,0.006,0.007,0.023
"P32","Sin deuda",0.463,0.502,0.403,0.382
"P32","Menos de 10%",0.181,0.188,0.152,0.118
"P32","Entre 10 y 20%",0.111,0.132,0.131,0.157
"P32","Entre 20 y 30%",0.046,0.061,0.094,0.095
"P32","Entre 30 y 40%",0.071,0.035,0.054,0.045
"P32","Mas del 40%",0.098,0.061,0.13,0.114
"P32","No sabe",0.03,0.021,0.036,0.089
"P33","Gran excedente habitual",0.029,0.012,0.01,0.02
"P33","Gran excedente excepcional",0.005,0.008,0.008,0.005
"P33","Pequeño excedente habitual",0.083,0.093,0.068,0.08
"P33","Pequeño excedente excepcional",0.068,0.082,0.073,0.056
"P33","Alcanza gastos familia",0.166,0.176,0.14,0.167
