"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.196,0.17,0.216,0.148,0.162,0.251,0.248,0.173,0.189,0.208,0.037,0.319,0.02,0.11,0.036,0.343,0.161,0.185,6
"Buena",0.176,0.186,0.169,0.17,0.153,0.199,0.2,0.14,0.173,0.191,0.043,0.26,0.094,0.065,0.03,0.298,0.182,0.226,6
"Ni buena ni mala",0.177,0.18,0.175,0.195,0.178,0.136,0.202,0.175,0.195,0.165,0.121,0.198,0.268,0.108,0.121,0.195,0.259,0.286,6
"Mala",0.187,0.191,0.183,0.208,0.184,0.178,0.176,0.262,0.201,0.151,0.3,0.103,0.37,0.262,0.315,0.093,0.16,0.13,6
"Muy mala",0.26,0.271,0.252,0.279,0.321,0.233,0.162,0.243,0.237,0.283,0.494,0.117,0.239,0.452,0.487,0.068,0.233,0.173,6
"No sabe",0.004,0.002,0.005,0,0.002,0.003,0.012,0.007,0.005,0.002,0.005,0.003,0.009,0.003,0.011,0.003,0.005,0,6
"Positiva",0.372,0.356,0.385,0.318,0.315,0.45,0.448,0.313,0.362,0.399,0.08,0.579,0.114,0.175,0.066,0.641,0.343,0.411,4
"Neutra",0.177,0.18,0.175,0.195,0.178,0.136,0.202,0.175,0.195,0.165,0.121,0.198,0.268,0.108,0.121,0.195,0.259,0.286,4
"Negativa",0.447,0.462,0.435,0.487,0.505,0.411,0.338,0.505,0.438,0.434,0.794,0.22,0.609,0.714,0.802,0.161,0.393,0.303,4
"No sabe",0.004,0.002,0.005,0,0.002,0.003,0.012,0.007,0.005,0.002,0.005,0.003,0.009,0.003,0.011,0.003,0.005,0,4
"Positiva",0.487,0.478,0.494,0.443,0.423,0.559,0.571,0.39,0.479,0.525,0.125,0.732,0.154,0.214,0.105,0.796,0.517,0.61,2
"Negativa",0.509,0.52,0.501,0.557,0.575,0.438,0.417,0.603,0.516,0.473,0.87,0.265,0.837,0.783,0.884,0.201,0.478,0.39,2
"No sabe",0.004,0.002,0.005,0,0.002,0.003,0.012,0.007,0.005,0.002,0.005,0.003,0.009,0.003,0.011,0.003,0.005,0,2
