"var","categoria","Unión por la Patria","La Libertad Avanza","En blanco","No sabe"
"P45","Buena",0.121,0.021,0.051,0.043
"P45","Ni buena ni mala",0.317,0.037,0.179,0.076
"P45","Mala",0.36,0.192,0.229,0.33
"P45","Muy mala",0.131,0.712,0.459,0.458
"P45","No sabe",0.001,0.004,0.002,0
"P46","Muy buena",0.459,0.039,0.136,0.147
"P46","Buena",0.182,0.025,0.044,0.039
"P46","Ni buena ni mala",0.142,0.04,0.126,0.184
"P46","Mala",0.111,0.156,0.194,0.168
"P46","Muy mala",0.103,0.733,0.5,0.454
"P46","No sabe",0.003,0.007,0,0.008
"P47","Muy buena",0.043,0.325,0.106,0.076
"P47","Buena",0.05,0.264,0.173,0.177
"P47","Ni buena ni mala",0.094,0.208,0.238,0.345
"P47","Mala",0.278,0.105,0.277,0.24
"P47","Muy mala",0.532,0.094,0.206,0.153
"P47","No sabe",0.003,0.004,0,0.009
"P48","Muy buena",0.105,0.105,0.138,0.199
"P48","Buena",0.125,0.196,0.188,0.219
"P48","Ni buena ni mala",0.219,0.278,0.31,0.249
"P48","Mala",0.339,0.186,0.245,0.183
"P48","Muy mala",0.209,0.23,0.104,0.133
"P48","No sabe",0.003,0.005,0.015,0.017
"P49","Muy buena",0.32,0.037,0.093,0.088
"P49","Buena",0.321,0.021,0.095,0.037
"P49","Ni buena ni mala",0.217,0.05,0.136,0.285
"P49","Mala",0.089,0.207,0.26,0.202
"P49","Muy mala",0.052,0.677,0.406,0.368
"P49","No sabe",0.001,0.008,0.01,0.02
"P50","Muy buena",0.052,0.185,0.147,0.078
"P50","Buena",0.041,0.226,0.246,0.188
"P50","Ni buena ni mala",0.12,0.301,0.321,0.309
"P50","Mala",0.39,0.138,0.137,0.229
"P50","Muy mala",0.387,0.136,0.14,0.167
"P50","No sabe",0.01,0.014,0.009,0.029
"P51","Muy buena",0.517,0.035,0.146,0.106
"P51","Buena",0.187,0.02,0.061,0.058
"P51","Ni buena ni mala",0.111,0.078,0.178,0.16
"P51","Mala",0.107,0.17,0.2,0.237
"P51","Muy mala",0.07,0.683,0.4,0.401
"P51","No sabe",0.008,0.014,0.015,0.038
"P53","Muy buena",0.065,0.32,0.188,0.094
"P53","Buena",0.065,0.276,0.056,0.128
"P53","Ni buena ni mala",0.075,0.264,0.227,0.417
"P53","Mala",0.216,0.054,0.249,0.115
"P53","Muy mala",0.575,0.08,0.26,0.215
"P53","No sabe",0.004,0.006,0.02,0.031
"P54","Muy buena",0.062,0.356,0.241,0.256
"P54","Buena",0.035,0.344,0.21,0.234
"P54","Ni buena ni mala",0.093,0.182,0.2,0.174
"P54","Mala",0.264,0.062,0.182,0.158
"P54","Muy mala",0.54,0.054,0.156,0.157
"P54","No sabe",0.006,0.002,0.011,0.021
"P55","Muy buena",0.352,0.056,0.058,0.079
"P55","Buena",0.195,0.052,0.181,0.106
"P55","Ni buena ni mala",0.258,0.175,0.26,0.343
"P55","Mala",0.101,0.172,0.224,0.191
"P55","Muy mala",0.077,0.476,0.233,0.237
"P55","No sabe",0.017,0.069,0.044,0.044
"P56","Muy buena",0.13,0.018,0.064,0.006
"P56","Buena",0.23,0.039,0.058,0.038
"P56","Ni buena ni mala",0.398,0.13,0.322,0.269
"P56","Mala",0.131,0.171,0.232,0.212
"P56","Muy mala",0.073,0.589,0.292,0.353
"P56","No sabe",0.038,0.053,0.032,0.122
"P57","Muy buena",0.064,0.056,0.079,0.058
"P57","Buena",0.154,0.112,0.152,0.167
"P57","Ni buena ni mala",0.358,0.257,0.402,0.352
"P57","Mala",0.293,0.221,0.201,0.167
"P57","Muy mala",0.113,0.324,0.135,0.207
"P57","No sabe",0.018,0.03,0.031,0.049
"P58","Muy buena",0.421,0.032,0.16,0.044
"P58","Buena",0.267,0.074,0.158,0.171
"P58","Ni buena ni mala",0.169,0.277,0.336,0.355
"P58","Mala",0.082,0.198,0.185,0.138
"P58","Muy mala",0.041,0.385,0.142,0.231
"P58","No sabe",0.02,0.034,0.019,0.061
"P59","Radio",0.26,0.155,0.24,0.208
"P59","Televisión",0.29,0.379,0.324,0.351
"P59","Diario",0.042,0.064,0.105,0.071
"P59","Medio digital",0.23,0.159,0.195,0.104
"P59","Redes Sociales",0.119,0.161,0.061,0.153
"P59","Ninguno en particular",0.059,0.082,0.075,0.085
"P59","No sabe",0,0,0,0.028
"P60","Muy buena",0.146,0.024,0.097,0.064
"P60","Buena",0.271,0.07,0.197,0.14
"P60","Ni buena ni mala",0.31,0.195,0.22,0.196
"P60","Mala",0.196,0.369,0.222,0.355
"P60","Muy mala",0.069,0.321,0.241,0.199
"P60","No sabe",0.008,0.021,0.023,0.046
"P61","Muy buena",0.046,0.02,0.059,0.035
"P61","Buena",0.12,0.117,0.121,0.052
"P61","Ni buena ni mala",0.214,0.277,0.321,0.251
"P61","Mala",0.313,0.264,0.223,0.375
"P61","Muy mala",0.302,0.306,0.262,0.269
"P61","No sabe",0.005,0.016,0.014,0.018
