"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.2,0.19,0.209,0.242,0.245,0.14,0.139,0.246,0.224,0.168,0.513,0.061,0.054,0.439,0.541,0.041,0.067,0.029,6
"Buena",0.083,0.079,0.086,0.065,0.098,0.078,0.081,0.093,0.063,0.093,0.185,0.033,0.059,0.163,0.173,0.02,0.023,0.035,6
"Ni buena ni mala",0.09,0.075,0.103,0.096,0.097,0.076,0.089,0.124,0.089,0.08,0.106,0.062,0.263,0.131,0.07,0.049,0.12,0.069,6
"Mala",0.144,0.148,0.141,0.155,0.111,0.15,0.183,0.194,0.14,0.13,0.073,0.171,0.166,0.082,0.087,0.189,0.139,0.17,6
"Muy mala",0.478,0.502,0.457,0.435,0.448,0.551,0.499,0.341,0.482,0.521,0.12,0.667,0.458,0.18,0.129,0.693,0.645,0.697,6
"No sabe",0.005,0.006,0.004,0.007,0.001,0.005,0.009,0.002,0.002,0.008,0.003,0.006,0,0.005,0,0.008,0.006,0,6
"Positiva",0.283,0.269,0.295,0.307,0.343,0.218,0.22,0.339,0.287,0.261,0.698,0.094,0.113,0.602,0.714,0.061,0.09,0.064,4
"Neutra",0.09,0.075,0.103,0.096,0.097,0.076,0.089,0.124,0.089,0.08,0.106,0.062,0.263,0.131,0.07,0.049,0.12,0.069,4
"Negativa",0.622,0.65,0.598,0.59,0.559,0.701,0.682,0.535,0.622,0.651,0.193,0.838,0.624,0.262,0.216,0.882,0.784,0.867,4
"No sabe",0.005,0.006,0.004,0.007,0.001,0.005,0.009,0.002,0.002,0.008,0.003,0.006,0,0.005,0,0.008,0.006,0,4
"Positiva",0.333,0.314,0.348,0.35,0.404,0.262,0.265,0.408,0.336,0.305,0.789,0.119,0.247,0.709,0.782,0.081,0.096,0.063,2
"Negativa",0.662,0.68,0.648,0.643,0.595,0.732,0.726,0.59,0.662,0.687,0.208,0.875,0.753,0.286,0.218,0.911,0.898,0.937,2
"No sabe",0.005,0.006,0.004,0.007,0.001,0.006,0.009,0.002,0.002,0.008,0.003,0.006,0,0.005,0,0.008,0.006,0,2
