"fecha","t1 Positiva","t1 Negativa","t1 No sabe","s1 Positiva","s1 Negativa","s1 No sabe","s2 Positiva","s2 Negativa","s2 No sabe","e1 Positiva","e1 Negativa","e1 No sabe","e2 Positiva","e2 Negativa","e2 No sabe","e3 Positiva","e3 Negativa","e3 No sabe","e4 Positiva","e4 Negativa","e4 No sabe","ed1 Positiva","ed1 Negativa","ed1 No sabe","ed2 Positiva","ed2 Negativa","ed2 No sabe","ed3 Positiva","ed3 Negativa","ed3 No sabe","v1 Positiva","v1 Negativa","v1 No sabe","v2 Positiva","v2 Negativa","v2 No sabe","v3 Positiva","v3 Negativa","v3 No sabe","vp1 Positiva","vp1 Negativa","vp1 No sabe","vp2 Positiva","vp2 Negativa","vp2 No sabe","vp3 Positiva","vp3 Negativa","vp3 No sabe","vp4 Positiva","vp4 Negativa","vp4 No sabe","vp5 Positiva","vp5 Negativa","vp5 No sabe"
2019-11-07,0.398,0.555,0.047,0.345,0.624,0.031,0.441,0.498,0.061,0.36,0.569,0.071,0.349,0.618,0.033,0.444,0.538,0.018,0.486,0.441,0.073,0.336,0.592,0.072,0.443,0.518,0.039,0.384,0.571,0.045,0.186,0.751,0.063,0.674,0.306,0.02,0.15,0.813,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-08,0.397,0.552,0.051,0.34,0.613,0.047,0.444,0.502,0.054,0.331,0.584,0.085,0.347,0.617,0.036,0.464,0.518,0.018,0.5,0.431,0.069,0.329,0.577,0.094,0.45,0.505,0.045,0.38,0.58,0.04,0.172,0.757,0.071,0.687,0.295,0.018,0.125,0.844,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-09,0.387,0.56,0.053,0.343,0.606,0.051,0.423,0.523,0.054,0.289,0.621,0.09,0.35,0.611,0.039,0.464,0.503,0.033,0.504,0.448,0.048,0.311,0.586,0.103,0.45,0.502,0.048,0.365,0.597,0.038,0.16,0.762,0.078,0.725,0.255,0.02,0.051,0.908,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-10,0.351,0.578,0.071,0.305,0.627,0.068,0.389,0.538,0.073,0.221,0.618,0.161,0.328,0.623,0.049,0.458,0.519,0.023,0.446,0.509,0.045,0.278,0.581,0.141,0.436,0.489,0.075,0.309,0.648,0.043,0.14,0.79,0.07,0.671,0.293,0.036,0.112,0.748,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-11,0.354,0.574,0.072,0.327,0.592,0.081,0.377,0.559,0.064,0.21,0.615,0.175,0.319,0.637,0.044,0.468,0.503,0.029,0.486,0.483,0.031,0.288,0.549,0.163,0.452,0.472,0.076,0.301,0.663,0.036,0.13,0.8,0.07,0.644,0.31,0.046,0.104,0.759,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-12,0.346,0.595,0.059,0.323,0.608,0.069,0.365,0.585,0.05,0.265,0.601,0.134,0.257,0.702,0.041,0.457,0.508,0.035,0.495,0.491,0.014,0.274,0.593,0.133,0.455,0.476,0.069,0.286,0.69,0.024,0.119,0.826,0.055,0.645,0.323,0.032,0.106,0.777,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-13,0.348,0.593,0.059,0.325,0.62,0.055,0.368,0.57,0.062,0.248,0.62,0.132,0.294,0.67,0.036,0.354,0.602,0.044,0.572,0.412,0.016,0.298,0.566,0.136,0.435,0.49,0.075,0.299,0.683,0.018,0.108,0.83,0.062,0.663,0.299,0.038,0.168,0.721,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-14,0.338,0.614,0.048,0.333,0.621,0.046,0.341,0.608,0.051,0.273,0.62,0.107,0.278,0.691,0.031,0.361,0.603,0.036,0.503,0.481,0.016,0.319,0.559,0.122,0.413,0.526,0.061,0.286,0.702,0.012,0.079,0.876,0.045,0.648,0.315,0.037,0.177,0.721,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-15,0.344,0.606,0.05,0.343,0.611,0.046,0.345,0.602,0.053,0.307,0.584,0.109,0.278,0.687,0.035,0.366,0.599,0.035,0.486,0.498,0.016,0.351,0.536,0.113,0.394,0.54,0.066,0.302,0.683,0.015,0.073,0.881,0.046,0.657,0.306,0.037,0.196,0.711,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-16,0.341,0.607,0.052,0.329,0.617,0.054,0.351,0.598,0.051,0.321,0.558,0.121,0.248,0.711,0.041,0.366,0.61,0.024,0.506,0.48,0.014,0.35,0.546,0.104,0.38,0.545,0.075,0.308,0.676,0.016,0.075,0.868,0.057,0.652,0.313,0.035,0.211,0.697,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-17,0.347,0.615,0.038,0.339,0.617,0.044,0.353,0.614,0.033,0.343,0.583,0.074,0.251,0.717,0.032,0.327,0.646,0.027,0.542,0.443,0.015,0.351,0.561,0.088,0.369,0.576,0.055,0.329,0.664,0.007,0.072,0.868,0.06,0.678,0.297,0.025,0.185,0.799,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,0.348,0.616,0.036,0.317,0.65,0.033,0.373,0.588,0.039,0.353,0.591,0.056,0.265,0.702,0.033,0.327,0.652,0.021,0.509,0.458,0.033,0.347,0.569,0.084,0.359,0.588,0.053,0.339,0.655,0.006,0.082,0.861,0.057,0.696,0.288,0.016,0.222,0.778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-19,0.361,0.599,0.04,0.31,0.65,0.04,0.404,0.556,0.04,0.345,0.582,0.073,0.295,0.67,0.035,0.347,0.64,0.013,0.513,0.45,0.037,0.347,0.572,0.081,0.373,0.561,0.066,0.356,0.638,0.006,0.1,0.837,0.063,0.725,0.258,0.017,0.213,0.787,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-20,0.345,0.616,0.039,0.318,0.623,0.059,0.367,0.61,0.023,0.351,0.585,0.064,0.237,0.711,0.052,0.397,0.603,0,0.472,0.504,0.024,0.356,0.574,0.07,0.351,0.582,0.067,0.335,0.659,0.006,0.101,0.837,0.062,0.722,0.278,0,0.176,0.824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-21,0.352,0.597,0.051,0.299,0.634,0.067,0.395,0.567,0.038,0.292,0.633,0.075,0.243,0.701,0.056,0.404,0.596,0,0.569,0.366,0.065,0.333,0.556,0.111,0.376,0.551,0.073,0.34,0.648,0.012,0.109,0.823,0.068,0.729,0.256,0.015,0.179,0.821,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-22,0.337,0.617,0.046,0.285,0.67,0.045,0.38,0.574,0.046,0.25,0.706,0.044,0.236,0.716,0.048,0.41,0.59,0,0.555,0.353,0.092,0.289,0.603,0.108,0.408,0.538,0.054,0.298,0.685,0.017,0.121,0.827,0.052,0.709,0.264,0.027,0.171,0.829,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-23,0.34,0.622,0.038,0.276,0.694,0.03,0.393,0.563,0.044,0.231,0.741,0.028,0.294,0.679,0.027,0.402,0.598,0,0.505,0.385,0.11,0.331,0.56,0.109,0.434,0.551,0.015,0.27,0.7,0.03,0.156,0.815,0.029,0.672,0.298,0.03,0.133,0.867,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-24,0.368,0.594,0.038,0.299,0.677,0.024,0.425,0.526,0.049,0.308,0.662,0.03,0.306,0.674,0.02,0.403,0.597,0,0.521,0.357,0.122,0.356,0.549,0.095,0.481,0.5,0.019,0.283,0.684,0.033,0.196,0.781,0.023,0.678,0.289,0.033,0.208,0.792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-25,0.353,0.589,0.058,0.282,0.666,0.052,0.41,0.527,0.063,0.342,0.551,0.107,0.284,0.681,0.035,0.439,0.561,0,0.398,0.505,0.097,0.281,0.555,0.164,0.511,0.469,0.02,0.253,0.696,0.051,0.209,0.743,0.048,0.653,0.284,0.063,0.161,0.839,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-26,0.319,0.606,0.075,0.248,0.694,0.058,0.376,0.536,0.088,0.263,0.581,0.156,0.295,0.661,0.044,0.36,0.64,0,0.39,0.501,0.109,0.308,0.515,0.177,0.44,0.509,0.051,0.229,0.711,0.06,0.191,0.738,0.071,0.601,0.332,0.067,0.213,0.787,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-27,0.353,0.587,0.06,0.264,0.689,0.047,0.424,0.505,0.071,0.285,0.575,0.14,0.292,0.684,0.024,0.417,0.583,0,0.48,0.433,0.087,0.347,0.494,0.159,0.459,0.513,0.028,0.272,0.676,0.052,0.215,0.726,0.059,0.63,0.319,0.051,0.185,0.815,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-28,0.35,0.6,0.05,0.265,0.686,0.049,0.42,0.53,0.05,0.322,0.538,0.14,0.328,0.648,0.024,0.404,0.596,0,0.37,0.604,0.026,0.356,0.545,0.099,0.444,0.527,0.029,0.274,0.678,0.048,0.258,0.68,0.062,0.596,0.371,0.033,0.224,0.776,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-29,0.353,0.602,0.045,0.263,0.689,0.048,0.427,0.531,0.042,0.36,0.502,0.138,0.321,0.653,0.026,0.353,0.647,0,0.401,0.599,0,0.341,0.561,0.098,0.437,0.534,0.029,0.291,0.671,0.038,0.269,0.669,0.062,0.58,0.402,0.018,0.228,0.772,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-30,0.345,0.603,0.052,0.244,0.718,0.038,0.428,0.508,0.064,0.392,0.478,0.13,0.299,0.657,0.044,0.341,0.64,0.019,0.371,0.629,0,0.278,0.592,0.13,0.432,0.514,0.054,0.302,0.676,0.022,0.241,0.684,0.075,0.605,0.376,0.019,0.273,0.727,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-01,0.306,0.629,0.065,0.254,0.682,0.064,0.349,0.586,0.065,0.33,0.544,0.126,0.272,0.646,0.082,0.348,0.632,0.02,0.29,0.71,0,0.332,0.549,0.119,0.34,0.58,0.08,0.27,0.697,0.033,0.184,0.72,0.096,0.544,0.429,0.027,0.275,0.725,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-02,0.311,0.645,0.044,0.27,0.691,0.039,0.344,0.608,0.048,0.341,0.607,0.052,0.261,0.666,0.073,0.333,0.641,0.026,0.339,0.661,0,0.383,0.584,0.033,0.348,0.572,0.08,0.258,0.723,0.019,0.152,0.769,0.079,0.57,0.423,0.007,0.235,0.765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-03,0.291,0.647,0.062,0.267,0.647,0.086,0.311,0.647,0.042,0.284,0.598,0.118,0.204,0.738,0.058,0.365,0.605,0.03,0.377,0.596,0.027,0.3,0.491,0.209,0.315,0.632,0.053,0.269,0.715,0.016,0.101,0.827,0.072,0.558,0.405,0.037,0.141,0.859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-04,0.303,0.628,0.069,0.274,0.644,0.082,0.327,0.614,0.059,0.321,0.572,0.107,0.247,0.66,0.093,0.32,0.657,0.023,0.36,0.614,0.026,0.271,0.488,0.241,0.363,0.574,0.063,0.267,0.72,0.013,0.136,0.78,0.084,0.576,0.388,0.036,0.093,0.907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-05,0.317,0.618,0.065,0.273,0.646,0.081,0.353,0.595,0.052,0.273,0.613,0.114,0.272,0.651,0.077,0.358,0.621,0.021,0.411,0.563,0.026,0.361,0.416,0.223,0.365,0.571,0.064,0.263,0.727,0.01,0.133,0.793,0.074,0.589,0.382,0.029,0.119,0.729,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-06,0.328,0.609,0.063,0.28,0.635,0.085,0.368,0.587,0.045,0.275,0.619,0.106,0.298,0.622,0.08,0.372,0.61,0.018,0.405,0.572,0.023,0.386,0.397,0.217,0.347,0.591,0.062,0.292,0.7,0.008,0.135,0.791,0.074,0.617,0.357,0.026,0.101,0.754,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-07,0.33,0.608,0.062,0.277,0.637,0.086,0.373,0.585,0.042,0.286,0.603,0.111,0.275,0.648,0.077,0.367,0.62,0.013,0.441,0.533,0.026,0.424,0.376,0.2,0.366,0.563,0.071,0.268,0.724,0.008,0.146,0.775,0.079,0.608,0.371,0.021,0.055,0.798,0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-08,0.341,0.596,0.063,0.279,0.636,0.085,0.393,0.563,0.044,0.277,0.619,0.104,0.291,0.641,0.068,0.345,0.628,0.027,0.512,0.452,0.036,0.405,0.396,0.199,0.398,0.532,0.07,0.274,0.716,0.01,0.144,0.781,0.075,0.641,0.338,0.021,0.044,0.835,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
