"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.13,0.101,0.153,0.09,0.119,0.163,0.157,0.171,0.127,0.118,0.037,0.193,0.102,0.079,0.071,0.208,0.202,0.09,6
"Buena",0.16,0.149,0.17,0.105,0.14,0.178,0.24,0.135,0.152,0.175,0.05,0.228,0.116,0.047,0.041,0.279,0.252,0.18,6
"Ni buena ni mala",0.239,0.255,0.226,0.228,0.207,0.275,0.27,0.22,0.232,0.251,0.128,0.295,0.273,0.156,0.117,0.333,0.239,0.273,6
"Mala",0.231,0.242,0.222,0.317,0.239,0.179,0.177,0.253,0.233,0.223,0.411,0.132,0.331,0.38,0.334,0.084,0.156,0.197,6
"Muy mala",0.227,0.235,0.22,0.229,0.29,0.198,0.144,0.204,0.235,0.228,0.368,0.138,0.178,0.322,0.41,0.092,0.132,0.243,6
"No sabe",0.013,0.018,0.009,0.031,0.005,0.007,0.012,0.017,0.021,0.005,0.006,0.014,0,0.016,0.027,0.004,0.019,0.017,6
"Positiva",0.29,0.25,0.323,0.195,0.259,0.341,0.397,0.306,0.279,0.293,0.087,0.421,0.218,0.126,0.112,0.487,0.454,0.27,4
"Neutra",0.239,0.255,0.226,0.228,0.207,0.275,0.27,0.22,0.232,0.251,0.128,0.295,0.273,0.156,0.117,0.333,0.239,0.273,4
"Negativa",0.458,0.477,0.442,0.546,0.529,0.377,0.321,0.457,0.468,0.451,0.779,0.27,0.509,0.702,0.744,0.176,0.288,0.44,4
"No sabe",0.013,0.018,0.009,0.031,0.005,0.007,0.012,0.017,0.021,0.005,0.006,0.014,0,0.016,0.027,0.004,0.019,0.017,4
"Positiva",0.428,0.382,0.466,0.306,0.37,0.526,0.564,0.395,0.425,0.441,0.109,0.624,0.321,0.18,0.148,0.734,0.599,0.401,2
"Negativa",0.559,0.6,0.525,0.663,0.625,0.467,0.424,0.588,0.553,0.554,0.885,0.362,0.679,0.804,0.824,0.262,0.382,0.582,2
"No sabe",0.013,0.018,0.009,0.031,0.005,0.007,0.012,0.017,0.022,0.005,0.006,0.014,0,0.016,0.028,0.004,0.019,0.017,2
