"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P10","Siempre",0.212,0.14,0.153,0.201,0.153,0.287,0.207
"P10","Casi siempre",0.257,0.334,0.35,0.401,0.35,0.189,0.228
"P10","Casi nunca",0.341,0.387,0.306,0.261,0.349,0.34,0.315
"P10","Nunca, pero esta es una excepción",0.19,0.139,0.191,0.137,0.148,0.184,0.25
"P11","Unión por la Patria",0.395,0.347,0.291,0.362,0.297,0.284,0.294
"P11","La Libertad Avanza",0.491,0.528,0.574,0.536,0.548,0.546,0.539
"P11","En blanco",0.065,0.095,0.067,0.05,0.068,0.088,0.066
"P11","No sabe",0.049,0.03,0.068,0.052,0.087,0.082,0.101
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.416,0.357,0.305,0.378,0.31,0.307,0.336
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.526,0.564,0.62,0.544,0.567,0.594,0.535
"P13","En blanco",0.032,0.061,0.036,0.043,0.038,0.038,0.032
"P13","No sabe",0.026,0.018,0.039,0.035,0.085,0.061,0.097
"P15","Totalmente seguro",0.795,0.715,0.73,0.767,0.734,0.84,0.661
"P15","Bastante seguro",0.106,0.14,0.111,0.14,0.141,0.057,0.164
"P15","Algo seguro",0.051,0.096,0.095,0.027,0.075,0.037,0.057
"P15","Para nada seguro",0.048,0.049,0.064,0.066,0.05,0.066,0.118
"P16","Tiene Decidido que va a ir a votar",0.957,0.926,0.947,0.933,0.876,0.909,0.874
"P16","Tiene dudas sobre si va a ir a  votar",0.024,0.046,0.035,0.059,0.062,0.056,0.069
"P16","Tiene Decidido que no va a ir a votar",0.019,0.028,0.018,0.008,0.062,0.035,0.057
"P17","Lo votaría",0.453,0.389,0.299,0.433,0.299,0.38,0.303
"P17","Puede que lo vote",0.038,0.057,0.052,0.056,0.103,0.045,0.034
"P17","Nunca lo votaría",0.501,0.535,0.607,0.487,0.569,0.547,0.597
"P17","No sabe",0.008,0.019,0.042,0.024,0.029,0.028,0.066
"P18","Lo votaría",0.466,0.44,0.488,0.556,0.47,0.54,0.486
"P18","Puede que lo vote",0.082,0.129,0.105,0.062,0.155,0.062,0.137
"P18","Nunca lo votaría",0.433,0.416,0.367,0.357,0.347,0.372,0.337
"P18","No sabe",0.019,0.015,0.04,0.025,0.028,0.026,0.04
"P19","Si",0.9,0.901,0.901,0.854,0.845,0.895,0.808
"P19","No",0.1,0.099,0.099,0.146,0.155,0.105,0.192
"P20","Sergio Massa",0.586,0.566,0.517,0.541,0.575,0.465,0.521
"P20","Javier Milei",0.414,0.434,0.483,0.459,0.425,0.535,0.479
"P21","Sergio Massa",0.507,0.473,0.393,0.482,0.454,0.379,0.358
"P21","Javier Milei",0.493,0.527,0.607,0.518,0.546,0.621,0.642
"P22","Sergio Massa",0.488,0.502,0.404,0.467,0.551,0.393,0.428
"P22","Javier Milei",0.512,0.498,0.596,0.533,0.449,0.607,0.572
"P23","Sergio Massa",0.497,0.464,0.38,0.427,0.428,0.377,0.391
"P23","Javier Milei",0.503,0.536,0.62,0.573,0.572,0.623,0.609
"P24","Si",0.423,0.407,0.308,0.381,0.369,0.345,0.331
"P24","No",0.577,0.593,0.692,0.619,0.631,0.655,0.669
"P25","Si",0.587,0.626,0.66,0.651,0.617,0.735,0.668
"P25","No",0.413,0.374,0.34,0.349,0.383,0.265,0.332
"P28","Inflación",0.373,0.367,0.331,0.383,0.414,0.301,0.259
"P28","Desempleo",0.066,0.042,0.057,0.051,0.056,0.08,0.033
"P28","Corrupción",0.3,0.363,0.409,0.293,0.3,0.315,0.311
"P28","Inseguridad",0.092,0.1,0.085,0.086,0.071,0.1,0.102
"P28","Precio del dólar",0.014,0.003,0.006,0.014,0.027,0.023,0.012
"P28","Pobreza",0.082,0.091,0.049,0.076,0.064,0.06,0.145
"P28","Narcotráfico",0.006,0.009,0.006,0,0.003,0.016,0.032
"P28","Tarifas",0.006,0.007,0,0.006,0.014,0.015,0
"P28","Otro",0.05,0.015,0.05,0.082,0.036,0.08,0.067
"P28","No sabe",0.011,0.003,0.007,0.009,0.015,0.01,0.039
"P33","Gran excedente habitual",0.025,0.005,0.002,0,0.006,0.021,0.017
"P33","Gran excedente excepcional",0.005,0,0.003,0,0.026,0.012,0.071
"P33","Pequeño excedente habitual",0.102,0.052,0.018,0.037,0.038,0.166,0.007
"P33","Pequeño excedente excepcional",0.08,0.091,0.055,0.051,0.146,0.032,0
"P33","Alcanza gastos familia",0.21,0.16,0.127,0.2,0.082,0.037,0.089
"P33","No alcanza gastos familia",0.042,0.08,0.229,0.192,0.156,0.146,0.068
"P33","Solo NBFamiliares",0.241,0.386,0.291,0.252,0.221,0.149,0.267
"P33","No alcanza NBFamiliares",0.282,0.223,0.274,0.268,0.312,0.437,0.258
"P33","No sabe",0.013,0.003,0.001,0,0.013,0,0.223
"P34","Muy buena",0.107,0.049,0.047,0.046,0.045,0.077,0.021
"P34","Buena",0.318,0.231,0.141,0.141,0.168,0.074,0.032
"P34","Ni buena ni mala",0.405,0.568,0.55,0.511,0.37,0.229,0.527
"P34","Mala",0.122,0.129,0.205,0.236,0.332,0.419,0.303
"P34","Muy mala",0.024,0.023,0.032,0.062,0.085,0.201,0.012
"P34","No sabe",0.024,0,0.025,0.004,0,0,0.105
"P35","Mejor",0.135,0.109,0.114,0.095,0.086,0.12,0.042
"P35","Igual",0.306,0.311,0.183,0.209,0.092,0.109,0.155
"P35","Peor",0.543,0.546,0.668,0.664,0.781,0.724,0.669
"P35","No sabe",0.016,0.034,0.035,0.032,0.041,0.047,0.134
"P36","Mejor",0.195,0.208,0.153,0.109,0.253,0.172,0.132
"P36","Igual",0.283,0.289,0.245,0.193,0.171,0.143,0.125
"P36","Peor",0.354,0.362,0.377,0.463,0.406,0.476,0.33
"P36","No sabe",0.168,0.141,0.225,0.235,0.17,0.209,0.413
"P37","Muy buena",0.077,0.035,0.055,0.103,0.037,0.111,0.028
"P37","Buena",0.092,0.064,0.079,0.063,0.072,0.034,0.02
"P37","Ni buena ni mala",0.161,0.177,0.134,0.143,0.097,0.096,0.166
"P37","Mala",0.34,0.353,0.372,0.29,0.327,0.315,0.329
"P37","Muy mala",0.318,0.366,0.342,0.389,0.463,0.427,0.457
"P37","No sabe",0.012,0.005,0.018,0.012,0.004,0.017,0
"P38","Mejor",0.107,0.086,0.078,0.083,0.157,0.135,0.06
"P38","Igual",0.187,0.181,0.117,0.214,0.076,0.078,0.149
"P38","Peor",0.653,0.697,0.771,0.664,0.716,0.729,0.703
"P38","No sabe",0.053,0.036,0.034,0.039,0.051,0.058,0.088
"P39","Mejor",0.217,0.191,0.163,0.17,0.293,0.237,0.19
"P39","Igual",0.2,0.194,0.197,0.124,0.129,0.102,0.107
"P39","Peor",0.42,0.463,0.457,0.598,0.41,0.504,0.514
"P39","No sabe",0.163,0.152,0.183,0.108,0.168,0.157,0.189
"P40","Muy buena",0.074,0.048,0.055,0.066,0.048,0.143,0.046
"P40","Buena",0.097,0.071,0.048,0.048,0.103,0.05,0.018
"P40","Ni buena ni mala",0.168,0.204,0.133,0.16,0.1,0.113,0.154
"P40","Mala",0.268,0.268,0.29,0.249,0.21,0.209,0.308
"P40","Muy mala",0.391,0.405,0.469,0.442,0.535,0.464,0.474
"P40","No sabe",0.002,0.004,0.005,0.035,0.004,0.021,0
"P42","Muy buena",0.055,0.008,0.035,0.058,0.016,0.094,0.031
"P42","Buena",0.125,0.093,0.063,0.079,0.129,0.062,0.06
"P42","Ni buena ni mala",0.174,0.23,0.158,0.17,0.143,0.086,0.168
"P42","Mala",0.226,0.269,0.243,0.218,0.157,0.249,0.299
"P42","Muy mala",0.409,0.396,0.486,0.437,0.555,0.487,0.425
"P42","No sabe",0.011,0.004,0.015,0.038,0,0.022,0.017
"P43","Muy buena",0.112,0.07,0.061,0.091,0.042,0.122,0.061
"P43","Buena",0.198,0.183,0.144,0.114,0.127,0.129,0.121
"P43","Ni buena ni mala",0.153,0.208,0.157,0.134,0.161,0.063,0.153
"P43","Mala",0.185,0.242,0.234,0.272,0.229,0.245,0.26
"P43","Muy mala",0.349,0.287,0.399,0.387,0.434,0.419,0.388
"P43","No sabe",0.003,0.01,0.005,0.002,0.007,0.022,0.017
"P44","Muy buena",0.062,0.011,0.044,0.031,0.04,0.135,0.021
"P44","Buena",0.137,0.125,0.064,0.048,0.063,0.045,0.031
"P44","Ni buena ni mala",0.187,0.218,0.136,0.147,0.149,0.059,0.195
"P44","Mala",0.19,0.259,0.269,0.272,0.174,0.223,0.281
"P44","Muy mala",0.415,0.384,0.48,0.479,0.567,0.524,0.462
"P44","No sabe",0.009,0.003,0.007,0.023,0.007,0.014,0.01
"P45","Muy buena",0.062,0.015,0.047,0.018,0.04,0.119,0.053
"P45","Buena",0.051,0.078,0.056,0.072,0.065,0.062,0.04
"P45","Ni buena ni mala",0.18,0.143,0.112,0.122,0.141,0.098,0.139
"P45","Mala",0.274,0.334,0.259,0.275,0.187,0.154,0.18
"P45","Muy mala",0.43,0.43,0.519,0.513,0.567,0.56,0.588
"P45","No sabe",0.003,0,0.007,0,0,0.007,0
