"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.217,0.209,0.224,0.215,0.268,0.174,0.175,0.253,0.199,0.217,0.56,0.06,0.101,0.494,0.488,0.034,0.099,0.03,6
"Buena",0.084,0.085,0.083,0.104,0.085,0.075,0.069,0.11,0.077,0.08,0.134,0.055,0.142,0.15,0.163,0.041,0.058,0.019,6
"Ni buena ni mala",0.102,0.088,0.113,0.112,0.105,0.086,0.1,0.135,0.115,0.081,0.109,0.074,0.227,0.094,0.105,0.082,0.16,0.111,6
"Mala",0.153,0.167,0.142,0.193,0.105,0.165,0.18,0.201,0.15,0.139,0.091,0.185,0.135,0.091,0.122,0.195,0.128,0.187,6
"Muy mala",0.431,0.441,0.423,0.359,0.426,0.495,0.454,0.278,0.454,0.467,0.104,0.611,0.385,0.165,0.113,0.634,0.523,0.645,6
"No sabe",0.013,0.01,0.015,0.017,0.011,0.005,0.022,0.023,0.005,0.016,0.002,0.015,0.01,0.006,0.009,0.014,0.032,0.008,6
"Positiva",0.301,0.294,0.307,0.319,0.353,0.249,0.244,0.363,0.276,0.297,0.694,0.115,0.243,0.644,0.651,0.075,0.157,0.049,4
"Neutra",0.102,0.088,0.113,0.112,0.105,0.086,0.1,0.135,0.115,0.081,0.109,0.074,0.227,0.094,0.105,0.082,0.16,0.111,4
"Negativa",0.584,0.608,0.565,0.552,0.531,0.66,0.634,0.479,0.604,0.606,0.195,0.796,0.52,0.256,0.235,0.829,0.651,0.832,4
"No sabe",0.013,0.01,0.015,0.017,0.011,0.005,0.022,0.023,0.005,0.016,0.002,0.015,0.01,0.006,0.009,0.014,0.032,0.008,4
"Positiva",0.346,0.33,0.359,0.355,0.411,0.282,0.289,0.414,0.332,0.333,0.764,0.138,0.357,0.71,0.711,0.107,0.176,0.064,2
"Negativa",0.641,0.66,0.626,0.628,0.578,0.713,0.689,0.563,0.663,0.651,0.234,0.847,0.633,0.284,0.281,0.879,0.792,0.928,2
"No sabe",0.013,0.01,0.015,0.017,0.011,0.005,0.022,0.023,0.005,0.016,0.002,0.015,0.01,0.006,0.008,0.014,0.032,0.008,2
