"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.046,0.039,0.052,0.092,0.038,0.022,0.035,0.137,0.031,0.026,0.079,0.031,0.077,0.104,0.061,0.014,0.006,0.013,6
"Buena",0.099,0.106,0.093,0.115,0.101,0.085,0.092,0.113,0.1,0.093,0.217,0.042,0.049,0.216,0.18,0.02,0.043,0.045,6
"Ni buena ni mala",0.17,0.168,0.171,0.159,0.19,0.166,0.149,0.156,0.204,0.15,0.332,0.081,0.266,0.319,0.315,0.07,0.107,0.072,6
"Mala",0.236,0.221,0.249,0.2,0.249,0.238,0.254,0.273,0.219,0.237,0.231,0.224,0.25,0.169,0.294,0.269,0.313,0.19,6
"Muy mala",0.436,0.455,0.42,0.42,0.408,0.484,0.45,0.294,0.439,0.482,0.125,0.611,0.358,0.174,0.136,0.617,0.506,0.678,6
"No sabe",0.013,0.011,0.015,0.014,0.014,0.005,0.02,0.027,0.007,0.012,0.016,0.011,0,0.018,0.014,0.01,0.025,0.002,6
"Positiva",0.145,0.145,0.145,0.207,0.139,0.107,0.127,0.25,0.131,0.119,0.296,0.073,0.126,0.32,0.241,0.034,0.049,0.058,4
"Neutra",0.17,0.168,0.171,0.159,0.19,0.166,0.149,0.156,0.204,0.15,0.332,0.081,0.266,0.319,0.315,0.07,0.107,0.072,4
"Negativa",0.672,0.676,0.669,0.62,0.657,0.722,0.704,0.567,0.658,0.719,0.356,0.835,0.608,0.343,0.43,0.886,0.819,0.868,4
"No sabe",0.013,0.011,0.015,0.014,0.014,0.005,0.02,0.027,0.007,0.012,0.016,0.011,0,0.018,0.014,0.01,0.025,0.002,4
