"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P15","Totalmente seguro",0.766,0.765,0.392
"P15","Bastante seguro",0.128,0.126,0.1
"P15","Algo seguro",0.054,0.046,0.237
"P15","Para nada seguro",0.052,0.063,0.271
"P16","Tiene Decidido que va a ir a votar",0.932,0.913,0.663
"P16","Tiene dudas sobre si va a ir a  votar",0.05,0.059,0.202
"P16","Tiene Decidido que no va a ir a votar",0.018,0.028,0.135
