"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.069,0.069,0.069,0.125,0.053,0.035,0.067,0.149,0.065,0.044,0.074,0.068,0.085,0.089,0.091,0.048,0.072,0.061,6
"Buena",0.073,0.077,0.071,0.075,0.074,0.063,0.083,0.143,0.081,0.044,0.108,0.06,0.029,0.13,0.143,0.035,0.035,0.048,6
"Ni buena ni mala",0.149,0.187,0.117,0.174,0.143,0.136,0.143,0.231,0.139,0.128,0.264,0.086,0.204,0.286,0.215,0.076,0.123,0.048,6
"Mala",0.339,0.302,0.369,0.225,0.369,0.385,0.369,0.238,0.358,0.359,0.387,0.317,0.288,0.353,0.402,0.354,0.328,0.246,6
"Muy mala",0.359,0.36,0.358,0.386,0.348,0.376,0.328,0.22,0.352,0.412,0.155,0.461,0.335,0.126,0.146,0.478,0.424,0.584,6
"No sabe",0.011,0.005,0.016,0.015,0.013,0.005,0.01,0.019,0.005,0.013,0.012,0.008,0.059,0.016,0.003,0.009,0.018,0.013,6
"Positiva",0.142,0.146,0.14,0.2,0.127,0.098,0.15,0.292,0.146,0.088,0.182,0.128,0.114,0.219,0.234,0.083,0.107,0.109,4
"Neutra",0.149,0.187,0.117,0.174,0.143,0.136,0.143,0.231,0.139,0.128,0.264,0.086,0.204,0.286,0.215,0.076,0.123,0.048,4
"Negativa",0.698,0.662,0.727,0.611,0.717,0.761,0.697,0.458,0.71,0.771,0.542,0.778,0.623,0.479,0.548,0.832,0.752,0.83,4
"No sabe",0.011,0.005,0.016,0.015,0.013,0.005,0.01,0.019,0.005,0.013,0.012,0.008,0.059,0.016,0.003,0.009,0.018,0.013,4
